SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS3160GRWY____	-23.073	-22.962	-23.041	-23.038	-23.144	-23.109	-23.073	-23.036	-23.072	-23.037	-23.039	-23.074	-23.002	-23.001	-23.002	-23.002	-23.005	-23.066	-23.000	-23.034	-23.074	-23.039	-23.074	-23.063	-23.003	-23.039	-23.070	-23.036	-22.970	-22.969	-22.970	-23.000	-138.513	-138.604	-138.613	-138.474	-138.663	-138.650	-138.616	-138.612	-138.593	-138.585	-138.546	-138.511	-138.589	-138.586	-138.521	-138.521	-138.514	-138.541	-138.522	-138.511	-138.511	-138.473	-138.511	-138.444	-138.480	-138.511	-138.554	-138.444	-138.510	-138.546	-138.475	-138.551	260.210	260.260	260.229	260.221	260.191	260.204	260.216	260.231	260.215	260.229	260.225	260.209	260.243	260.243	260.239	260.239	260.237	260.214	260.239	260.225	260.209	260.221	260.209	260.209	260.236	260.223	260.214	260.220	260.251	260.254	260.249	260.241	2016_7_19_16_58_21
FLQS3126GRWV____	-23.286	-23.178	-23.234	-23.267	-23.356	-23.349	-23.285	-23.248	-23.285	-23.249	-23.284	-23.318	-23.214	-23.214	-23.245	-23.245	-23.217	-23.279	-23.213	-23.175	-23.318	-23.250	-23.318	-23.252	-23.242	-23.283	-23.249	-23.279	-23.182	-23.181	-23.181	-23.213	-138.380	-138.474	-138.553	-138.416	-138.567	-138.518	-138.484	-138.483	-138.498	-138.461	-138.418	-138.382	-138.464	-138.461	-138.418	-138.418	-138.381	-138.415	-138.428	-138.381	-138.382	-138.345	-138.382	-138.311	-138.346	-138.385	-138.428	-138.310	-138.381	-138.417	-138.346	-138.425	260.103	260.152	260.135	260.113	260.087	260.087	260.111	260.125	260.111	260.123	260.106	260.090	260.137	260.137	260.122	260.122	260.131	260.108	260.136	260.148	260.090	260.115	260.090	260.112	260.118	260.104	260.121	260.101	260.145	260.147	260.143	260.135	2016_7_19_16_58_21
FLQS3115GRWV____	-23.554	-23.439	-23.485	-23.512	-23.619	-23.583	-23.547	-23.512	-23.548	-23.513	-23.516	-23.550	-23.477	-23.478	-23.477	-23.477	-23.478	-23.511	-23.476	-23.478	-23.550	-23.513	-23.550	-23.484	-23.477	-23.516	-23.514	-23.514	-23.444	-23.443	-23.444	-23.477	-138.450	-138.544	-138.592	-138.452	-138.633	-138.589	-138.556	-138.554	-138.564	-138.528	-138.489	-138.455	-138.533	-138.528	-138.487	-138.487	-138.452	-138.486	-138.496	-138.451	-138.455	-138.415	-138.455	-138.383	-138.419	-138.455	-138.497	-138.381	-138.451	-138.487	-138.416	-138.494	259.991	260.044	260.029	260.008	259.978	259.989	260.001	260.015	260.001	260.013	260.009	259.993	260.028	260.027	260.025	260.025	260.022	260.011	260.026	260.022	259.993	260.005	259.993	260.015	260.020	260.007	260.011	260.003	260.036	260.038	260.033	260.025	2016_7_19_16_58_21
FLQS310RGRWV____	-23.053	-22.949	-22.986	-23.017	-23.122	-23.085	-23.050	-23.015	-23.050	-23.015	-23.018	-23.053	-22.981	-22.981	-22.981	-22.981	-22.984	-23.016	-22.982	-22.948	-23.053	-23.015	-23.053	-23.017	-22.979	-23.018	-23.017	-23.018	-22.946	-22.946	-22.944	-22.982	-138.445	-138.536	-138.586	-138.446	-138.622	-138.580	-138.546	-138.544	-138.554	-138.516	-138.482	-138.445	-138.521	-138.516	-138.480	-138.480	-138.445	-138.477	-138.485	-138.440	-138.445	-138.409	-138.445	-138.376	-138.411	-138.448	-138.485	-138.377	-138.441	-138.477	-138.407	-138.481	260.213	260.261	260.249	260.228	260.197	260.209	260.221	260.235	260.222	260.233	260.230	260.213	260.247	260.247	260.245	260.245	260.241	260.230	260.245	260.255	260.213	260.226	260.213	260.223	260.241	260.227	260.230	260.223	260.256	260.259	260.254	260.244	2016_7_19_16_58_21
FLQS3106GRWV____	-23.389	-23.248	-23.320	-23.329	-23.462	-23.398	-23.395	-23.359	-23.394	-23.358	-23.362	-23.397	-23.322	-23.323	-23.293	-23.293	-23.324	-23.359	-23.322	-23.326	-23.397	-23.360	-23.397	-23.355	-23.295	-23.362	-23.360	-23.356	-23.259	-23.289	-23.260	-23.323	-138.439	-138.528	-138.578	-138.402	-138.584	-138.550	-138.516	-138.513	-138.545	-138.508	-138.446	-138.412	-138.510	-138.508	-138.467	-138.467	-138.402	-138.445	-138.444	-138.412	-138.412	-138.396	-138.412	-138.370	-138.405	-138.412	-138.477	-138.369	-138.411	-138.468	-138.376	-138.443	260.070	260.132	260.107	260.091	260.050	260.073	260.072	260.086	260.075	260.087	260.081	260.064	260.101	260.101	260.110	260.110	260.093	260.082	260.097	260.093	260.064	260.078	260.064	260.078	260.105	260.079	260.084	260.078	260.120	260.112	260.117	260.097	2016_7_19_16_58_22
FLQS30ZQGRWV____	-23.198	-23.097	-23.130	-23.161	-23.270	-23.263	-23.196	-23.162	-23.197	-23.163	-23.166	-23.201	-23.129	-23.127	-23.129	-23.129	-23.131	-23.164	-23.128	-23.129	-23.201	-23.164	-23.201	-23.164	-23.130	-23.166	-23.166	-23.163	-23.094	-23.095	-23.092	-23.128	-138.441	-138.532	-138.581	-138.439	-138.628	-138.578	-138.543	-138.544	-138.561	-138.520	-138.480	-138.443	-138.527	-138.522	-138.476	-138.476	-138.440	-138.476	-138.492	-138.440	-138.443	-138.404	-138.443	-138.371	-138.406	-138.448	-138.491	-138.371	-138.440	-138.477	-138.405	-138.487	260.151	260.197	260.187	260.165	260.134	260.134	260.158	260.172	260.159	260.170	260.166	260.150	260.184	260.184	260.181	260.181	260.178	260.167	260.182	260.178	260.150	260.162	260.150	260.160	260.176	260.164	260.167	260.160	260.192	260.195	260.191	260.182	2016_7_19_16_58_22
FLQS30YUGRWV____	-23.474	-23.368	-23.397	-23.443	-23.543	-23.507	-23.470	-23.434	-23.473	-23.438	-23.441	-23.476	-23.402	-23.402	-23.403	-23.403	-23.402	-23.437	-23.402	-23.371	-23.476	-23.436	-23.476	-23.437	-23.403	-23.441	-23.440	-23.438	-23.338	-23.339	-23.336	-23.402	-138.302	-138.392	-138.477	-138.264	-138.485	-138.438	-138.404	-138.400	-138.414	-138.378	-138.336	-138.301	-138.380	-138.378	-138.336	-138.336	-138.301	-138.333	-138.313	-138.299	-138.301	-138.265	-138.301	-138.232	-138.268	-138.301	-138.347	-138.233	-138.300	-138.336	-138.266	-138.343	260.026	260.075	260.069	260.036	260.011	260.022	260.034	260.049	260.034	260.046	260.042	260.025	260.060	260.060	260.057	260.057	260.055	260.043	260.056	260.067	260.025	260.039	260.025	260.036	260.052	260.039	260.043	260.036	260.081	260.082	260.079	260.058	2016_7_19_16_58_22
FLQS30X6GRWY____	-23.391	-23.254	-23.321	-23.325	-23.429	-23.394	-23.356	-23.322	-23.357	-23.322	-23.326	-23.360	-23.287	-23.287	-23.288	-23.288	-23.292	-23.323	-23.286	-23.288	-23.360	-23.323	-23.360	-23.327	-23.292	-23.326	-23.324	-23.326	-23.253	-23.254	-23.252	-23.286	-138.516	-138.605	-138.655	-138.514	-138.693	-138.647	-138.614	-138.613	-138.622	-138.583	-138.548	-138.513	-138.588	-138.584	-138.545	-138.545	-138.514	-138.546	-138.552	-138.509	-138.513	-138.473	-138.513	-138.445	-138.480	-138.514	-138.522	-138.445	-138.509	-138.545	-138.474	-138.549	260.066	260.127	260.103	260.092	260.062	260.073	260.086	260.100	260.086	260.098	260.094	260.078	260.112	260.112	260.109	260.109	260.105	260.095	260.110	260.107	260.078	260.090	260.078	260.087	260.103	260.092	260.093	260.087	260.121	260.123	260.119	260.110	2016_7_19_16_58_22
FLQS30X6GRWV____	-23.044	-22.932	-22.965	-23.005	-23.111	-23.076	-23.041	-23.006	-23.042	-23.008	-23.010	-23.045	-22.971	-22.973	-22.942	-22.942	-22.970	-23.006	-22.972	-22.942	-23.045	-23.009	-23.045	-23.001	-22.969	-23.009	-23.009	-23.007	-22.939	-22.939	-22.939	-22.973	-138.386	-138.508	-138.561	-138.386	-138.577	-138.527	-138.494	-138.494	-138.510	-138.471	-138.429	-138.394	-138.475	-138.471	-138.428	-138.428	-138.387	-138.427	-138.441	-138.392	-138.394	-138.355	-138.394	-138.353	-138.352	-138.395	-138.440	-138.316	-138.391	-138.427	-138.357	-138.437	260.213	260.266	260.256	260.229	260.198	260.209	260.221	260.235	260.222	260.233	260.229	260.213	260.248	260.247	260.257	260.257	260.243	260.231	260.245	260.254	260.213	260.225	260.213	260.228	260.241	260.227	260.230	260.223	260.255	260.258	260.253	260.245	2016_7_19_16_58_22
FLQS30WFGRWV____	-23.495	-23.388	-23.454	-23.457	-23.565	-23.528	-23.522	-23.484	-23.526	-23.458	-23.461	-23.527	-23.454	-23.423	-23.421	-23.421	-23.452	-23.487	-23.454	-23.423	-23.527	-23.489	-23.527	-23.460	-23.424	-23.493	-23.459	-23.460	-23.420	-23.387	-23.419	-23.423	-138.449	-138.569	-138.589	-138.449	-138.639	-138.588	-138.555	-138.583	-138.602	-138.532	-138.492	-138.485	-138.568	-138.533	-138.488	-138.488	-138.449	-138.489	-138.504	-138.450	-138.485	-138.447	-138.485	-138.418	-138.416	-138.458	-138.501	-138.379	-138.451	-138.521	-138.416	-138.497	260.019	260.071	260.045	260.034	260.004	260.015	260.016	260.033	260.017	260.040	260.036	260.009	260.044	260.054	260.052	260.052	260.037	260.025	260.039	260.048	260.009	260.022	260.009	260.031	260.046	260.021	260.037	260.029	260.050	260.067	260.048	260.051	2016_7_19_16_58_22
FLQS30VBGRWV____	-23.202	-23.092	-23.134	-23.167	-23.272	-23.237	-23.202	-23.165	-23.202	-23.165	-23.169	-23.201	-23.130	-23.130	-23.131	-23.131	-23.132	-23.167	-23.130	-23.132	-23.201	-23.166	-23.201	-23.165	-23.130	-23.169	-23.167	-23.165	-23.098	-23.097	-23.096	-23.130	-138.318	-138.442	-138.461	-138.318	-138.506	-138.463	-138.431	-138.430	-138.439	-138.401	-138.364	-138.350	-138.432	-138.429	-138.362	-138.362	-138.321	-138.362	-138.368	-138.327	-138.350	-138.291	-138.350	-138.251	-138.287	-138.330	-138.369	-138.248	-138.327	-138.363	-138.293	-138.366	260.137	260.189	260.174	260.151	260.121	260.132	260.144	260.159	260.145	260.157	260.153	260.139	260.173	260.173	260.168	260.168	260.165	260.154	260.169	260.165	260.139	260.149	260.139	260.147	260.164	260.151	260.154	260.147	260.179	260.182	260.178	260.169	2016_7_19_16_58_22
FLQS30UFGRWV____	-23.484	-23.371	-23.415	-23.446	-23.551	-23.519	-23.484	-23.447	-23.481	-23.446	-23.448	-23.483	-23.411	-23.411	-23.413	-23.413	-23.410	-23.446	-23.411	-23.413	-23.483	-23.448	-23.483	-23.444	-23.409	-23.447	-23.447	-23.448	-23.378	-23.378	-23.378	-23.411	-138.316	-138.409	-138.457	-138.315	-138.493	-138.456	-138.421	-138.419	-138.424	-138.387	-138.353	-138.318	-138.390	-138.388	-138.350	-138.350	-138.317	-138.350	-138.355	-138.316	-138.318	-138.280	-138.318	-138.247	-138.282	-138.317	-138.356	-138.246	-138.317	-138.352	-138.282	-138.352	260.010	260.062	260.048	260.026	259.996	260.006	260.017	260.032	260.019	260.030	260.027	260.011	260.045	260.045	260.041	260.041	260.040	260.028	260.042	260.039	260.011	260.022	260.011	260.021	260.038	260.025	260.028	260.020	260.053	260.055	260.051	260.042	2016_7_19_16_58_23
FLQS30TYGRWV____	-23.347	-23.238	-23.281	-23.307	-23.415	-23.378	-23.342	-23.306	-23.342	-23.308	-23.312	-23.346	-23.272	-23.272	-23.274	-23.274	-23.274	-23.309	-23.270	-23.273	-23.346	-23.308	-23.346	-23.311	-23.277	-23.312	-23.310	-23.310	-23.238	-23.240	-23.237	-23.273	-138.450	-138.543	-138.592	-138.450	-138.632	-138.586	-138.553	-138.552	-138.563	-138.523	-138.488	-138.452	-138.527	-138.524	-138.484	-138.484	-138.450	-138.484	-138.493	-138.449	-138.452	-138.413	-138.452	-138.381	-138.417	-138.453	-138.493	-138.380	-138.448	-138.484	-138.413	-138.490	260.083	260.133	260.119	260.099	260.068	260.080	260.092	260.107	260.093	260.104	260.100	260.084	260.118	260.118	260.115	260.115	260.112	260.101	260.117	260.113	260.084	260.096	260.084	260.093	260.109	260.097	260.101	260.093	260.127	260.129	260.125	260.116	2016_7_19_16_58_23
FLQS30T7GRWV____	-23.425	-23.310	-23.358	-23.384	-23.491	-23.485	-23.420	-23.383	-23.420	-23.385	-23.421	-23.424	-23.348	-23.349	-23.350	-23.350	-23.351	-23.384	-23.349	-23.351	-23.424	-23.387	-23.424	-23.386	-23.350	-23.420	-23.419	-23.418	-23.318	-23.316	-23.318	-23.349	-138.387	-138.479	-138.528	-138.386	-138.568	-138.523	-138.490	-138.488	-138.499	-138.460	-138.422	-138.388	-138.462	-138.460	-138.420	-138.420	-138.386	-138.420	-138.427	-138.386	-138.388	-138.350	-138.388	-138.317	-138.352	-138.388	-138.431	-138.316	-138.386	-138.422	-138.351	-138.425	260.043	260.096	260.080	260.059	260.029	260.028	260.052	260.067	260.053	260.064	260.047	260.043	260.079	260.079	260.076	260.076	260.073	260.062	260.077	260.073	260.043	260.056	260.043	260.054	260.071	260.045	260.048	260.041	260.086	260.089	260.084	260.076	2016_7_19_16_58_23
