SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS2044GRWY____	-12.110	-12.040	-11.967	-11.667	-11.570	-11.534	-11.690	-11.997	-11.983	-11.995	-12.082	-11.878	-12.015	-11.644	-12.007	-11.918	-11.852	-12.139	-12.048	-11.434	-11.889	-12.009	-11.777	-11.840	-11.684	-11.863	-11.946	-11.571	-11.683	-11.843	-11.636	-11.784	-117.571	-117.671	-117.417	-117.816	-117.707	-117.751	-117.874	-117.044	-117.571	-117.224	-117.310	-118.260	-117.576	-117.568	-117.600	-117.524	-117.674	-117.561	-117.456	-117.950	-117.633	-117.604	-118.092	-117.767	-118.054	-117.293	-117.631	-118.075	-117.538	-118.100	-117.464	-117.078	264.456	264.495	264.517	264.681	264.723	264.743	264.673	264.485	264.518	264.495	264.457	264.602	264.502	264.681	264.508	264.547	264.586	264.442	264.480	264.800	264.566	264.506	264.642	264.596	264.685	264.562	264.538	264.740	264.661	264.610	264.680	264.590	2016_7_19_17_02_54
FLQS312SGRWV____	-11.783	-11.567	-11.579	-11.406	-11.639	-11.807	-11.488	-11.646	-11.583	-11.579	-11.676	-11.676	-11.676	-11.441	-11.669	-11.579	-11.585	-11.738	-11.774	-11.441	-11.664	-11.672	-11.701	-11.508	-11.676	-11.775	-11.612	-11.556	-11.674	-11.512	-11.560	-11.760	-116.707	-117.211	-116.943	-116.145	-117.158	-117.136	-117.609	-117.214	-117.287	-117.517	-117.417	-117.327	-117.094	-117.478	-117.860	-117.374	-117.122	-117.479	-117.361	-117.277	-117.825	-117.798	-117.822	-117.767	-117.449	-117.523	-117.489	-117.730	-117.512	-117.363	-117.633	-117.179	263.898	264.027	264.008	264.054	263.989	263.907	264.084	263.989	264.023	264.036	263.984	263.980	263.969	264.101	264.009	264.029	264.014	263.957	263.934	264.091	264.009	264.004	263.991	264.082	263.986	263.941	264.018	264.057	263.990	264.061	264.050	263.932	2016_7_19_17_02_55
FLQS31J6GRWY____	-12.110	-11.905	-11.582	-11.808	-11.640	-11.946	-11.751	-12.064	-11.845	-12.069	-12.130	-12.090	-12.146	-11.579	-11.955	-11.732	-11.850	-11.753	-11.711	-11.774	-12.085	-11.945	-11.642	-11.713	-12.009	-11.853	-11.816	-11.626	-11.946	-11.849	-11.439	-11.838	-117.351	-117.202	-117.079	-117.459	-117.485	-117.330	-117.798	-116.751	-117.616	-116.402	-117.458	-117.058	-117.157	-117.156	-117.062	-116.299	-117.649	-117.410	-118.369	-117.340	-117.022	-117.646	-117.483	-117.488	-117.505	-117.580	-117.479	-117.927	-117.563	-117.554	-117.304	-117.428	264.445	264.537	264.688	264.596	264.679	264.523	264.640	264.438	264.586	264.418	264.441	264.440	264.418	264.692	264.506	264.577	264.585	264.621	264.687	264.607	264.441	264.539	264.678	264.644	264.502	264.581	264.593	264.707	264.535	264.581	264.767	264.581	2016_7_19_17_02_33
FLQS31FWGRWY____	-11.763	-11.779	-11.508	-11.604	-11.691	-11.740	-11.621	-12.109	-11.579	-11.505	-11.747	-11.799	-11.746	-11.442	-11.742	-11.778	-11.832	-11.803	-11.581	-11.569	-11.738	-11.666	-11.828	-11.440	-11.876	-11.897	-11.800	-11.567	-11.990	-11.772	-11.562	-11.620	-117.777	-116.750	-117.474	-116.877	-118.157	-116.815	-117.470	-116.887	-117.553	-117.913	-117.478	-117.992	-117.097	-116.891	-116.992	-117.443	-117.851	-117.940	-117.557	-117.468	-117.222	-118.260	-117.816	-117.825	-117.190	-117.789	-117.814	-117.463	-117.765	-117.556	-117.177	-117.900	264.634	264.576	264.742	264.667	264.686	264.598	264.687	264.422	264.712	264.764	264.627	264.627	264.609	264.747	264.605	264.610	264.604	264.622	264.711	264.712	264.619	264.703	264.604	264.791	264.550	264.570	264.618	264.713	264.523	264.618	264.702	264.708	2016_7_19_17_02_33
FLQS31CRGRWY____	-11.643	-11.631	-11.501	-11.593	-11.422	-11.671	-11.275	-11.477	-11.363	-11.641	-11.854	-11.669	-11.667	-11.159	-11.669	-11.771	-11.510	-11.472	-11.634	-11.564	-11.469	-11.531	-11.564	-11.493	-11.398	-11.825	-11.537	-11.289	-11.608	-11.428	-11.491	-11.477	-116.454	-116.680	-116.949	-116.419	-117.763	-116.680	-117.549	-116.812	-117.764	-117.392	-117.609	-117.059	-117.093	-116.961	-117.199	-116.308	-117.068	-116.879	-117.229	-117.026	-116.558	-117.667	-116.963	-117.042	-117.792	-117.187	-117.100	-117.741	-117.125	-117.505	-116.256	-117.337	264.115	264.132	264.208	264.138	264.285	264.112	264.345	264.213	264.313	264.161	264.069	264.131	264.134	264.374	264.138	264.045	264.209	264.219	264.156	264.181	264.204	264.227	264.178	264.216	264.297	264.062	264.197	264.347	264.164	264.270	264.179	264.238	2016_7_19_17_02_34
FLQS319LGRWY____	-11.919	-11.690	-11.371	-11.536	-11.628	-11.597	-11.701	-11.716	-11.788	-11.519	-11.745	-11.749	-11.737	-11.430	-11.612	-11.512	-11.644	-11.758	-11.710	-11.496	-11.615	-11.736	-11.697	-11.371	-11.667	-11.658	-11.686	-11.367	-11.608	-11.630	-11.567	-11.508	-116.793	-117.425	-117.618	-117.609	-117.894	-118.016	-116.631	-117.353	-116.838	-117.273	-117.424	-117.531	-118.036	-117.948	-117.527	-117.458	-117.854	-117.424	-117.570	-118.082	-117.103	-117.665	-117.956	-117.905	-118.054	-117.131	-116.971	-118.075	-117.850	-118.239	-117.055	-117.067	264.510	264.652	264.815	264.735	264.704	264.725	264.608	264.636	264.576	264.727	264.625	264.629	264.658	264.802	264.694	264.740	264.694	264.619	264.649	264.776	264.672	264.641	264.674	264.828	264.693	264.653	264.632	264.838	264.711	264.719	264.694	264.723	2016_7_19_17_02_34
FLQS319HGRWY____	-11.908	-11.637	-11.773	-11.474	-11.430	-11.542	-11.433	-11.783	-11.770	-11.714	-12.056	-11.678	-11.613	-11.438	-11.741	-11.637	-11.782	-11.754	-11.579	-11.570	-11.798	-11.615	-11.961	-11.573	-11.762	-11.770	-11.614	-11.371	-11.679	-11.771	-11.362	-11.699	-117.500	-117.081	-117.273	-117.216	-117.892	-117.340	-117.015	-116.879	-117.753	-117.647	-117.593	-117.727	-117.627	-117.545	-117.652	-117.780	-117.390	-116.883	-117.761	-117.673	-118.017	-117.531	-117.351	-117.763	-116.319	-117.781	-117.291	-117.338	-117.249	-117.625	-117.249	-117.574	263.876	263.987	263.930	264.072	264.125	264.045	264.083	263.906	263.955	263.977	263.809	263.998	264.025	264.105	263.964	264.020	263.932	263.921	264.048	264.048	263.954	264.019	263.843	264.050	263.889	263.956	264.008	264.128	263.975	263.948	264.128	263.981	2016_7_19_17_02_34
FLQS317CGRWY____	-12.113	-11.642	-11.717	-11.922	-11.646	-11.808	-11.497	-11.787	-11.792	-11.651	-12.016	-11.885	-11.818	-11.652	-11.610	-11.788	-11.922	-11.756	-11.855	-11.647	-11.669	-11.617	-11.634	-11.776	-11.693	-11.921	-11.887	-11.572	-11.682	-11.583	-11.638	-11.642	-117.237	-117.216	-117.271	-117.466	-117.426	-117.343	-117.480	-117.285	-117.031	-117.201	-117.157	-117.266	-117.368	-116.207	-117.398	-117.386	-117.460	-117.415	-117.300	-117.414	-117.831	-117.340	-118.027	-117.890	-117.460	-117.457	-117.487	-117.474	-117.650	-117.504	-117.317	-117.251	264.438	264.665	264.631	264.542	264.673	264.591	264.748	264.598	264.583	264.660	264.481	264.550	264.587	264.611	264.689	264.603	264.541	264.619	264.566	264.672	264.681	264.683	264.707	264.633	264.652	264.542	264.560	264.711	264.666	264.707	264.672	264.667	2016_7_19_17_02_34
FLQS3160GRWY____	-11.640	-11.434	-11.573	-11.322	-11.231	-11.266	-11.285	-11.568	-11.525	-11.379	-11.680	-11.485	-11.730	-11.480	-11.539	-11.271	-11.499	-11.480	-11.411	-11.427	-11.403	-11.535	-11.367	-11.307	-11.427	-11.379	-11.469	-11.296	-11.376	-11.365	-11.486	-11.481	-117.473	-117.446	-117.174	-117.703	-117.720	-117.440	-117.707	-117.698	-116.935	-117.417	-117.061	-116.901	-117.786	-118.456	-117.493	-117.552	-118.359	-117.513	-116.957	-117.837	-117.848	-117.887	-117.651	-117.668	-116.897	-117.486	-117.912	-117.892	-118.322	-117.730	-117.475	-116.922	264.216	264.313	264.234	264.380	264.424	264.395	264.398	264.261	264.245	264.339	264.176	264.263	264.187	264.339	264.265	264.397	264.325	264.295	264.302	264.336	264.348	264.286	264.355	264.385	264.291	264.342	264.319	264.401	264.382	264.360	264.290	264.266	2016_7_19_17_02_35
FLQS3126GRWV____	-11.953	-11.764	-11.698	-11.383	-11.747	-11.261	-11.289	-11.770	-11.450	-11.642	-11.663	-11.659	-11.738	-11.367	-11.401	-11.576	-11.506	-11.854	-11.506	-11.762	-11.469	-11.407	-11.750	-11.509	-11.338	-11.760	-11.802	-11.561	-11.791	-11.761	-11.542	-11.499	-117.562	-117.223	-117.407	-117.947	-117.946	-117.475	-117.410	-117.214	-117.166	-117.264	-117.810	-117.784	-117.304	-117.160	-117.269	-117.247	-117.659	-117.944	-117.764	-117.292	-117.363	-117.471	-118.017	-117.315	-117.854	-118.055	-117.171	-117.667	-117.840	-117.431	-117.631	-117.196	264.531	264.606	264.647	264.824	264.649	264.861	264.845	264.603	264.756	264.667	264.683	264.684	264.623	264.795	264.784	264.699	264.752	264.598	264.757	264.611	264.755	264.791	264.651	264.734	264.842	264.648	264.585	264.726	264.623	264.618	264.733	264.733	2016_7_19_17_02_35
