,Distance_X_LOGO_Earphone_LD1,Distance_X_LOGO_Earphone_LD2,Distance_X_LOGO_Earphone_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_LD1,Distance_Y_LOGO_Earphone_LD2,Distance_Y_LOGO_Earphone_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_LD1,Angle_Earphone_LD2,Angle_Earphone_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-29.5637526493,-29.4857823126,-29.5367629173,-29.6417229859,-29.5697503675,-29.5707499872,-29.6037374373,-29.5697503675,-29.5357632976,-29.5707499872,-29.674710436,-29.7106967453,-29.5357632976,-29.4637906792,-29.3628290894,-29.4667895383,-29.4947788899,-29.564752269,-29.4997769884,-29.4308032291,-29.4857823126,-29.4657899186,-29.4657899186,-29.5357632976,-29.4947788899,-29.4248055109,-29.4597922004,-29.4667895383,-29.4947788899,-29.4328024685,-29.6067362964,-29.5007766081,138.887405405,138.897406587,139.236446634,139.125433521,139.094429859,138.986417101,139.161437774,139.092429623,139.128433876,139.165438247,139.159437538,139.304454667,139.023421472,139.120432931,138.914408595,139.05642537,138.991417691,138.956413557,139.052424897,139.020421117,138.825398081,139.228445689,139.127433757,139.1904412,138.991417691,139.061425961,138.921409422,139.087429032,138.991417691,139.023421472,139.159437538,139.125433521,102.158,102.126,102.118,102.168,102.143,102.152,102.151,102.143,102.126,102.137,102.179,102.181,102.135,102.099,102.076,102.105,102.122,102.152,102.119,102.094,102.132,102.091,102.099,102.121,102.122,102.088,102.114,102.103,102.122,102.095,102.152,102.113
FLQS312SGRWV,-29.3206100528,-29.2475836272,-29.3386165686,-29.4416538541,-29.3706281525,-29.3726288765,-29.4076415463,-29.3356154827,-29.3396169306,-29.3726288765,-29.4776668859,-29.5136799176,-29.3366158447,-29.2665905051,-29.1615524957,-29.2675908671,-29.3036038988,-29.443654578,-29.3026035369,-29.2325781973,-29.2895988309,-29.2665905051,-29.2675908671,-29.3006028129,-29.3036038988,-29.2305774733,-29.268591229,-29.2665905051,-29.3036038988,-29.2305774733,-29.4106426322,-29.3026035369,138.949663491,138.862661823,139.22766882,139.156667459,139.052665465,138.979664066,139.192668149,139.11966675,139.197668245,139.156667459,139.188668072,139.297670162,139.013664718,139.074665887,138.864661862,139.045665331,139.080666002,138.943663376,139.01066466,139.006664584,138.814660903,139.149667325,139.04766537,139.152667382,139.080666002,139.102666424,139.01066466,139.077665945,139.080666002,138.983664143,139.045665331,139.079665983,102.02,101.998,102.004,102.05,102.031,102.038,102.034,102.011,102.007,102.023,102.062,102.067,102.021,101.988,101.964,101.991,102.002,102.069,102.007,101.98,102.019,101.982,101.991,101.995,102.002,101.971,101.994,101.988,102.002,101.982,102.047,102.002
FLQS31J6GRWY,-29.5594904924,-29.488405144,-29.5374640464,-29.64459267,-29.5725061195,-29.5735073216,-29.6065469906,-29.5715049175,-29.5394664506,-29.5735073216,-29.71167321,-29.7136756142,-29.5384652485,-29.4683811022,-29.4013005622,-29.5034231754,-29.5414688548,-29.6075481927,-29.5364628443,-29.4693823043,-29.4854015378,-29.5024219733,-29.5024219733,-29.5364628443,-29.5414688548,-29.4013005622,-29.5064267816,-29.5044243775,-29.5414688548,-29.4343402312,-29.6435914679,-29.5034231754,138.933891867,138.760888266,139.132896009,139.093895197,139.057894448,138.957892366,139.128895926,139.064894594,139.063894573,139.128895926,139.129895947,139.206897549,139.020893678,139.051894323,138.735887745,138.993893116,138.980892845,139.024893761,138.985892949,138.98689297,138.759888245,139.160896592,139.024893761,139.123895822,138.980892845,138.980892845,138.910891388,139.025893782,138.980892845,138.984892928,139.06089451,139.086895051,102.081,102.067,102.055,102.101,102.075,102.084,102.083,102.074,102.062,102.07,102.124,102.118,102.065,102.035,102.035,102.054,102.07,102.092,102.067,102.041,102.066,102.039,102.051,102.056,102.07,102.014,102.062,102.051,102.07,102.027,102.103,102.046
FLQS31FWGRWY,-29.579134901,-29.5081321767,-29.560134172,-29.6651382008,-29.5941354765,-29.5961355533,-29.6311368962,-29.5931354382,-29.5611342103,-29.5951355149,-29.7011395821,-29.736140925,-29.560134172,-29.4891314477,-29.3861274956,-29.4741308722,-29.5261328674,-29.5951355149,-29.525132829,-29.4571302199,-29.5151324453,-29.4901314861,-29.4901314861,-29.560134172,-29.5261328674,-29.4551301431,-29.4931316012,-29.4931316012,-29.5261328674,-29.4921315628,-29.6321369346,-29.5261328674,139.021728479,138.975723605,139.25375306,139.181745432,139.143741405,139.039730386,139.214748928,139.145741617,139.178745114,139.217749246,139.215749034,139.288756769,139.107737591,139.168744054,138.966722651,138.931718943,139.111738015,139.143741405,139.037730174,139.036730068,138.76670146,139.213748822,139.140741088,139.209748398,139.111738015,139.13274024,139.040730492,139.176744902,139.111738015,139.005726784,139.115738439,139.170744266,101.991,101.967,101.965,102.012,101.987,101.997,101.996,101.987,101.971,101.981,102.023,102.031,101.977,101.944,101.92,101.958,101.963,101.987,101.969,101.942,101.988,101.94,101.947,101.968,101.963,101.933,101.956,101.944,101.963,101.959,102.004,101.958
FLQS31CRGRWY,-29.8706866796,-29.841672414,-29.8436733978,-29.9487250491,-29.877690123,-29.8786906149,-29.9147083239,-29.8766896311,-29.8436733978,-29.8806915987,-30.0217609591,-30.0197599752,-29.8436733978,-29.7746394555,-29.6705882961,-29.7746394555,-29.8096566726,-29.877690123,-29.8956989775,-29.7396222384,-29.7966502777,-29.7736389636,-29.7736389636,-29.8446738897,-29.8096566726,-29.7366207627,-29.7746394555,-29.7736389636,-29.8096566726,-29.7386217465,-29.913707832,-29.8106571645,138.746748132,138.726746294,138.951766969,138.994770921,138.958767613,138.923764396,138.956767429,138.991770645,138.991770645,138.996771104,138.990770553,139.173787369,138.85175778,138.914763569,138.704744273,138.85175778,138.986770185,138.956767429,138.883760721,138.847757413,138.616736187,139.060776985,139.024773677,138.991770645,138.986770185,138.984770002,138.850757689,138.921764213,138.986770185,138.885760905,139.025773769,138.915763661,102.153,102.143,102.125,102.163,102.138,102.141,102.153,102.135,102.122,102.136,102.192,102.176,102.134,102.101,102.078,102.107,102.109,102.138,102.151,102.093,102.135,102.088,102.091,102.122,102.109,102.08,102.107,102.1,102.109,102.089,102.146,102.115
FLQS319LGRWY,-29.6185754527,-29.5465132274,-29.6005598964,-29.7056506416,-29.6345892805,-29.6355901448,-29.6706203932,-29.6345892805,-29.6025616248,-29.6355901448,-29.74068089,-29.7757111384,-29.5995590321,-29.5304993996,-29.461439767,-29.5675313764,-29.565529648,-29.6345892805,-29.5645287837,-29.4944682869,-29.5465132274,-29.5284976711,-29.5284976711,-29.6005598964,-29.565529648,-29.4914656942,-29.5304993996,-29.5304993996,-29.565529648,-29.4944682869,-29.6706203932,-29.565529648,138.959175642,138.860164116,139.192202767,139.120194385,139.02118286,138.985178669,139.158198809,139.122194618,139.160199042,139.125194967,139.125194967,139.231207308,138.984178552,139.109193105,138.829160507,138.977177737,139.117194036,139.086190427,139.04618577,139.013181928,138.787155618,139.15519846,139.086190427,139.190202535,139.117194036,139.108192988,139.015182161,139.082189961,139.117194036,139.017182394,139.119194269,139.047185887,102.094,102.074,102.067,102.115,102.095,102.099,102.098,102.087,102.071,102.087,102.128,102.133,102.085,102.047,102.043,102.072,102.06,102.09,102.066,102.041,102.08,102.042,102.048,102.068,102.06,102.032,102.055,102.049,102.06,102.04,102.101,102.066
FLQS319HGRWY,-29.4231157502,-29.3541225134,-29.4051175145,-29.5101072227,-29.4391141819,-29.4411139859,-29.4751106533,-29.4401140839,-29.4441136919,-29.4411139859,-29.5431039882,-29.5781005576,-29.4071173185,-29.3361242777,-29.2301346675,-29.3351243757,-29.3711208471,-29.4401140839,-29.3701209451,-29.3031275123,-29.3521227094,-29.3721207491,-29.3341244737,-29.4041176125,-29.3711208471,-29.2971281004,-29.3741205531,-29.3731206511,-29.3711208471,-29.2971281004,-29.4741107513,-29.3711208471,138.962799984,138.864803651,139.235789769,139.129793735,139.064796167,138.991798899,139.199791116,139.10079482,139.16679235,139.197791191,139.195791265,139.271788422,139.133793585,139.060796317,138.880803052,139.028797514,139.097794932,139.12779381,139.057796429,138.989798974,138.869803464,139.164792425,139.09679497,139.195791265,139.097794932,139.119794109,138.987799048,139.057796429,139.097794932,139.028797514,139.13179366,139.200791078,101.865,101.846,101.835,101.885,101.863,101.869,101.865,101.86,101.856,101.852,101.893,101.9,101.844,101.822,101.795,101.825,101.833,101.858,101.836,101.815,101.844,101.828,101.819,101.838,101.833,101.802,101.843,101.837,101.833,101.81,101.871,101.824
FLQS317CGRWY,-29.4202305439,-29.3522738987,-29.3992439329,-29.5091738,-29.4372197052,-29.43921843,-29.4552082289,-29.4352209803,-29.404240745,-29.43921843,-29.544151485,-29.5771304452,-29.4022420201,-29.3322866501,-29.2293523199,-29.3362840998,-29.4202305439,-29.4402177924,-29.36926306,-29.2983083275,-29.3602687981,-29.3352847374,-29.334285375,-29.4032413826,-29.4202305439,-29.2983083275,-29.3362840998,-29.3362840998,-29.4202305439,-29.2983083275,-29.5091738,-29.3682636976,138.82720137,138.692227425,138.979172035,138.947178211,138.918183808,138.883190562,138.853196352,138.91418458,138.991169719,139.021163929,139.018164508,139.089150805,138.881190948,138.943178983,138.74721681,138.917184001,138.818203107,138.99416914,138.917184001,138.840198861,138.52725927,139.058156788,138.953177053,139.022163736,138.818203107,138.943178983,138.917184001,138.955176667,138.818203107,138.809204844,138.909185545,138.949177825,101.969,101.954,101.948,101.994,101.968,101.972,101.98,101.968,101.949,101.96,102.002,102.009,101.957,101.924,101.9,101.928,101.97,101.963,101.941,101.92,101.97,101.916,101.924,101.946,101.97,101.911,101.928,101.925,101.97,101.922,101.997,101.938
FLQS3160GRWY,-29.7627024743,-29.7266616627,-29.7416786675,-29.8808362458,-29.7757172119,-29.8127591572,-29.8097557562,-29.8097557562,-29.7777194792,-29.8117580235,-29.9148747901,-29.9499144681,-29.7406775339,-29.7086412569,-29.5995176883,-29.7056378559,-29.7066389896,-29.8137602908,-29.7046367222,-29.6705981779,-29.72866393,-29.7056378559,-29.7056378559,-29.7406775339,-29.7066389896,-29.6705981779,-29.7056378559,-29.6715993116,-29.7066389896,-29.6345573663,-29.8447954342,-29.7066389896,138.828631974,138.731636423,139.110619039,139.033622571,138.972625369,138.829631928,139.039622296,139.035622479,139.036622433,139.071620828,139.066621057,139.174616103,138.933627158,138.926627479,138.780634175,138.899628717,139.000624084,138.89062913,138.960625919,138.894628946,138.616641698,139.101619452,138.96562569,139.036622433,139.000624084,138.988624635,138.929627341,138.93662702,139.000624084,138.900628671,139.033622571,139.001624039,101.943,101.937,101.912,101.973,101.937,101.963,101.944,101.945,101.932,101.942,101.983,101.988,101.926,101.914,101.883,101.915,101.907,101.958,101.909,101.902,101.948,101.898,101.909,101.917,101.907,101.894,101.913,101.899,101.907,101.887,101.959,101.907
FLQS3126GRWV,-29.4638874013,-29.388024155,-29.4858478148,-29.5487344532,-29.51080283,-29.4788604105,-29.546738052,-29.51080283,-29.4429251885,-29.5127992312,-29.5836714745,-29.6176102953,-29.4768640093,-29.4159737721,-29.311162708,-29.3750475471,-29.4079881672,-29.4768640093,-29.4099845684,-29.3381141245,-29.393015158,-29.3740493465,-29.3720529452,-29.4429251885,-29.4079881672,-29.3730511458,-29.4089863678,-29.3460997294,-29.4079881672,-29.3371159239,-29.5557218575,-29.4099845684,138.886114398,138.801111267,138.905115097,139.054120584,139.016119185,138.977117749,139.086121763,139.020119332,139.083121652,139.054120584,139.119122978,139.195125777,138.980117859,138.905115097,138.730108653,139.012119038,139.048120363,139.016119185,139.010118964,139.00511878,138.679106775,139.152124193,139.013119075,139.156124341,139.048120363,139.07112121,138.975117675,138.940116386,139.048120363,138.950116755,138.975117675,139.118122941,102.194,102.171,102.201,102.213,102.201,102.192,102.21,102.201,102.169,102.199,102.222,102.229,102.191,102.174,102.147,102.148,102.158,102.188,102.162,102.134,102.183,102.136,102.147,102.163,102.158,102.142,102.165,102.143,102.158,102.138,102.223,102.153
