,Distance_X_LOGO_MainBoard_RU1,Distance_X_LOGO_MainBoard_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_RU1,Distance_Y_LOGO_MainBoard_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_RU1,Angle_MainBoard_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-65.9228054059,-65.782856769,-65.8888178798,-65.6449073983,-65.550941885,-65.6798945576,-65.6119195054,-65.7138820837,-65.7128824505,-65.6479062977,-65.8308391588,-65.6529044633,-65.6449073983,-65.7518681423,-66.0167709192,-65.6119195054,-65.9607914645,-65.7538674085,-65.6449073983,-65.7588655741,-65.6179173041,-65.6479062977,-65.6479062977,-65.5109565602,-65.9497955001,-65.6469066646,-65.7478696098,-65.9178072403,-65.8428347562,-65.7008868531,-65.9278035715,-65.6688985932,131.375076826,131.197071302,131.343075833,131.168070402,131.204071519,131.060067051,131.205071551,131.062067113,131.096068168,130.963064041,131.226072202,131.176070651,131.168070402,131.09806823,131.273073661,131.136069409,131.145069689,131.173070557,131.061067082,131.177070682,130.959063916,131.192071147,131.134069347,131.027066027,131.202071457,131.100068292,130.857060751,131.306074685,131.132069285,131.237072544,131.148069782,131.275073723,116.791,116.774,116.785,116.731,116.692,116.762,116.713,116.773,116.767,116.767,116.785,116.732,116.731,116.78,116.842,116.725,116.845,116.768,116.75,116.769,116.758,116.727,116.738,116.708,116.831,116.743,116.821,116.802,116.806,116.738,116.833,116.72
FLQS312SGRWV,-65.7412185436,-65.5961673143,-65.7072065312,-65.4141030127,-65.3220705085,-65.4501157317,-65.3840924135,-65.4931309238,-65.4941312771,-65.4651210313,-65.6481856862,-65.4651210313,-65.4141030127,-65.5651563618,-65.7952376221,-65.3850927668,-65.7452199569,-65.5381468226,-65.4171040726,-65.5371464693,-65.4341100788,-65.4091012461,-65.4201051325,-65.2820563763,-65.7262132441,-65.4201051325,-65.5671570684,-65.6962026449,-65.618175087,-65.4751245643,-65.7432192502,-65.4431132585,131.442066086,131.267079311,131.411068428,131.272078933,131.267079311,131.126089966,131.270079084,131.12708989,131.159087472,131.026097523,131.286077875,131.238081502,131.272078933,131.16308717,131.335074172,131.200084374,131.208083769,131.241081275,131.126089966,131.239081427,130.991100168,131.304076514,131.200084374,131.09309246,131.265079462,131.165087019,130.912106138,131.372071376,131.193084903,131.299076892,131.211083543,131.336074096,116.67,116.65,116.664,116.586,116.555,116.624,116.576,116.639,116.634,116.646,116.665,116.61,116.586,116.658,116.708,116.588,116.713,116.635,116.612,116.635,116.642,116.579,116.601,116.571,116.696,116.607,116.702,116.667,116.671,116.603,116.711,116.585
FLQS31J6GRWY,-65.9322278518,-65.7920636745,-65.8671516266,-65.6178596255,-65.5277540829,-65.6498971518,-65.586823272,-65.6909452323,-65.6899440596,-65.6639135695,-65.8481293454,-65.668919433,-65.6178596255,-65.7239839312,-65.9993064224,-65.586823272,-65.9402372334,-65.7339956582,-65.6178596255,-65.7369991763,-65.6298736979,-65.6188607982,-65.622865489,-65.4827013116,-65.9292243338,-65.6508983245,-65.7940660199,-65.9352313699,-65.8261035461,-65.6799323326,-65.9442419242,-65.6488959791,131.332737593,131.161719704,131.341738534,131.164720018,131.206724411,131.058708929,131.161719704,131.024705372,131.094712695,130.960698677,131.178721482,131.172720855,131.164720018,131.100713323,131.225726399,131.091712381,131.138717298,131.134716879,131.021705058,131.13271667,130.959698572,131.195723261,131.090712276,130.99170192,131.157719285,131.058708929,130.815683508,131.266730688,131.087711963,131.191722842,131.141717612,131.230726922,116.716,116.698,116.692,116.636,116.597,116.666,116.626,116.686,116.674,116.688,116.714,116.653,116.636,116.685,116.759,116.638,116.753,116.682,116.661,116.683,116.676,116.631,116.651,116.619,116.746,116.666,116.759,116.729,116.722,116.653,116.754,116.636
FLQS31FWGRWY,-65.8597464458,-65.6837417786,-65.8257455442,-65.5817390737,-65.4517356263,-65.6177400284,-65.5137372705,-65.6157399753,-65.65174093,-65.5847391533,-65.7677440061,-65.5897392859,-65.5817390737,-65.6867418581,-65.92174809,-65.5477381721,-65.8637465519,-65.6577410891,-65.5507382516,-65.6567410626,-65.5537383312,-65.5127372439,-65.5847391533,-65.4127345921,-65.8507462072,-65.5847391533,-65.6837417786,-65.8197453851,-65.7457434227,-65.6037396571,-65.867746658,-65.5697387555,131.402511245,131.224502424,131.36850956,131.230502721,131.228502622,131.089495734,131.229502672,131.088495685,131.129497716,130.996491126,131.246503514,131.204501433,131.230502721,131.122497369,131.30050619,131.159499203,131.170499748,131.203501383,131.086495585,131.202501334,131.027492662,131.262504307,131.159499203,131.055494049,131.228502622,131.125497518,130.921487409,131.375509907,131.158499153,131.261504257,131.21050173,131.29950614,116.6,116.57,116.594,116.533,116.488,116.57,116.51,116.57,116.575,116.575,116.595,116.54,116.533,116.589,116.639,116.534,116.642,116.564,116.547,116.564,116.559,116.503,116.547,116.505,116.627,116.553,116.623,116.591,116.603,116.535,116.636,116.517
FLQS31CRGRWY,-66.192374887,-66.0443069403,-66.1563583594,-65.9082445029,-65.8152018068,-65.9452614896,-65.8752293527,-65.9742748034,-65.9722738852,-65.9412596532,-66.0953303544,-65.9122463393,-65.9082445029,-66.0162940856,-66.284417124,-65.8752293527,-66.2293918736,-66.0162940856,-65.9132467984,-66.0152936265,-65.8772302709,-65.8792311891,-65.9122463393,-65.7411678334,-66.182370296,-65.9112458802,-66.0072899537,-66.1803693778,-66.1073358636,-65.9642702125,-66.2273909554,-65.9322555213,131.179997396,131.005069408,131.146011387,131.013066116,131.013066116,130.872124138,130.968084634,130.868125784,130.908109324,130.774164465,131.029059532,130.983078461,131.013066116,130.90411097,131.077039781,130.942095333,130.948092864,130.987076815,130.869125372,130.986077227,130.773164876,131.001071054,130.943094921,130.836138952,131.006068997,130.907109735,130.664209729,131.11102579,130.939096567,131.042054183,130.948092864,131.077039781,116.763,116.742,116.757,116.694,116.661,116.731,116.69,116.742,116.735,116.747,116.756,116.7,116.694,116.751,116.813,116.695,116.817,116.736,116.721,116.736,116.725,116.686,116.708,116.667,116.791,116.713,116.79,116.771,116.776,116.708,116.816,116.691
FLQS319LGRWY,-65.9819485091,-65.8428326561,-65.947920171,-65.7027159696,-65.5786126187,-65.7407476416,-65.6666859645,-65.7447509755,-65.7757768133,-65.7127243043,-65.8898718294,-65.7137251378,-65.7027159696,-65.7797801472,-66.0419985176,-65.665685131,-65.9819485091,-65.7827826476,-65.7047176365,-65.7817818141,-65.6796967997,-65.6646842975,-65.7017151361,-65.5345759458,-66.0039668456,-65.7007143026,-65.8108059849,-65.9429160036,-65.8698551599,-65.726735973,-65.9869526765,-65.6927076348,131.351975728,131.165960185,131.314972636,131.170960603,131.163960018,131.023948318,131.17296077,131.026948569,131.059951327,130.922939878,131.192962441,131.140958096,131.170960603,131.063951661,131.242966619,131.104955087,131.156959433,131.139958012,131.02994882,131.135957678,130.927940296,131.202963277,131.104955087,130.988945393,131.171960686,131.068952079,130.820931354,131.281969878,131.098954586,131.20396336,131.155959349,131.240966452,116.725,116.709,116.72,116.659,116.617,116.698,116.646,116.699,116.704,116.706,116.721,116.669,116.659,116.705,116.765,116.658,116.759,116.693,116.685,116.693,116.694,116.64,116.671,116.633,116.764,116.676,116.758,116.724,116.73,116.662,116.761,116.644
FLQS319HGRWY,-65.6809726204,-65.5369682955,-65.6449715392,-65.3939640006,-65.3039612975,-65.4289650518,-65.3639630995,-65.4709663132,-65.4709663132,-65.4399653821,-65.6249709385,-65.4109645111,-65.3939640006,-65.5039673043,-65.7779755337,-65.3619630395,-65.7179737317,-65.5109675146,-65.3959640606,-65.5129675746,-65.4109645111,-65.3889638504,-65.3999641808,-65.260960006,-65.7069734013,-65.3999641808,-65.5059673644,-65.6749724402,-65.6389713589,-65.4599659828,-65.7219738518,-65.4239649016,131.462907504,131.285917053,131.426909446,131.289916837,131.282917214,131.147924497,131.287916945,131.147924497,131.186922393,131.046929946,131.264918185,131.261918347,131.289916837,131.181922663,131.351913492,131.217920721,131.227920182,131.261918347,131.146924551,131.258918509,131.051929676,131.320915164,131.216920775,131.111926439,131.285917053,131.182922609,130.941935611,131.390911388,131.213920937,131.317915326,131.264918185,131.355913276,116.454,116.435,116.448,116.384,116.354,116.421,116.374,116.436,116.429,116.443,116.469,116.395,116.384,116.442,116.508,116.386,116.508,116.43,116.41,116.432,116.432,116.377,116.399,116.369,116.494,116.405,116.484,116.465,116.483,116.403,116.504,116.383
FLQS317CGRWY,-65.7447017794,-65.5727914629,-65.6787361929,-65.4328644612,-65.3459098244,-65.4688456902,-65.3998816679,-65.5058263978,-65.5058263978,-65.4778409975,-65.6647434927,-65.4828383904,-65.4328644612,-65.5388091911,-65.817663716,-65.3988821893,-65.7556960438,-65.5518024127,-65.4338639398,-65.5508029341,-65.4478566399,-65.3988821893,-65.4358628969,-65.3039317238,-65.7776845727,-65.4338639398,-65.5418076268,-65.7157169005,-65.6747382785,-65.495831612,-65.7616929153,-65.4648477759,131.302925219,131.127959964,131.272931175,131.133958773,131.12496056,130.986987959,131.134958574,130.989987363,131.026980017,130.890007218,131.147955993,131.099965523,131.133958773,131.070971281,131.195946463,131.063972671,131.112962942,131.102964928,130.988987562,131.098965722,130.888007615,131.166952221,131.061973068,130.953994511,131.126960163,131.026980017,130.787027668,131.23493872,131.055974259,131.161953214,131.110963339,131.199945669,116.604,116.574,116.586,116.524,116.495,116.562,116.513,116.575,116.568,116.583,116.603,116.548,116.524,116.572,116.648,116.525,116.641,116.571,116.55,116.572,116.573,116.507,116.538,116.511,116.646,116.543,116.623,116.605,116.623,116.542,116.643,116.524
FLQS3160GRWY,-66.0827514435,-65.9355961187,-66.0447112915,-65.7954481902,-65.6723182245,-65.828483059,-65.7664175479,-65.8675242677,-65.8665232111,-65.8374925687,-66.0296954421,-65.8074608698,-65.7954481902,-65.9055644197,-66.1798539368,-65.7644154346,-66.1207915956,-65.8755327207,-65.7984513601,-65.9115707595,-65.7734249443,-65.7644154346,-65.80145453,-65.6262696194,-66.1398116716,-65.7984513601,-65.9015601932,-66.0777461604,-66.002666913,-65.858514758,-66.0817503869,-65.8294841157,131.305281378,131.086272569,131.229278321,131.09227281,131.088272649,130.951267139,131.09327285,130.949267058,130.990268707,130.857263358,131.066271764,131.061271563,131.09227281,130.986268546,131.155275344,131.023270035,131.029270276,131.102273212,130.948267018,131.063271644,130.851263116,131.123274057,131.023270035,130.91326561,131.043270839,130.988268627,130.750259054,131.191276792,131.017269793,131.119273896,131.028270236,131.155275344,116.549,116.536,116.549,116.486,116.444,116.522,116.476,116.536,116.529,116.542,116.572,116.496,116.486,116.543,116.609,116.487,116.611,116.512,116.512,116.532,116.52,116.47,116.5,116.458,116.615,116.505,116.583,116.567,116.571,116.503,116.597,116.487
FLQS3126GRWV,-66.0328116723,-65.891052518,-65.9958744278,-65.7492933638,-65.6584477086,-65.7902238238,-65.716349335,-65.8201729409,-65.8181763331,-65.7562814911,-65.9369744976,-65.7592764028,-65.7492933638,-65.8541152736,-66.0857217791,-65.7123561193,-66.0747404362,-65.8271610682,-65.7562814911,-65.8281593721,-65.7632696184,-65.7123561193,-65.7492933638,-65.5845732197,-66.0497828386,-65.7482950599,-65.8541152736,-65.9878879966,-65.9150118117,-65.8042000784,-66.0338099762,-65.7393103247,131.379232909,131.148199088,131.299221196,131.163201284,131.11419411,131.057185764,131.120194988,131.016179761,131.055185471,130.920165705,131.180203773,131.131196599,131.163201284,131.054185325,131.229210947,131.094191181,131.104192646,131.171202455,131.015179615,131.132196745,130.882160142,131.193205676,131.093191035,130.98317493,131.158200552,131.056185618,130.780145208,131.265216218,131.131196599,131.19220553,131.143198356,131.228210801,116.922,116.913,116.923,116.861,116.838,116.894,116.857,116.912,116.904,116.906,116.924,116.87,116.861,116.917,116.967,116.861,116.985,116.887,116.89,116.894,116.915,116.843,116.873,116.835,116.967,116.879,116.965,116.927,116.925,116.875,116.964,116.846
