,Distance_X_LOGO_Front_Camera_LD1,Distance_X_LOGO_Front_Camera_LD2,Distance_X_LOGO_Front_Camera_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Front_Camera_LD1,Distance_Y_LOGO_Front_Camera_LD2,Distance_Y_LOGO_Front_Camera_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Front_Camera_LD1,Angle_Front_Camera_LD2,Angle_Front_Camera_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30MJGRWV,-23.1522519232,-23.0851352358,-23.0861369774,-23.0480707965,-23.0480707965,-22.945893153,-22.9799523675,-22.9448914114,-22.9478966362,-22.9138374217,-22.9118339385,-22.9118339385,-22.9789506259,-22.9829575923,-22.9499001194,-22.9829575923,-22.9478966362,-22.9499001194,-22.9749436595,-22.8767729824,-22.9138374217,-22.9438896698,-22.9488983778,-22.9849610755,-22.9829575923,-22.9118339385,-22.9098304553,-23.0160150652,-22.9438896698,-23.0150133236,-22.9849610755,-22.9789506259,138.759693631,138.762694121,138.698683653,138.792699029,138.792699029,138.775696248,138.829705081,138.767694939,138.735689705,138.848708189,138.841707044,138.841707044,138.796699683,138.769695267,138.796699683,138.769695267,138.735689705,138.760693794,138.87971326,138.843707371,138.848708189,138.794699356,138.739690359,138.727688396,138.696683326,138.841707044,138.725688069,138.794699356,138.690682344,138.734689541,138.697683489,138.796699683,99.318,99.291,99.295,99.274,99.274,99.234,99.244,99.234,99.237,99.216,99.216,99.216,99.246,99.249,99.234,99.249,99.237,99.237,99.239,99.202,99.216,99.232,99.237,99.253,99.254,99.216,99.223,99.261,99.239,99.264,99.255,99.246
FLQS30MEGRWV,-22.8481201803,-22.7774723042,-22.7754822231,-22.708814509,-22.708814509,-22.6391616733,-22.6729930507,-22.601350134,-22.6003550935,-22.601350134,-22.5993600529,-22.5993600529,-22.6729930507,-22.6361765518,-22.6351815113,-22.6361765518,-22.6003550935,-22.6341864708,-22.6729930507,-22.5665237161,-22.601350134,-22.6381666328,-22.6361765518,-22.6700079291,-22.6331914303,-22.5993600529,-22.6023451745,-22.71080459,-22.6381666328,-22.7078194685,-22.6690128886,-22.6729930507,138.89345612,138.894456195,138.930458905,138.931458981,138.931458981,138.936459357,138.96346139,138.863453861,138.938459508,138.970461917,138.967461691,138.967461691,138.928458755,138.968461766,138.92945883,138.968461766,138.938459508,138.89345612,138.96546154,138.931458981,138.970461917,138.928458755,138.864453936,138.860453635,138.830451377,138.967461691,138.89545627,138.928458755,138.825451,138.870454388,138.797448892,138.928458755,99.247,99.218,99.215,99.188,99.188,99.159,99.172,99.149,99.144,99.142,99.142,99.142,99.174,99.156,99.158,99.156,99.144,99.16,99.171,99.13,99.142,99.16,99.163,99.177,99.164,99.142,99.147,99.189,99.166,99.192,99.181,99.174
FLQS30LFGRWY,-23.1400009452,-23.0762763298,-23.1161042144,-23.0025947433,-23.0025947433,-22.9338916424,-22.9727238299,-22.9050164261,-22.9468357049,-22.9060121232,-22.9597797674,-22.9597797674,-22.9667496472,-22.9946291664,-22.9398658251,-22.9946291664,-22.9468357049,-22.9408615222,-22.9687410414,-22.8701670271,-22.9060121232,-22.9319002482,-22.9408615222,-23.0175302001,-22.9398658251,-22.9597797674,-22.8970508492,-23.0523795991,-22.9319002482,-23.0095646231,-22.9747152241,-22.9667496472,138.959060965,138.901048416,138.961061398,138.996068971,138.996068971,139.009071784,138.973063995,138.938056422,138.868041275,139.086088445,139.018073732,139.018073732,138.992068106,139.018073732,138.994068539,139.018073732,138.868041275,138.957060533,138.972063778,138.997069188,139.086088445,138.99106789,138.896047334,138.818030456,138.903048848,139.018073732,138.925053609,138.992068106,138.890046036,138.832033486,138.890046036,138.992068106,99.45,99.429,99.441,99.393,99.393,99.364,99.382,99.357,99.379,99.348,99.374,99.374,99.379,99.388,99.368,99.388,99.379,99.37,99.381,99.339,99.348,99.364,99.374,99.411,99.374,99.374,99.355,99.413,99.371,99.407,99.389,99.379
FLQS30KNGRWV,-23.3068505944,-23.1615460395,-23.1585397384,-23.0944053142,-23.0944053142,-23.022254087,-23.0082246817,-22.9961994772,-22.9951973768,-22.9972015775,-22.9921910756,-22.9921910756,-23.0573276002,-23.0653444032,-23.0292687896,-23.0653444032,-22.9951973768,-23.0292687896,-23.0533191987,-22.9571175624,-22.9972015775,-23.022254087,-23.0272645889,-23.0653444032,-23.0272645889,-22.9921910756,-22.985176373,-23.0954074146,-22.9761574696,-23.0944053142,-23.0623381021,-23.0573276002,138.808942462,138.901932375,138.906931832,138.887933893,138.887933893,138.947927385,138.980923806,138.82694051,138.865936279,138.8989327,138.940928145,138.940928145,138.882934436,138.822940943,138.886934002,138.822940943,138.865936279,138.848938123,138.974924457,138.939928253,138.8989327,138.881934544,138.837939316,138.817941486,138.844938557,138.940928145,138.865936279,138.884934219,138.78794474,138.828940293,138.835939533,138.882934436,99.501,99.437,99.435,99.411,99.411,99.378,99.37,99.375,99.373,99.371,99.366,99.366,99.396,99.403,99.385,99.403,99.373,99.387,99.388,99.352,99.371,99.382,99.387,99.404,99.387,99.366,99.369,99.411,99.37,99.415,99.401,99.396
FLQS30K5GRWY,-23.1102560599,-23.0742572187,-23.0742572187,-23.0052594398,-23.0052594398,-22.9372616287,-22.9702605664,-22.8612640751,-22.862264043,-22.8632640108,-22.8612640751,-22.8612640751,-22.9702605664,-22.8992628519,-22.8962629485,-22.8992628519,-22.862264043,-22.8962629485,-22.9712605343,-22.8272651696,-22.8632640108,-22.9342617253,-22.9392615643,-22.9312618219,-22.9332617575,-22.8612640751,-22.8992628519,-22.9712605343,-22.8982628841,-23.009259311,-22.9312618219,-22.9702605664,138.965465466,139.010476629,139.018478614,139.048486056,139.048486056,139.063489777,139.088495979,138.992472164,139.032482087,139.068491018,139.055487793,139.055487793,139.050486552,139.064490025,139.053487296,139.064490025,139.032482087,139.016478118,139.029481343,139.057488289,139.068491018,139.050486552,138.811427262,138.985470427,138.854437929,139.055487793,138.979468939,139.052487048,138.949461496,138.849436689,138.949461496,139.050486552,99.432,99.415,99.414,99.384,99.384,99.356,99.368,99.33,99.328,99.326,99.326,99.326,99.37,99.341,99.34,99.341,99.328,99.343,99.372,99.312,99.326,99.356,99.374,99.359,99.368,99.326,99.347,99.371,99.348,99.399,99.361,99.37
FLQS30K3GRWY,-23.1365378072,-23.110524835,-23.1065228393,-23.0404899097,-23.0404899097,-22.9244320336,-22.9594494962,-22.9314355261,-22.9284340293,-22.933436524,-22.9304350272,-22.9304350272,-23.0054724471,-22.9684539866,-22.9684539866,-22.9684539866,-22.9284340293,-22.9664529887,-22.9614504941,-22.8954175646,-22.933436524,-22.9284340293,-22.9674534877,-22.9994694535,-22.9664529887,-22.9304350272,-22.889414571,-23.0424909076,-22.9284340293,-22.9984689546,-23.0014704514,-23.0054724471,138.865165587,138.85816578,138.915164207,138.894164786,138.894164786,138.965162826,138.987162219,138.884165063,138.994162025,138.961162936,138.945163378,138.945163378,138.893164814,138.956163075,138.895164759,138.956163075,138.994162025,138.857165808,138.938163572,138.947163323,138.961162936,138.899164648,138.842166222,138.877165256,138.797167465,138.945163378,138.884165063,138.892164842,138.79516752,138.842166222,138.840166277,138.893164814,99.354,99.344,99.339,99.313,99.313,99.262,99.275,99.27,99.262,99.266,99.266,99.266,99.299,99.281,99.284,99.281,99.262,99.286,99.279,99.252,99.266,99.268,99.288,99.298,99.29,99.266,99.254,99.315,99.275,99.3,99.301,99.299
FLQS30K1GRWY,-22.8627717527,-22.7928091725,-22.7918097071,-22.7218471269,-22.7218471269,-22.6528840121,-22.6878653022,-22.6169032565,-22.6189021874,-22.6209011182,-22.6169032565,-22.6169032565,-22.6888647676,-22.6548829429,-22.6518845466,-22.6548829429,-22.6189021874,-22.6528840121,-22.6878653022,-22.5819219664,-22.6209011182,-22.6538834775,-22.6908636985,-22.7258449886,-22.6548829429,-22.6169032565,-22.6149043257,-22.7668230713,-22.6568818738,-22.719848196,-22.7258449886,-22.6888647676,138.977431921,138.983431508,138.988431164,139.015429305,139.015429305,139.034427997,139.058426345,138.956433367,138.998430476,139.035427928,139.018429099,139.018429099,138.949433849,139.02842841,139.012429512,139.02842841,138.998430476,138.977431921,138.986431302,139.018429099,139.035427928,138.948433918,138.701450922,138.954433505,138.854440389,139.018429099,138.949433849,139.016429236,138.746447824,139.017429168,138.996430613,138.949433849,99.338,99.31,99.309,99.279,99.279,99.25,99.263,99.241,99.239,99.237,99.237,99.237,99.27,99.251,99.251,99.251,99.239,99.254,99.267,99.223,99.237,99.256,99.287,99.285,99.262,99.237,99.24,99.297,99.271,99.278,99.282,99.27
FLQS30JCGRWV,-22.8215486829,-22.7505251905,-22.7485245287,-22.6825026907,-22.6825026907,-22.6104788674,-22.646490779,-22.5714659631,-22.5714659631,-22.5714659631,-22.5734666248,-22.5734666248,-22.6404887937,-22.6074778747,-22.6084782056,-22.6074778747,-22.5714659631,-22.6024762203,-22.638488132,-22.5374547132,-22.5714659631,-22.6084782056,-22.6074778747,-22.6434897864,-22.5994752277,-22.5734666248,-22.5764676175,-22.7175142715,-22.6114791982,-22.679501698,-22.6404887937,-22.6404887937,138.789604741,138.791604347,138.789604741,138.828597045,138.828597045,138.87958698,138.862590335,138.801602373,138.840594677,138.871588559,138.832596255,138.832596255,138.916579678,138.869588954,138.83059665,138.869588954,138.840594677,138.876587572,138.953572376,138.827597242,138.871588559,138.86458994,138.76261007,138.757611057,138.818599018,138.832596255,138.755611451,138.827597242,138.722617964,138.807601189,138.763609873,138.916579678,99.404,99.376,99.375,99.346,99.346,99.314,99.329,99.303,99.3,99.299,99.302,99.302,99.323,99.313,99.316,99.313,99.3,99.311,99.32,99.288,99.299,99.314,99.32,99.335,99.313,99.302,99.308,99.36,99.324,99.346,99.333,99.323
FLQS30J0GRWV,-22.6466083237,-22.5796094824,-22.5746095689,-22.509610693,-22.509610693,-22.4396119037,-22.4736113157,-22.3656131835,-22.3656131835,-22.3656131835,-22.3996125955,-22.3996125955,-22.4696113848,-22.4336120075,-22.3976126301,-22.4336120075,-22.3656131835,-22.3966126474,-22.4306120593,-22.3646132008,-22.3656131835,-22.4006125782,-22.4346119902,-22.4376119383,-22.4306120593,-22.3996125955,-22.3996125955,-22.5116106585,-22.4056124917,-22.5046107795,-22.4686114021,-22.4696113848,138.934368421,138.867361974,138.93736871,138.900365149,138.900365149,138.942369191,138.936368614,138.862361493,138.899365053,138.932368229,138.901365246,138.901365246,138.972372078,138.936368614,138.973372174,138.936368614,138.899365053,138.938368806,139.071381605,138.895364668,138.932368229,138.976372463,138.828358221,138.827358124,138.872362455,138.901365246,138.901365246,138.900365149,138.826358028,138.870362262,138.831358509,138.972372078,99.156,99.134,99.127,99.103,99.103,99.072,99.086,99.048,99.045,99.043,99.059,99.059,99.082,99.07,99.053,99.07,99.045,99.055,99.06,99.045,99.043,99.055,99.078,99.079,99.073,99.059,99.059,99.104,99.066,99.103,99.091,99.082
FLQS30HZGRWY,-23.1866437593,-23.1186506688,-23.116650872,-23.0476578831,-23.0476578831,-23.0596566638,-23.0136613378,-22.9836643862,-22.9486679425,-22.9846642845,-22.9816645894,-22.9816645894,-23.0126614395,-23.0196607282,-22.9826644878,-23.0196607282,-22.9486679425,-22.9826644878,-23.0106616427,-22.9476680441,-22.9846642845,-22.9776649958,-22.9826644878,-23.0176609314,-22.9816645894,-22.9816645894,-22.9426685522,-23.0506575783,-22.9776649958,-23.0476578831,-23.016661033,-23.0126614395,138.896248622,138.893249394,138.895248879,138.928240388,138.928240388,138.904246564,138.966230609,138.860257886,138.903246821,138.932239358,138.922241932,138.922241932,138.930239873,138.977227778,138.930239873,138.977227778,138.903246821,138.895248879,138.966230609,138.92524116,138.932239358,138.930239873,138.828266121,138.859258143,138.833264834,138.922241932,138.860257886,138.927240645,138.826266635,138.866256342,138.830265606,138.930239873,99.502,99.475,99.474,99.444,99.444,99.451,99.428,99.423,99.406,99.419,99.418,99.418,99.43,99.43,99.418,99.43,99.406,99.42,99.427,99.404,99.419,99.416,99.425,99.437,99.424,99.418,99.407,99.446,99.423,99.448,99.438,99.43
