SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30W7GRWY____	0.280	0.347	0.277	0.277	0.279	0.277	0.277	0.347	0.277	0.322	0.277	0.347	0.295	0.277	0.347	0.296	0.278	0.322	0.347	0.277	0.318	0.285	0.319	0.417	0.328	0.319	0.274	0.347	0.277	0.292	0.275	0.330	0.026	-0.079	-0.009	-0.009	-0.077	-0.009	-0.009	-0.009	-0.009	-0.030	-0.009	-0.009	-0.014	-0.077	-0.009	-0.058	-0.043	-0.078	-0.009	-0.079	-0.046	-0.071	-0.009	-0.079	-0.019	0.029	-0.079	-0.079	-0.009	-0.012	-0.025	-0.006	0.004	-0.006	0.010	0.010	0.019	0.011	0.010	-0.017	0.010	-0.003	0.011	-0.017	0.004	0.020	-0.017	0.010	0.015	0.003	-0.017	0.020	-0.001	0.017	-0.006	-0.033	-0.008	-0.012	0.021	-0.006	0.010	0.005	0.013	-0.010	0.306	-0.031	0.002	2016_7_13_10_11_05
FLQS300JGRWM____	0.569	0.609	0.572	0.572	0.572	0.569	0.576	0.608	0.606	0.610	0.575	0.573	0.577	0.575	0.573	0.575	0.573	0.576	0.573	0.574	0.573	0.575	0.607	0.576	0.574	0.610	0.571	0.573	0.574	0.572	0.608	0.606	0.198	0.197	0.199	0.200	0.198	0.199	0.162	0.198	0.196	0.205	0.199	0.164	0.156	0.201	0.198	0.193	0.202	0.200	0.199	0.198	0.199	0.199	0.195	0.199	0.160	0.198	0.195	0.199	0.197	0.198	0.196	0.194	-0.064	-0.079	-0.065	-0.066	-0.065	-0.064	-0.061	-0.079	-0.078	-0.080	-0.066	-0.061	-0.061	-0.066	-0.066	-0.066	-0.066	-0.067	-0.065	-0.065	-0.066	-0.066	-0.078	-0.067	-0.061	-0.080	-0.065	-0.066	-0.066	-0.065	-0.078	-0.078	0.582	0.193	-0.068	2016_7_13_10_11_12
FLQS303AGRWY____	0.122	0.122	0.124	0.123	0.159	0.120	0.118	0.122	0.123	0.126	0.123	0.125	0.124	0.121	0.125	0.126	0.119	0.122	0.120	0.118	0.126	0.121	0.122	0.123	0.127	0.118	0.126	0.117	0.119	0.130	0.120	0.128	0.121	0.121	0.120	0.120	0.122	0.117	0.160	0.121	0.121	0.119	0.124	0.087	0.129	0.120	0.089	0.130	0.118	0.120	0.119	0.122	0.122	0.121	0.120	0.119	0.165	0.122	0.121	0.116	0.123	0.156	0.123	0.129	0.061	0.062	0.060	0.060	0.047	0.063	0.057	0.061	0.061	0.059	0.061	0.065	0.059	0.062	0.065	0.058	0.063	0.061	0.062	0.063	0.059	0.061	0.061	0.061	0.052	0.062	0.060	0.064	0.063	0.052	0.061	0.058	0.124	0.123	0.060	2016_7_13_10_11_19
FLQS303SGRWY____	0.130	0.132	0.130	0.133	0.134	0.136	0.122	0.132	0.134	0.130	0.130	0.131	0.089	0.132	0.134	0.093	0.133	0.133	0.093	0.133	0.131	0.098	0.131	0.131	0.121	0.170	0.136	0.127	0.135	0.131	0.131	0.097	-0.070	-0.071	-0.070	-0.067	-0.070	-0.102	-0.086	-0.070	-0.073	-0.068	-0.073	-0.074	-0.066	-0.065	-0.072	-0.079	-0.069	-0.071	-0.071	-0.068	-0.072	-0.072	-0.075	-0.072	-0.090	-0.067	-0.076	-0.077	-0.078	-0.073	-0.072	-0.074	-0.085	-0.085	-0.085	-0.086	-0.087	-0.082	-0.079	-0.085	-0.085	-0.084	-0.084	-0.084	-0.070	-0.086	-0.086	-0.070	-0.086	-0.085	-0.070	-0.086	-0.085	-0.073	-0.084	-0.085	-0.079	-0.100	-0.086	-0.083	-0.085	-0.085	-0.085	-0.072	0.127	-0.073	-0.083	2016_7_13_10_11_24
FLQS304WGRWQ____	0.239	0.363	0.234	0.238	0.289	0.236	0.285	0.240	0.236	0.271	0.238	0.237	0.243	0.240	0.280	0.280	0.240	0.239	0.289	0.240	0.273	0.280	0.276	0.362	0.236	0.284	0.240	0.283	0.294	0.285	0.278	0.290	-0.052	0.026	-0.058	-0.051	0.023	-0.055	-0.098	-0.055	-0.096	-0.011	-0.054	-0.054	-0.099	-0.092	-0.055	-0.071	-0.052	-0.093	-0.044	-0.056	-0.094	-0.095	-0.058	0.025	-0.095	-0.052	-0.102	-0.094	-0.046	-0.012	-0.019	-0.004	-0.208	-0.267	-0.206	-0.208	-0.238	-0.207	-0.218	-0.208	-0.200	-0.226	-0.207	-0.207	-0.202	-0.203	-0.223	-0.221	-0.208	-0.202	-0.228	-0.207	-0.215	-0.217	-0.222	-0.267	-0.200	-0.225	-0.201	-0.219	-0.230	-0.232	-0.228	-0.234	0.267	-0.054	-0.218	2016_7_13_10_11_28
FLQS314MGRWY____	-0.392	-0.390	-0.393	-0.389	-0.393	-0.433	-0.389	-0.355	-0.390	-0.394	-0.390	-0.391	-0.388	-0.393	-0.392	-0.384	-0.396	-0.397	-0.393	-0.388	-0.398	-0.350	-0.391	-0.353	-0.393	-0.390	-0.346	-0.389	-0.384	-0.391	-0.389	-0.312	-0.148	-0.149	-0.151	-0.179	-0.151	-0.147	-0.191	-0.112	-0.148	-0.147	-0.182	-0.150	-0.196	-0.146	-0.150	-0.197	-0.108	-0.148	-0.151	-0.112	-0.151	-0.147	-0.151	-0.148	-0.192	-0.148	-0.192	-0.147	-0.190	-0.192	-0.148	-0.152	0.276	0.275	0.276	0.279	0.277	0.291	0.281	0.256	0.275	0.276	0.280	0.275	0.281	0.276	0.276	0.280	0.271	0.278	0.276	0.268	0.278	0.260	0.276	0.261	0.283	0.275	0.265	0.275	0.279	0.282	0.275	0.246	-0.385	-0.157	0.274	2016_7_13_10_11_33
FLQS2137GRWV____	0.481	0.479	0.491	0.523	0.555	0.519	0.448	0.481	0.477	0.518	0.487	0.479	0.480	0.520	0.485	0.482	0.487	0.477	0.493	0.526	0.477	0.479	0.479	0.481	0.476	0.490	0.480	0.491	0.520	0.474	0.480	0.475	0.209	0.213	0.213	0.212	0.211	0.212	0.213	0.210	0.211	0.209	0.208	0.217	0.212	0.208	0.211	0.210	0.210	0.208	0.212	0.211	0.209	0.210	0.211	0.211	0.208	0.209	0.208	0.213	0.212	0.206	0.209	0.203	-0.210	-0.210	-0.214	-0.226	-0.239	-0.225	-0.198	-0.210	-0.208	-0.224	-0.212	-0.210	-0.210	-0.225	-0.212	-0.210	-0.212	-0.208	-0.215	-0.227	-0.209	-0.210	-0.210	-0.210	-0.209	-0.214	-0.209	-0.214	-0.225	-0.207	-0.210	-0.206	0.490	0.210	-0.214	2016_7_13_10_11_38
FLQS2168GRWV____	0.256	0.257	0.261	0.261	0.260	0.261	0.258	0.258	0.256	0.296	0.260	0.259	0.255	0.260	0.224	0.258	0.257	0.223	0.260	0.259	0.258	0.259	0.258	0.259	0.255	0.259	0.257	0.256	0.223	0.265	0.256	0.261	0.061	0.063	0.066	0.062	0.064	0.064	0.066	0.062	0.062	0.063	0.063	0.030	0.103	0.062	0.064	0.071	0.061	0.062	0.063	0.063	0.061	0.062	0.062	0.061	0.100	0.061	0.062	0.058	0.065	0.059	0.062	0.068	-0.138	-0.138	-0.140	-0.139	-0.139	-0.139	-0.138	-0.138	-0.138	-0.153	-0.139	-0.134	-0.143	-0.139	-0.125	-0.139	-0.138	-0.124	-0.139	-0.138	-0.138	-0.139	-0.138	-0.138	-0.143	-0.138	-0.137	-0.137	-0.125	-0.141	-0.137	-0.140	0.256	0.064	-0.138	2016_7_13_10_11_42
FLQS2238GRWM____	0.455	0.456	0.420	0.418	0.459	0.416	0.422	0.498	0.421	0.456	0.458	0.455	0.422	0.421	0.457	0.426	0.456	0.460	0.453	0.466	0.459	0.423	0.422	0.463	0.424	0.456	0.430	0.416	0.457	0.458	0.424	0.427	0.122	0.119	0.124	0.123	0.090	0.120	0.124	0.122	0.119	0.089	0.124	0.119	0.125	0.123	0.122	0.090	0.090	0.121	0.119	0.133	0.121	0.119	0.120	0.087	0.126	0.125	0.051	0.122	0.082	0.086	0.093	0.086	-0.290	-0.289	-0.277	-0.276	-0.287	-0.274	-0.277	-0.306	-0.277	-0.285	-0.291	-0.289	-0.278	-0.277	-0.290	-0.274	-0.286	-0.292	-0.289	-0.296	-0.291	-0.276	-0.277	-0.287	-0.279	-0.291	-0.269	-0.275	-0.284	-0.286	-0.274	-0.274	0.442	0.110	-0.283	2016_7_13_10_11_46
FLQS3137GRWY____	0.188	0.184	0.189	0.225	0.150	0.189	0.190	0.187	0.224	0.191	0.225	0.186	0.226	0.223	0.226	0.190	0.186	0.187	0.191	0.151	0.230	0.149	0.185	0.185	0.223	0.190	0.185	0.224	0.147	0.228	0.185	0.153	0.126	0.126	0.129	0.125	0.128	0.126	0.135	0.126	0.125	0.123	0.126	0.126	0.139	0.125	0.125	0.139	0.127	0.125	0.091	0.130	0.125	0.091	0.126	0.125	0.133	0.126	0.128	0.125	0.132	0.127	0.127	0.137	-0.129	-0.128	-0.130	-0.143	-0.115	-0.130	-0.132	-0.129	-0.142	-0.130	-0.144	-0.128	-0.146	-0.142	-0.144	-0.132	-0.128	-0.128	-0.125	-0.116	-0.145	-0.110	-0.128	-0.128	-0.144	-0.129	-0.128	-0.143	-0.115	-0.145	-0.128	-0.118	0.194	0.126	-0.131	2016_7_13_10_11_53
