SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS31K2GRWM____	-23.056	-22.953	-22.990	-23.020	-23.128	-23.091	-23.056	-22.989	-23.056	-23.021	-23.025	-23.058	-22.988	-22.987	-22.988	-22.988	-22.990	-23.022	-22.987	-22.987	-23.058	-23.021	-23.058	-23.023	-22.987	-23.024	-23.023	-23.023	-22.952	-22.953	-22.950	-22.987	-138.443	-138.528	-138.582	-138.442	-138.615	-138.553	-138.539	-138.538	-138.545	-138.507	-138.473	-138.437	-138.511	-138.507	-138.473	-138.473	-138.440	-138.469	-138.448	-138.436	-138.437	-138.379	-138.437	-138.373	-138.409	-138.440	-138.449	-138.373	-138.413	-138.471	-138.401	-138.473	260.212	260.259	260.248	260.226	260.194	260.205	260.218	260.245	260.219	260.230	260.226	260.210	260.244	260.244	260.241	260.241	260.238	260.227	260.240	260.239	260.210	260.221	260.210	260.221	260.237	260.224	260.226	260.220	260.252	260.255	260.252	260.242	2016_7_16_10_49_14
FLQS31QAGRX2____	-23.882	-23.782	-23.817	-23.849	-23.960	-23.952	-23.887	-23.851	-23.890	-23.855	-23.857	-23.892	-23.819	-23.820	-23.820	-23.820	-23.818	-23.854	-23.819	-23.788	-23.892	-23.853	-23.892	-23.853	-23.819	-23.867	-23.857	-23.859	-23.785	-23.786	-23.784	-23.820	-138.308	-138.400	-138.448	-138.308	-138.493	-138.442	-138.411	-138.410	-138.426	-138.386	-138.346	-138.309	-138.393	-138.388	-138.343	-138.343	-138.307	-138.342	-138.357	-138.307	-138.309	-138.271	-138.309	-138.238	-138.274	-138.332	-138.356	-138.201	-138.307	-138.343	-138.272	-138.325	259.969	260.016	260.005	259.982	259.951	259.950	259.974	259.989	259.974	259.986	259.982	259.965	260.000	260.000	259.997	259.997	259.995	259.983	259.998	260.007	259.965	259.978	259.965	259.976	259.992	259.977	259.983	259.971	260.008	260.010	260.006	259.995	2016_7_16_10_49_16
FLQS32CMGRWM____	-23.553	-23.441	-23.485	-23.514	-23.619	-23.584	-23.548	-23.511	-23.548	-23.512	-23.516	-23.550	-23.476	-23.508	-23.445	-23.445	-23.479	-23.513	-23.476	-23.477	-23.550	-23.512	-23.550	-23.511	-23.454	-23.548	-23.515	-23.516	-23.411	-23.443	-23.442	-23.444	-138.391	-138.515	-138.533	-138.391	-138.583	-138.538	-138.504	-138.503	-138.513	-138.474	-138.439	-138.425	-138.477	-138.504	-138.460	-138.460	-138.393	-138.437	-138.443	-138.401	-138.425	-138.365	-138.425	-138.360	-138.394	-138.403	-138.444	-138.321	-138.401	-138.437	-138.366	-138.440	259.992	260.045	260.029	260.008	259.979	259.990	260.002	260.017	260.002	260.014	260.010	259.996	260.029	260.018	260.040	260.040	260.022	260.011	260.026	260.023	259.996	260.006	259.996	260.007	260.032	259.995	260.011	260.002	260.050	260.039	260.035	260.039	2016_7_16_10_49_19
FLQS300WGRX8____	-23.216	-23.136	-23.177	-23.177	-23.316	-23.310	-23.241	-23.206	-23.275	-23.177	-23.240	-23.275	-23.146	-23.141	-23.141	-23.141	-23.147	-23.177	-23.143	-23.135	-23.275	-23.176	-23.275	-23.177	-23.140	-23.240	-23.178	-23.209	-23.170	-23.170	-23.170	-23.141	-138.452	-138.573	-138.592	-138.451	-138.641	-138.670	-138.589	-138.588	-138.635	-138.535	-138.565	-138.530	-138.542	-138.571	-138.494	-138.494	-138.486	-138.495	-138.507	-138.530	-138.530	-138.420	-138.530	-138.423	-138.419	-138.530	-138.504	-138.382	-138.530	-138.565	-138.495	-138.500	260.144	260.184	260.169	260.160	260.117	260.121	260.143	260.157	260.133	260.165	260.142	260.126	260.178	260.182	260.177	260.177	260.174	260.163	260.177	260.182	260.126	260.158	260.126	260.158	260.172	260.140	260.163	260.142	260.168	260.170	260.165	260.177	2016_7_16_10_49_23
FLQS302CGRX8____	-23.333	-23.220	-23.265	-23.262	-23.398	-23.362	-23.327	-23.289	-23.327	-23.291	-23.263	-23.330	-23.255	-23.223	-23.225	-23.225	-23.258	-23.292	-23.256	-23.226	-23.330	-23.291	-23.330	-23.291	-23.229	-23.263	-23.293	-23.294	-23.192	-23.192	-23.190	-23.225	-138.388	-138.509	-138.530	-138.389	-138.572	-138.531	-138.497	-138.494	-138.504	-138.467	-138.431	-138.396	-138.469	-138.495	-138.429	-138.429	-138.389	-138.428	-138.434	-138.393	-138.396	-138.357	-138.396	-138.320	-138.356	-138.397	-138.434	-138.318	-138.393	-138.429	-138.358	-138.430	260.093	260.146	260.129	260.121	260.079	260.091	260.102	260.117	260.103	260.115	260.124	260.094	260.130	260.144	260.139	260.139	260.123	260.112	260.127	260.136	260.094	260.108	260.094	260.105	260.132	260.121	260.112	260.103	260.150	260.152	260.148	260.139	2016_7_16_10_49_26
FLQS304AGRX8____	-23.210	-23.095	-23.161	-23.168	-23.276	-23.240	-23.205	-23.168	-23.204	-23.168	-23.172	-23.206	-23.134	-23.165	-23.134	-23.134	-23.136	-23.169	-23.134	-23.134	-23.206	-23.168	-23.206	-23.166	-23.131	-23.172	-23.240	-23.169	-23.067	-23.066	-23.099	-23.132	-138.387	-138.478	-138.561	-138.386	-138.564	-138.524	-138.491	-138.489	-138.494	-138.457	-138.425	-138.390	-138.462	-138.458	-138.422	-138.422	-138.386	-138.422	-138.426	-138.387	-138.390	-138.351	-138.390	-138.317	-138.389	-138.390	-138.425	-138.316	-138.387	-138.423	-138.352	-138.422	260.142	260.194	260.174	260.159	260.128	260.139	260.151	260.166	260.152	260.164	260.160	260.144	260.178	260.165	260.175	260.175	260.172	260.161	260.175	260.172	260.144	260.156	260.144	260.155	260.174	260.158	260.133	260.154	260.200	260.203	260.185	260.176	2016_7_16_10_49_29
FLQS304UGRX2____	-23.004	-22.889	-22.957	-22.965	-23.066	-23.032	-22.996	-22.960	-22.995	-22.961	-22.963	-22.997	-22.925	-22.956	-22.924	-22.924	-22.929	-22.960	-22.925	-22.924	-22.997	-22.959	-22.997	-22.958	-22.923	-22.963	-22.960	-22.964	-22.890	-22.889	-22.889	-22.924	-138.332	-138.457	-138.509	-138.331	-138.511	-138.479	-138.446	-138.442	-138.442	-138.404	-138.377	-138.343	-138.435	-138.434	-138.376	-138.376	-138.331	-138.376	-138.371	-138.341	-138.343	-138.306	-138.343	-138.301	-138.297	-138.343	-138.372	-138.260	-138.341	-138.399	-138.307	-138.369	260.225	260.280	260.256	260.241	260.212	260.224	260.236	260.250	260.236	260.248	260.245	260.229	260.264	260.251	260.261	260.261	260.256	260.246	260.260	260.258	260.229	260.242	260.229	260.242	260.256	260.242	260.246	260.236	260.272	260.276	260.270	260.260	2016_7_16_10_49_32
FLQS3023GRX8____	-23.780	-23.677	-23.719	-23.743	-23.850	-23.815	-23.779	-23.744	-23.779	-23.744	-23.747	-23.781	-23.710	-23.709	-23.709	-23.709	-23.713	-23.744	-23.709	-23.709	-23.781	-23.743	-23.781	-23.745	-23.710	-23.746	-23.744	-23.745	-23.674	-23.674	-23.672	-23.708	-138.435	-138.526	-138.537	-138.436	-138.613	-138.569	-138.537	-138.534	-138.544	-138.505	-138.469	-138.434	-138.508	-138.506	-138.466	-138.466	-138.436	-138.467	-138.442	-138.431	-138.434	-138.395	-138.434	-138.366	-138.402	-138.435	-138.443	-138.366	-138.432	-138.467	-138.397	-138.440	260.517	260.565	260.549	260.532	260.501	260.512	260.525	260.539	260.525	260.536	260.533	260.517	260.550	260.551	260.548	260.548	260.544	260.534	260.546	260.546	260.517	260.529	260.517	260.527	260.543	260.531	260.532	260.526	260.560	260.562	260.558	260.547	2016_7_16_10_49_35
FLQS3075GRX8____	-23.291	-23.180	-23.244	-23.258	-23.392	-23.359	-23.323	-23.286	-23.320	-23.286	-23.290	-23.292	-23.220	-23.220	-23.220	-23.220	-23.254	-23.287	-23.219	-23.219	-23.292	-23.255	-23.292	-23.259	-23.223	-23.290	-23.286	-23.260	-23.217	-23.186	-23.185	-23.250	-138.327	-138.451	-138.504	-138.327	-138.503	-138.472	-138.437	-138.435	-138.435	-138.398	-138.368	-138.336	-138.398	-138.398	-138.368	-138.368	-138.328	-138.367	-138.362	-138.334	-138.336	-138.298	-138.336	-138.259	-138.294	-138.334	-138.366	-138.256	-138.334	-138.369	-138.299	-138.362	260.101	260.154	260.132	260.114	260.073	260.084	260.096	260.111	260.097	260.108	260.104	260.102	260.135	260.135	260.133	260.133	260.116	260.106	260.133	260.131	260.102	260.114	260.102	260.110	260.126	260.102	260.106	260.109	260.132	260.147	260.142	260.120	2016_7_16_10_49_41
FLQS3089GRXL____	-23.379	-23.242	-23.312	-23.321	-23.455	-23.390	-23.355	-23.351	-23.384	-23.348	-23.319	-23.389	-23.312	-23.313	-23.280	-23.280	-23.318	-23.352	-23.313	-23.281	-23.389	-23.352	-23.389	-23.352	-23.282	-23.319	-23.350	-23.317	-23.249	-23.247	-23.248	-23.283	-138.439	-138.528	-138.580	-138.403	-138.579	-138.550	-138.516	-138.513	-138.537	-138.473	-138.446	-138.412	-138.475	-138.473	-138.445	-138.445	-138.403	-138.445	-138.439	-138.412	-138.412	-138.376	-138.412	-138.334	-138.369	-138.412	-138.440	-138.373	-138.412	-138.447	-138.377	-138.437	260.074	260.135	260.110	260.094	260.053	260.077	260.089	260.090	260.078	260.088	260.098	260.068	260.103	260.103	260.114	260.114	260.096	260.085	260.100	260.111	260.068	260.080	260.068	260.077	260.108	260.096	260.085	260.094	260.124	260.127	260.122	260.112	2016_7_16_10_49_46
