SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS31K2GRWM____	-30.868	-30.806	-30.804	-30.606	-30.804	-30.838	-30.877	-30.803	-30.876	-30.840	-30.805	-30.807	-30.734	-30.873	-31.008	-30.946	-30.806	-30.840	-30.944	-30.911	-30.581	-30.841	-30.944	-30.841	-30.781	-30.807	-30.827	-30.548	-30.824	-30.838	-30.910	-30.940	131.031	131.245	131.106	131.057	131.106	131.003	131.283	131.284	131.072	131.108	131.178	131.317	131.178	131.141	131.283	131.107	131.176	131.213	131.317	131.245	131.234	131.247	131.212	131.142	131.162	131.248	131.307	131.234	131.340	131.248	131.142	131.246	103.219	103.173	103.186	103.108	103.186	103.210	103.199	103.168	103.219	103.200	103.179	103.167	103.149	103.211	103.253	103.244	103.180	103.190	103.223	103.217	103.081	103.187	103.233	103.197	103.171	103.173	103.176	103.067	103.171	103.186	103.226	103.228	2016_7_16_9_54_51
FLQS31QAGRX2____	-30.076	-30.008	-30.007	-29.781	-30.007	-30.008	-30.079	-29.974	-30.080	-30.042	-30.010	-30.009	-29.905	-30.078	-30.179	-30.150	-30.009	-30.043	-30.114	-30.112	-29.785	-30.046	-30.115	-30.043	-29.987	-30.012	-29.999	-29.753	-29.997	-30.042	-30.115	-30.145	131.363	131.539	131.400	131.348	131.402	131.332	131.577	131.614	131.367	131.402	131.470	131.611	131.505	131.437	131.577	131.403	131.471	131.507	131.611	131.541	131.566	131.541	131.508	131.437	131.453	131.541	131.633	131.565	131.665	131.543	131.438	131.575	102.828	102.783	102.795	102.707	102.795	102.802	102.808	102.762	102.829	102.810	102.790	102.776	102.743	102.822	102.850	102.854	102.789	102.800	102.820	102.826	102.688	102.798	102.830	102.807	102.782	102.784	102.770	102.675	102.766	102.797	102.836	102.836	2016_7_16_9_54_54
FLQS32CMGRWM____	-30.496	-30.436	-30.430	-30.203	-30.430	-30.433	-30.506	-30.401	-30.506	-30.468	-30.432	-30.437	-30.329	-30.537	-30.607	-30.575	-30.433	-30.467	-30.540	-30.540	-30.213	-30.469	-30.543	-30.469	-30.411	-30.437	-30.456	-30.181	-30.458	-30.467	-30.537	-30.573	131.236	131.449	131.309	131.260	131.310	131.240	131.486	131.521	131.244	131.310	131.379	131.520	131.413	131.344	131.486	131.309	131.379	131.417	131.521	131.450	131.439	131.450	131.416	131.344	131.365	131.450	131.511	131.440	131.542	131.450	131.344	131.484	103.055	103.010	103.021	102.931	103.021	103.028	103.035	102.988	103.058	103.036	103.015	103.003	102.969	103.061	103.077	103.080	103.015	103.026	103.046	103.053	102.919	103.023	103.057	103.034	103.008	103.010	103.012	102.905	103.010	103.022	103.062	103.063	2016_7_16_9_54_57
FLQS300WGRX8____	-30.664	-30.629	-30.625	-30.398	-30.598	-30.628	-30.699	-30.565	-30.670	-30.663	-30.597	-30.598	-30.493	-30.668	-30.802	-30.771	-30.627	-30.633	-30.705	-30.735	-30.379	-30.632	-30.736	-30.633	-30.579	-30.599	-30.623	-30.347	-30.619	-30.633	-30.705	-30.769	131.248	131.459	131.319	131.273	131.320	131.250	131.496	131.530	131.285	131.320	131.391	131.531	131.424	131.356	131.495	131.320	131.389	131.426	131.530	131.460	131.452	131.460	131.425	131.356	131.378	131.462	131.522	131.452	131.556	131.459	131.354	131.494	103.026	102.991	103.003	102.914	102.992	103.011	103.017	102.958	103.025	103.019	102.985	102.971	102.938	103.018	103.059	103.063	102.997	102.996	103.016	103.035	102.889	102.993	103.039	103.003	102.978	102.978	102.983	102.875	102.978	102.993	103.033	103.046	2016_7_16_9_55_01
FLQS302CGRX8____	-30.447	-30.384	-30.382	-30.151	-30.379	-30.381	-30.449	-30.349	-30.451	-30.414	-30.381	-30.380	-30.276	-30.450	-30.552	-30.522	-30.377	-30.415	-30.485	-30.486	-30.129	-30.416	-30.486	-30.412	-30.332	-30.383	-30.405	-30.129	-30.378	-30.415	-30.486	-30.517	131.221	131.433	131.292	131.242	131.294	131.197	131.442	131.476	131.231	131.267	131.365	131.478	131.370	131.302	131.441	131.292	131.338	131.398	131.477	131.433	131.428	131.434	131.371	131.303	131.348	131.435	131.496	131.427	131.526	131.406	131.300	131.440	103.094	103.047	103.060	102.969	103.059	103.069	103.073	103.029	103.094	103.075	103.052	103.041	103.009	103.087	103.116	103.118	103.053	103.063	103.085	103.089	102.942	103.061	103.095	103.071	103.034	103.047	103.050	102.942	103.036	103.063	103.102	103.102	2016_7_16_9_55_05
FLQS304AGRX8____	-30.517	-30.456	-30.453	-30.221	-30.454	-30.454	-30.524	-30.420	-30.522	-30.487	-30.453	-30.457	-30.350	-30.522	-30.624	-30.593	-30.456	-30.488	-30.560	-30.557	-30.228	-30.490	-30.559	-30.489	-30.397	-30.456	-30.443	-30.170	-30.443	-30.489	-30.556	-30.593	131.233	131.454	131.315	131.264	131.317	131.246	131.490	131.527	131.281	131.316	131.385	131.526	131.422	131.350	131.490	131.315	131.385	131.460	131.525	131.454	131.441	131.454	131.420	131.350	131.369	131.457	131.548	131.480	131.587	131.457	131.350	131.529	103.303	103.256	103.268	103.177	103.269	103.276	103.281	103.235	103.301	103.283	103.262	103.250	103.216	103.294	103.323	103.327	103.263	103.269	103.293	103.299	103.163	103.271	103.302	103.280	103.240	103.256	103.242	103.136	103.238	103.270	103.308	103.306	2016_7_16_9_55_08
FLQS304UGRX2____	-30.932	-30.902	-30.896	-30.669	-30.901	-30.900	-30.970	-30.868	-30.942	-30.933	-30.867	-30.872	-30.764	-30.968	-31.073	-31.041	-30.897	-30.932	-30.976	-31.006	-30.646	-30.904	-31.010	-30.904	-30.848	-30.871	-30.895	-30.615	-30.895	-30.934	-31.004	-31.040	131.176	131.391	131.249	131.203	131.250	131.180	131.427	131.463	131.216	131.252	131.322	131.462	131.355	131.286	131.426	131.251	131.321	131.357	131.460	131.389	131.418	131.391	131.355	131.287	131.308	131.392	131.481	131.419	131.516	131.391	131.286	131.424	103.202	103.168	103.180	103.090	103.182	103.188	103.193	103.147	103.202	103.195	103.161	103.149	103.115	103.206	103.235	103.239	103.173	103.184	103.192	103.211	103.060	103.169	103.216	103.179	103.154	103.155	103.157	103.047	103.153	103.182	103.221	103.222	2016_7_16_9_55_11
FLQS3023GRX8____	-29.817	-29.757	-29.757	-29.559	-29.757	-29.759	-29.829	-29.723	-29.829	-29.794	-29.755	-29.757	-29.653	-29.827	-29.929	-29.897	-29.755	-29.793	-29.861	-29.864	-29.538	-29.793	-29.865	-29.792	-29.706	-29.758	-29.777	-29.505	-29.781	-29.792	-29.862	-29.896	131.365	131.575	131.435	131.386	131.438	131.368	131.613	131.645	131.402	131.438	131.507	131.648	131.541	131.474	131.614	131.436	131.507	131.543	131.647	131.577	131.572	131.577	131.542	131.472	131.492	131.576	131.636	131.573	131.670	131.577	131.473	131.612	102.858	102.814	102.827	102.749	102.826	102.834	102.840	102.793	102.860	102.842	102.819	102.806	102.773	102.852	102.881	102.884	102.819	102.831	102.850	102.858	102.723	102.828	102.861	102.837	102.800	102.814	102.816	102.709	102.814	102.828	102.867	102.868	2016_7_16_9_55_13
FLQS3075GRX8____	-30.672	-30.609	-30.610	-30.404	-30.636	-30.636	-30.705	-30.605	-30.677	-30.671	-30.605	-30.637	-30.503	-30.706	-30.778	-30.776	-30.634	-30.637	-30.740	-30.712	-30.387	-30.672	-30.713	-30.639	-30.587	-30.605	-30.630	-30.357	-30.623	-30.638	-30.743	-30.776	131.286	131.476	131.362	131.309	131.302	131.265	131.509	131.541	131.299	131.365	131.435	131.545	131.438	131.369	131.507	131.333	131.432	131.468	131.542	131.474	131.493	131.474	131.439	131.371	131.414	131.476	131.566	131.492	131.597	131.470	131.368	131.507	103.063	103.018	103.029	102.949	103.046	103.050	103.054	103.010	103.063	103.054	103.020	103.023	102.978	103.069	103.085	103.101	103.032	103.030	103.065	103.061	102.924	103.044	103.064	103.041	103.015	103.016	103.018	102.912	103.012	103.031	103.084	103.084	2016_7_16_9_55_19
FLQS3089GRXL____	-30.540	-30.509	-30.505	-30.274	-30.474	-30.475	-30.578	-30.445	-30.549	-30.539	-30.504	-30.478	-30.374	-30.579	-30.648	-30.619	-30.506	-30.511	-30.614	-30.613	-30.285	-30.545	-30.586	-30.513	-30.453	-30.477	-30.498	-30.220	-30.501	-30.541	-30.612	-30.649	131.307	131.520	131.349	131.334	131.352	131.281	131.558	131.562	131.315	131.383	131.451	131.593	131.486	131.384	131.559	131.383	131.453	131.489	131.559	131.521	131.512	131.490	131.455	131.386	131.438	131.523	131.582	131.513	131.616	131.491	131.418	131.523	103.058	103.024	103.039	102.945	103.026	103.033	103.049	102.994	103.061	103.050	103.029	103.005	102.972	103.066	103.078	103.083	103.030	103.028	103.064	103.067	102.932	103.042	103.062	103.039	103.009	103.011	103.014	102.905	103.012	103.040	103.077	103.082	2016_7_16_9_55_22
