SN;UP;DOWN;LEFT;RIGHT
FLQS3084GRWM____;1113.798096;1109.625;2252.54248;2250.866699
FLQS308YGRWQ____;1111.073608;1109.263916;2251.983887;2251.036377
FLQS309NGRWM____;1109.225708;1109.363281;2253.210693;2251.086426
FLQS309QGRWV____;1111.249634;1108.482666;2252.194336;2250.702148
FLQS309TGRWY____;1113.003052;1112.077637;2252.75293;2252.101318
FLQS30AEGRWV____;1112.009888;1107.95874;2253.030273;2251.293945
FLQS30BJGRWV____;1110.974121;1109.349854;2252.685059;2250.935303
FLQS30BWGRWY____;1112.245972;1111.101318;2251.261719;2249.114746
FLQS30CMGRWQ____;1111.544678;1108.356201;2253.037109;2251.616211
FLQS30D5GRWQ____;1111.797241;1109.078613;2253.118164;2251.406738
FLQS30DZGRWV;1114.30542;1113.458252;2252.112549;2250.477539
FLQS30E9GRWY____;1112.746704;1110.033447;2252.583252;2252.125244
FLQS30G5GRWY____;1113.450195;1111.371094;2252.921387;2251.610352
FLQS30GCGRWY____;1110.648682;1109.94165;2251.951416;2251.973145
FLQS30GQGRWV____;1113.002319;1111.389038;2252.135498;2251.126465
FLQS30H6GRWV____;1107.630859;1107.058716;2251.331543;2250.088379
FLQS30HZGRWY____;1110.05542;1108.090698;2251.329346;2252.039063
FLQS30J0GRWV____;1110.76709;1108.161865;2252.859863;2251.19165
FLQS30JCGRWV____;1109.57312;1108.840332;2252.262695;2250.573486
FLQS30K1GRWY____;1113.322632;1110.338135;2252.321045;2250.850098
FLQS30K3GRWY____;1114.400879;1111.995239;2252.673584;2252.072754
FLQS30K5GRWY____;1115.362915;1114.73938;2251.234375;2251.488281
FLQS30KNGRWV____;1115.606567;1112.755859;2252.303955;2250.377441
FLQS30LFGRWY____;1109.757202;1106.998535;2252.089844;2251.038574
FLQS30MEGRWV____;1111.656128;1107.185791;2252.492676;2251.078613
FLQS30MJGRWV____;1111.366211;1107.447998;2252.653076;2251.027588
FLQS30MKGRWV____;1111.568726;1108.458618;2251.082031;2250.698975
FLQS30MRGRWY____;1113.223755;1108.365967;2252.305664;2250.815674
FLQS30NWGRWV____;1109.43042;1108.172485;2251.900635;2251.042725
FLQS30PHGRWY____;1110.317261;1107.775879;2252.505371;2251.649414
FLQS30Q2GRWV____;1111.235352;1107.002197;2252.718506;2251.276855
FLQS30Q3GRWV____;1111.942627;1110.999512;2252.605713;2250.678955
FLQS30Q9GRWV____;1109.184814;1106.26416;2251.81665;2250.001465
FLQS30Q9GRWY____;1110.677246;1112.694336;2252.852539;2251.682373
FLQS30QMGRWV____;1110.184692;1110.28064;2252.541504;2251.693359
FLQS30QPGRWV____;1111.899292;1110.861816;2252.534424;2250.60376
FLQS30QXGRWV____;1109.00061;1109.646851;2252.334229;2252.645508
FLQS30R2GRWV____;1111.716431;1110.529419;2252.276123;2250.378174
FLQS30RRGRWV____;1109.688843;1108.740356;2252.55249;2251.708496
FLQS30S7GRWV____;1109.888184;1108.290771;2251.282471;2251.597168
FLQS30T7GRWV____;1113.059448;1110.226074;2252.663086;2251.414307
FLQS30TYGRWV____;1111.176147;1108.227051;2252.868896;2250.66626
FLQS30UFGRWV____;1111.753174;1108.223877;2252.724854;2250.439209
FLQS30VBGRWV____;1113.252319;1111.924927;2251.824951;2250.876709
FLQS30WFGRWV____;1109.630371;1106.971924;2251.911865;2250.66333
FLQS30X6GRWV____;1108.888306;1108.976563;2252.674805;2252.3125
FLQS30X6GRWY____;1110.690796;1111.265015;2252.845215;2251.776855
FLQS30YUGRWV____;1110.713013;1110.227539;2252.359619;2250.34082
FLQS30ZQGRWV____;1109.893921;1109.228149;2252.429688;2250.969482
FLQS3106GRWV____;1109.152222;1114.456909;2252.410645;2252.417969
FLQS310RGRWV____;1112.029419;1108.024658;2253.54541;2251.281982
FLQS3115GRWV____;1109.891479;1107.798096;2250.694824;2252.238281
FLQS3126GRWV____;1112.3479;1109.379517;2252.05249;2251.134766
FLQS3160GRWY____;1110.385376;1107.597046;2252.640381;2251.290527
FLQS317CGRWY____;1109.609375;1109.063354;2252.190918;2251.516113
FLQS319HGRWY____;1108.562866;1111.657593;2252.266602;2250.983887
FLQS319LGRWY____;1111.663696;1110.567749;2253.172363;2251.868896
FLQS31CRGRWY____;1110.827637;1107.384399;2251.973145;2250.060303
FLQS31FWGRWY____;1110.831543;1108.792847;2253.090088;2251.56958
FLQS31J6GRWY____;1111.727905;1108.10498;2252.456543;2251.6604
