SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3MG9HFM5____	-11.852	-11.845	-11.716	-11.340	-11.428	-11.806	-11.694	-11.856	-12.108	-11.799	-11.889	-11.999	-11.825	-11.720	-11.807	-11.577	-11.907	-11.872	-11.912	-11.498	-11.871	-12.072	-11.771	-11.579	-11.749	-11.650	-11.684	-11.641	-11.681	-11.769	-11.565	-11.848	-117.321	-116.952	-117.092	-117.219	-117.625	-117.876	-117.277	-117.100	-117.549	-116.747	-117.169	-117.782	-116.771	-115.934	-117.781	-117.447	-118.051	-118.085	-117.689	-117.802	-117.943	-117.520	-118.084	-117.192	-118.106	-117.591	-117.815	-117.476	-117.333	-118.158	-117.765	-117.133	264.569	264.554	264.623	264.811	264.788	264.618	264.643	264.556	264.456	264.566	264.543	264.520	264.555	264.564	264.612	264.707	264.577	264.596	264.557	264.763	264.589	264.472	264.644	264.694	264.656	264.679	264.673	264.678	264.652	264.649	264.728	264.561	2016_7_15_15_18_10
F2LS3SMLHFM5____	-11.154	-11.677	-11.091	-11.034	-11.022	-11.053	-11.350	-11.160	-11.443	-11.558	-11.734	-11.305	-11.389	-11.096	-11.467	-11.493	-11.625	-11.196	-11.511	-11.569	-11.605	-11.529	-11.497	-11.085	-11.469	-11.636	-11.475	-11.016	-11.309	-11.095	-11.223	-11.268	-117.198	-118.209	-117.209	-118.092	-117.222	-117.545	-117.155	-117.201	-117.369	-118.049	-117.423	-117.530	-117.901	-116.422	-117.867	-118.127	-117.989	-117.544	-117.172	-116.552	-116.747	-117.599	-117.690	-117.237	-117.857	-117.651	-117.370	-117.742	-117.946	-117.641	-116.915	-117.642	264.900	264.695	264.931	264.999	264.965	264.965	264.804	264.897	264.769	264.745	264.630	264.843	264.819	264.893	264.780	264.780	264.710	264.896	264.726	264.668	264.660	264.738	264.758	264.935	264.779	264.689	264.753	264.992	264.860	264.949	264.854	264.866	2016_7_15_15_18_14
F2LS3TKDHFM5____	-11.441	-11.634	-11.365	-11.258	-11.358	-11.389	-11.353	-11.576	-11.373	-11.306	-11.338	-11.337	-11.469	-11.228	-11.336	-11.372	-11.444	-11.545	-11.366	-11.283	-11.537	-11.257	-11.293	-11.164	-11.328	-11.496	-11.472	-11.216	-11.402	-11.368	-11.290	-11.557	-117.616	-117.643	-117.837	-117.768	-117.913	-117.844	-117.634	-117.579	-117.721	-117.758	-117.848	-117.633	-117.802	-118.108	-117.702	-117.617	-117.630	-117.711	-118.126	-118.371	-117.597	-118.350	-117.853	-118.193	-118.333	-118.414	-117.717	-118.429	-117.690	-117.662	-117.685	-117.802	264.781	264.689	264.828	264.877	264.835	264.817	264.824	264.714	264.819	264.853	264.841	264.832	264.776	264.906	264.836	264.814	264.780	264.735	264.841	264.892	264.734	264.903	264.863	264.941	264.869	264.792	264.771	264.927	264.803	264.819	264.857	264.734	2016_7_15_15_18_18
F2LS30UNGRX8____	-11.509	-11.775	-11.505	-11.461	-11.493	-11.459	-11.421	-11.581	-11.793	-11.843	-11.804	-11.753	-11.594	-11.423	-11.735	-11.520	-11.714	-11.480	-11.513	-11.410	-11.676	-11.677	-11.438	-11.434	-11.602	-11.641	-11.612	-11.163	-11.515	-11.564	-11.291	-11.685	-117.197	-117.038	-117.291	-117.348	-117.886	-117.810	-117.483	-117.027	-116.420	-117.472	-117.811	-117.150	-118.106	-118.163	-117.731	-116.996	-117.341	-117.479	-117.377	-117.565	-117.041	-117.414	-117.559	-117.712	-118.051	-117.597	-117.497	-117.809	-117.390	-118.161	-117.716	-118.235	264.055	263.918	264.061	264.085	264.095	264.107	264.110	264.011	263.879	263.906	263.941	263.934	264.056	264.141	263.971	264.039	263.962	264.082	264.061	264.120	263.966	263.983	264.106	264.115	264.050	264.010	264.019	264.250	264.061	264.073	264.184	264.019	2016_7_15_15_18_20
F2LS35BZHFM1____	-11.365	-11.751	-11.491	-11.382	-11.288	-11.325	-11.209	-11.499	-11.298	-11.301	-11.727	-11.327	-11.329	-11.366	-11.328	-11.428	-11.427	-11.390	-11.233	-11.283	-11.321	-11.330	-11.424	-11.157	-11.400	-11.429	-11.531	-11.272	-11.332	-11.362	-11.290	-11.355	-117.523	-117.739	-117.553	-117.548	-117.632	-117.483	-117.547	-117.486	-117.570	-117.859	-117.492	-117.805	-117.648	-116.702	-117.734	-117.526	-117.989	-118.083	-117.652	-117.814	-117.762	-117.680	-117.631	-117.844	-117.664	-117.663	-117.569	-118.281	-117.139	-117.512	-117.717	-117.463	264.814	264.638	264.754	264.806	264.856	264.831	264.890	264.747	264.848	264.860	264.637	264.845	264.837	264.774	264.841	264.783	264.805	264.828	264.883	264.867	264.846	264.838	264.790	264.929	264.803	264.789	264.736	264.893	264.812	264.814	264.859	264.815	2016_7_15_15_18_23
F2LS38TUGRXL____	-11.847	-11.638	-11.502	-11.390	-11.351	-11.326	-11.423	-11.646	-11.500	-11.507	-11.811	-11.814	-11.817	-11.215	-11.796	-11.568	-11.432	-11.538	-11.779	-11.428	-11.792	-11.796	-11.753	-11.231	-11.466	-11.564	-11.671	-11.303	-11.797	-11.498	-11.229	-11.435	-117.751	-117.919	-117.980	-118.110	-118.318	-118.052	-117.974	-117.913	-118.316	-118.085	-117.984	-117.835	-117.804	-118.714	-118.093	-118.202	-118.352	-118.115	-118.000	-118.250	-118.700	-118.091	-118.180	-118.148	-118.415	-118.408	-118.640	-117.916	-117.953	-118.459	-118.142	-117.632	264.592	264.701	264.769	264.829	264.857	264.857	264.806	264.697	264.785	264.771	264.620	264.612	264.609	264.941	264.633	264.747	264.820	264.758	264.637	264.817	264.664	264.633	264.658	264.907	264.806	264.759	264.719	264.862	264.625	264.793	264.907	264.785	2016_7_15_15_18_26
F2LS38VQGRXL____	-11.642	-11.704	-11.366	-11.662	-11.427	-11.463	-11.362	-11.579	-11.775	-11.640	-11.542	-11.800	-11.670	-11.422	-11.459	-11.503	-11.569	-11.539	-11.620	-11.297	-11.674	-11.471	-11.430	-11.567	-11.540	-11.639	-11.612	-11.295	-11.678	-11.568	-11.427	-11.561	-117.328	-117.230	-117.682	-117.479	-117.696	-117.417	-117.353	-117.033	-117.377	-117.536	-117.550	-117.736	-117.648	-118.151	-118.613	-117.457	-117.862	-117.553	-117.355	-117.822	-117.377	-117.614	-117.627	-117.837	-117.670	-117.660	-117.374	-117.874	-117.210	-117.641	-117.646	-117.459	263.996	263.962	264.146	263.994	264.118	264.087	264.133	264.012	263.934	264.007	264.055	263.940	263.998	264.141	264.145	264.070	264.057	264.057	264.008	264.186	263.983	264.093	264.113	264.057	264.062	264.013	264.013	264.189	263.973	264.047	264.115	264.041	2016_7_15_15_18_29
F2LS39Q6GRXL____	-12.046	-11.976	-11.578	-11.605	-11.293	-11.930	-11.679	-11.981	-11.906	-11.366	-11.951	-11.892	-11.897	-11.500	-11.818	-11.909	-11.845	-11.956	-11.847	-11.562	-11.891	-11.813	-11.771	-11.572	-11.840	-11.908	-11.811	-11.707	-11.403	-11.503	-11.503	-11.714	-117.618	-117.719	-117.785	-118.425	-118.251	-118.419	-118.495	-117.596	-118.439	-119.027	-117.787	-117.640	-117.194	-118.577	-117.708	-117.938	-118.411	-117.666	-118.184	-118.848	-117.472	-118.089	-118.182	-118.201	-116.735	-118.473	-118.449	-118.351	-118.147	-118.528	-118.141	-117.822	263.815	263.854	264.049	264.066	264.208	263.910	264.034	263.846	263.923	264.208	263.869	263.891	263.866	264.124	263.930	263.897	263.950	263.861	263.939	264.107	263.883	263.950	263.975	264.071	263.872	263.923	263.969	264.014	264.150	264.120	264.102	263.985	2016_7_15_15_18_32
F2LS339XHFM1____	-11.153	-11.354	-11.024	-11.237	-11.340	-11.441	-11.200	-11.222	-11.289	-11.358	-11.515	-11.586	-11.325	-11.200	-11.319	-11.420	-11.414	-11.390	-11.475	-11.060	-11.323	-11.250	-11.343	-11.216	-11.121	-11.481	-11.453	-10.949	-11.316	-11.406	-11.200	-11.407	-117.514	-117.100	-117.230	-117.286	-117.486	-117.735	-117.411	-117.541	-117.488	-117.134	-117.294	-117.671	-117.053	-117.881	-117.408	-117.322	-117.990	-117.293	-118.024	-117.845	-117.105	-117.869	-117.490	-117.828	-118.320	-117.522	-117.751	-117.870	-117.844	-117.755	-117.453	-117.323	264.916	264.799	264.965	264.864	264.824	264.787	264.888	264.883	264.849	264.798	264.730	264.714	264.811	264.909	264.830	264.778	264.811	264.791	264.784	264.975	264.814	264.885	264.823	264.899	264.967	264.758	264.782	265.030	264.852	264.804	264.890	264.784	2016_7_15_15_18_35
F2LS3957GRXL____	-11.964	-11.690	-11.504	-11.512	-11.492	-11.534	-11.369	-11.340	-11.529	-11.588	-11.737	-11.561	-11.541	-11.304	-11.729	-11.529	-11.769	-11.563	-11.436	-11.555	-11.553	-11.558	-11.560	-11.440	-11.305	-11.525	-11.597	-11.366	-11.663	-11.451	-11.297	-11.636	-117.459	-116.865	-117.890	-118.149	-118.367	-117.229	-116.913	-117.355	-115.915	-117.075	-117.565	-116.461	-118.248	-117.240	-118.605	-116.079	-117.999	-115.781	-117.978	-117.951	-115.644	-115.692	-118.773	-117.977	-116.830	-115.890	-118.099	-117.887	-118.515	-117.316	-117.411	-117.016	263.847	263.951	264.090	264.098	264.118	264.044	264.109	264.144	263.983	264.010	263.962	263.994	264.089	264.156	264.015	263.991	263.967	263.960	264.126	264.068	263.958	263.958	264.104	264.124	264.136	263.984	264.055	264.156	264.043	264.088	264.167	263.984	2016_7_15_15_18_38
