SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS339XHFM1____	-26.462	-26.425	-26.424	-26.352	-26.496	-26.284	-26.423	-26.424	-26.316	-26.422	-26.427	-26.315	-26.394	-26.427	-26.392	-26.389	-26.564	-26.459	-26.359	-26.390	-26.426	-26.429	-26.495	-26.394	-26.460	-26.501	-26.566	-26.426	-26.388	-26.320	-26.567	-26.463	138.973	138.974	138.973	138.892	138.972	138.897	138.975	138.900	138.938	139.046	138.971	138.932	138.935	138.971	139.007	138.931	139.010	138.969	138.828	138.859	138.902	138.901	138.935	138.900	138.971	138.933	139.078	139.004	138.897	139.043	138.797	139.007	100.691	100.676	100.676	100.653	100.704	100.626	100.675	100.681	100.635	100.669	100.677	100.635	100.667	100.677	100.660	100.665	100.728	100.690	100.661	100.671	100.682	100.683	100.707	100.669	100.690	100.709	100.724	100.674	100.667	100.629	100.746	100.689	2016_7_15_14_52_19
F2LS3HFRHFM5____	-26.459	-26.429	-26.426	-26.355	-26.499	-26.284	-26.423	-26.424	-26.319	-26.426	-26.428	-26.319	-26.459	-26.428	-26.459	-26.389	-26.563	-26.460	-26.359	-26.389	-26.424	-26.424	-26.495	-26.393	-26.462	-26.497	-26.563	-26.427	-26.389	-26.316	-26.572	-26.464	138.946	139.048	138.985	138.954	138.983	138.806	139.050	138.806	138.981	139.124	138.996	138.911	138.911	138.996	139.051	138.911	139.086	138.971	138.964	138.841	138.876	138.876	139.000	138.981	138.977	138.959	139.096	139.092	138.876	139.124	138.872	139.082	100.847	100.827	100.831	100.805	100.860	100.788	100.825	100.844	100.789	100.820	100.831	100.794	100.850	100.831	100.839	100.822	100.877	100.845	100.806	100.827	100.838	100.838	100.857	100.818	100.846	100.861	100.877	100.823	100.824	100.776	100.897	100.838	2016_7_15_14_52_25
F2LS3JESHFM5____	-26.125	-26.088	-26.084	-26.015	-26.158	-25.948	-26.083	-26.085	-25.977	-26.085	-26.087	-25.980	-26.056	-26.087	-26.088	-26.050	-26.225	-26.120	-26.020	-26.050	-26.086	-26.088	-26.156	-26.054	-26.157	-26.157	-26.225	-26.084	-26.051	-25.978	-26.229	-26.123	138.976	138.977	138.928	138.847	138.974	138.855	138.983	138.861	138.974	139.014	138.967	138.929	138.937	138.967	139.042	138.932	139.045	138.967	138.839	138.838	138.904	138.863	138.935	138.909	138.926	138.926	139.086	139.015	138.898	139.050	138.798	139.047	100.628	100.613	100.615	100.594	100.641	100.566	100.611	100.621	100.569	100.609	100.613	100.574	100.603	100.613	100.608	100.601	100.662	100.627	100.596	100.608	100.618	100.621	100.643	100.604	100.644	100.644	100.659	100.609	100.604	100.564	100.683	100.622	2016_7_15_14_52_29
F2LS3HFBHFM5____	-26.129	-26.127	-26.090	-26.026	-26.198	-25.991	-26.089	-26.090	-25.987	-26.089	-26.093	-25.987	-26.102	-26.093	-26.095	-26.102	-26.230	-26.122	-26.023	-26.057	-26.091	-26.137	-26.198	-26.057	-26.160	-26.162	-26.264	-26.126	-26.057	-26.020	-26.277	-26.163	139.027	139.031	139.021	138.939	139.026	138.954	139.033	138.949	138.998	139.104	139.016	138.985	138.903	139.016	139.068	138.903	139.069	139.018	138.896	138.855	138.950	138.868	138.941	138.965	139.022	138.985	139.090	139.071	138.917	139.107	138.763	139.067	100.802	100.800	100.786	100.767	100.829	100.752	100.785	100.791	100.747	100.780	100.788	100.748	100.800	100.788	100.785	100.800	100.838	100.799	100.769	100.786	100.792	100.816	100.835	100.777	100.814	100.817	100.850	100.797	100.781	100.752	100.880	100.812	2016_7_15_14_52_33
F2LS3A7AHFM2____	-26.107	-26.071	-26.073	-26.003	-26.142	-25.935	-26.071	-26.069	-25.972	-26.070	-26.071	-25.970	-26.008	-26.071	-26.071	-26.037	-26.214	-26.107	-26.006	-26.036	-26.073	-26.074	-26.142	-26.041	-26.106	-26.141	-26.214	-26.073	-26.036	-25.970	-26.215	-26.109	139.066	139.037	139.066	139.002	139.067	138.970	139.036	139.002	139.004	139.105	139.075	139.030	138.996	139.075	139.070	139.004	139.104	139.065	138.921	138.966	138.995	139.002	139.031	138.961	139.067	139.009	139.171	139.070	138.967	139.104	138.895	139.100	100.629	100.617	100.615	100.592	100.642	100.568	100.617	100.618	100.579	100.611	100.614	100.577	100.595	100.614	100.614	100.606	100.668	100.629	100.599	100.608	100.621	100.621	100.645	100.610	100.628	100.647	100.663	100.615	100.608	100.572	100.685	100.627	2016_7_15_14_52_36
F2LS3A8AGRXL____	-25.909	-25.872	-25.870	-25.801	-25.941	-25.736	-25.867	-25.869	-25.765	-25.867	-25.872	-25.766	-25.839	-25.872	-25.837	-25.835	-26.017	-25.942	-25.806	-25.836	-25.872	-25.874	-25.941	-25.873	-25.907	-25.942	-26.015	-25.871	-25.834	-25.799	-26.013	-25.908	139.038	139.062	139.038	138.962	139.038	138.965	139.064	138.967	139.030	139.111	139.064	139.027	139.003	139.064	139.074	139.002	139.100	139.034	138.920	138.927	138.991	138.995	139.004	138.965	139.039	139.025	139.145	139.071	138.964	139.110	138.860	139.099	100.642	100.625	100.626	100.605	100.655	100.578	100.623	100.631	100.585	100.620	100.625	100.586	100.617	100.625	100.611	100.615	100.680	100.655	100.610	100.621	100.631	100.631	100.657	100.633	100.641	100.656	100.676	100.624	100.618	100.593	100.697	100.637	2016_7_15_14_52_40
F2LS39Q6GRXL____	-25.932	-25.896	-25.893	-25.824	-25.965	-25.756	-25.892	-25.891	-25.786	-25.892	-25.895	-25.787	-25.861	-25.895	-25.863	-25.821	-26.040	-25.929	-25.827	-25.921	-25.894	-25.956	-25.965	-25.865	-25.927	-25.964	-26.039	-25.897	-25.851	-25.822	-26.037	-25.934	138.911	138.914	138.911	138.835	138.938	138.839	138.916	138.865	138.876	138.984	138.935	138.872	138.875	138.935	138.946	138.898	138.945	138.909	138.774	138.720	138.838	138.755	138.878	138.844	138.911	138.900	139.014	138.941	138.755	138.980	138.764	138.947	100.372	100.358	100.357	100.335	100.383	100.307	100.356	100.359	100.317	100.351	100.355	100.317	100.347	100.355	100.342	100.329	100.413	100.371	100.341	100.382	100.363	100.393	100.388	100.350	100.370	100.386	100.407	100.356	100.351	100.323	100.425	100.370	2016_7_15_14_52_43
F2LS38VQGRXL____	-25.915	-25.881	-25.879	-25.842	-25.952	-25.774	-25.880	-25.914	-25.780	-25.882	-25.878	-25.775	-25.848	-25.878	-25.918	-25.878	-26.028	-25.950	-25.849	-25.845	-25.881	-25.918	-25.985	-25.886	-26.041	-26.028	-26.030	-25.917	-25.875	-25.813	-26.028	-25.922	139.039	139.033	139.040	138.942	139.041	138.899	139.035	138.940	138.967	139.109	138.981	138.998	138.960	138.981	138.999	138.938	139.080	139.002	138.787	138.941	138.931	138.907	139.003	138.960	139.005	138.940	139.103	139.034	138.897	139.071	138.824	139.072	100.747	100.734	100.732	100.725	100.761	100.701	100.733	100.754	100.698	100.728	100.736	100.694	100.726	100.736	100.751	100.739	100.789	100.763	100.739	100.726	100.741	100.757	100.777	100.741	100.799	100.799	100.787	100.748	100.741	100.703	100.807	100.747	2016_7_15_14_52_47
F2LS30UNGRX8____	-26.307	-26.273	-26.272	-26.201	-26.344	-26.125	-26.304	-26.267	-26.162	-26.270	-26.270	-26.169	-26.239	-26.270	-26.237	-26.204	-26.410	-26.306	-26.209	-26.235	-26.272	-26.274	-26.344	-26.209	-26.308	-26.344	-26.407	-26.271	-26.236	-26.131	-26.414	-26.311	138.942	138.941	138.941	138.876	138.888	138.870	138.871	138.876	138.904	139.012	138.949	138.853	138.853	138.949	138.974	138.909	138.983	138.940	138.796	138.836	138.844	138.878	138.853	138.863	138.939	138.882	139.021	138.979	138.840	139.012	138.768	138.973	100.615	100.602	100.601	100.578	100.634	100.548	100.619	100.604	100.560	100.595	100.600	100.567	100.594	100.600	100.585	100.576	100.653	100.615	100.587	100.594	100.608	100.606	100.636	100.582	100.615	100.634	100.649	100.598	100.594	100.540	100.671	100.614	2016_7_15_14_52_50
F2LS3957GRXL____	-26.403	-26.368	-26.367	-26.330	-26.437	-26.218	-26.366	-26.365	-26.216	-26.367	-26.367	-26.292	-26.334	-26.367	-26.332	-26.332	-26.506	-26.401	-26.298	-26.331	-26.366	-26.367	-26.437	-26.299	-26.399	-26.440	-26.541	-26.367	-26.365	-26.265	-26.505	-26.404	139.029	139.031	139.027	138.918	139.029	138.955	139.031	138.953	138.991	139.103	139.026	138.990	138.989	139.026	139.062	138.986	139.067	139.027	138.883	138.907	138.953	138.956	138.997	138.954	139.030	138.989	139.135	139.061	138.919	139.100	138.846	139.064	100.873	100.859	100.859	100.852	100.887	100.805	100.858	100.864	100.802	100.853	100.859	100.832	100.848	100.859	100.842	100.848	100.911	100.873	100.842	100.854	100.864	100.864	100.889	100.837	100.871	100.891	100.920	100.856	100.866	100.813	100.928	100.871	2016_7_15_14_52_53
