SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3MG9HFM5____	-66.032	-65.891	-65.998	-65.787	-65.668	-65.783	-65.716	-65.825	-65.869	-65.845	-65.980	-65.811	-65.787	-65.856	-66.177	-65.717	-66.047	-65.881	-65.748	-65.882	-65.780	-65.755	-65.755	-65.622	-66.059	-65.752	-65.856	-66.027	-65.997	-65.802	-66.037	-65.775	131.511	131.278	131.476	131.288	131.284	131.142	131.291	131.144	131.183	131.081	131.266	131.246	131.288	131.231	131.351	131.221	131.271	131.258	131.145	131.254	131.034	131.314	131.220	131.100	131.291	131.185	130.938	131.388	131.213	131.320	131.270	131.356	116.833	116.825	116.827	116.787	116.746	116.811	116.762	116.825	116.834	116.843	116.858	116.802	116.787	116.821	116.912	116.774	116.880	116.825	116.798	116.826	116.828	116.771	116.787	116.762	116.881	116.793	116.872	116.853	116.873	116.787	116.877	116.771	2016_7_15_15_05_16
F2LS3SMLHFM5____	-66.184	-66.042	-66.149	-65.900	-65.804	-65.937	-65.868	-65.975	-65.976	-65.942	-66.131	-65.914	-65.900	-66.011	-66.281	-65.869	-66.224	-65.983	-65.902	-66.021	-65.951	-65.860	-65.906	-65.723	-66.170	-65.936	-66.008	-66.182	-66.103	-65.915	-66.224	-65.878	131.504	131.284	131.472	131.290	131.287	131.145	131.290	131.143	131.179	131.089	131.311	131.255	131.290	131.182	131.401	131.219	131.274	131.301	131.143	131.292	131.043	131.364	131.219	131.116	131.332	131.186	130.974	131.436	131.259	131.364	131.274	131.356	116.905	116.894	116.898	116.844	116.811	116.882	116.833	116.896	116.890	116.894	116.921	116.855	116.844	116.901	116.957	116.845	116.959	116.871	116.870	116.886	116.905	116.817	116.858	116.812	116.931	116.875	116.937	116.916	116.920	116.836	116.960	116.825	2016_7_15_15_05_19
F2LS3TKDHFM5____	-66.340	-66.158	-66.228	-65.964	-65.881	-66.010	-65.978	-66.094	-66.095	-66.024	-66.201	-66.025	-65.964	-66.128	-66.386	-65.976	-66.260	-66.099	-65.972	-66.097	-65.994	-65.965	-66.013	-65.843	-66.243	-66.014	-66.130	-66.285	-66.174	-66.029	-66.302	-66.035	131.536	131.310	131.453	131.356	131.349	131.211	131.319	131.172	131.205	131.109	131.332	131.317	131.356	131.206	131.379	131.248	131.299	131.317	131.213	131.317	131.104	131.351	131.288	131.135	131.350	131.209	131.002	131.415	131.240	131.346	131.340	131.376	116.631	116.607	116.606	116.531	116.504	116.573	116.543	116.609	116.603	116.595	116.618	116.560	116.531	116.615	116.674	116.554	116.644	116.585	116.559	116.584	116.586	116.532	116.560	116.528	116.629	116.574	116.651	116.633	116.625	116.556	116.652	116.553	2016_7_15_15_05_23
F2LS30UNGRX8____	-66.246	-66.107	-66.244	-65.964	-65.871	-66.002	-65.931	-66.038	-66.038	-66.010	-66.192	-66.013	-65.964	-66.072	-66.341	-65.931	-66.288	-66.046	-65.967	-66.084	-65.981	-65.926	-66.001	-65.834	-66.269	-65.967	-66.072	-66.240	-66.202	-66.025	-66.248	-65.993	131.462	131.242	131.381	131.247	131.240	131.100	131.247	131.140	131.171	131.040	131.262	131.250	131.247	131.138	131.312	131.174	131.228	131.259	131.102	131.252	131.041	131.278	131.173	131.074	131.285	131.139	130.931	131.348	131.173	131.276	131.272	131.310	116.595	116.585	116.608	116.534	116.503	116.573	116.523	116.579	116.573	116.586	116.611	116.551	116.534	116.591	116.654	116.536	116.650	116.561	116.561	116.575	116.576	116.516	116.560	116.519	116.634	116.554	116.627	116.613	116.630	116.550	116.629	116.533	2016_7_15_15_05_26
F2LS35BZHFM1____	-66.005	-65.861	-65.931	-65.665	-65.548	-65.711	-65.640	-65.753	-65.754	-65.692	-65.867	-65.689	-65.665	-65.791	-66.055	-65.638	-65.917	-65.768	-65.675	-65.766	-65.659	-65.628	-65.676	-65.508	-65.985	-65.680	-65.832	-65.956	-65.880	-65.690	-65.970	-65.745	131.649	131.420	131.566	131.469	131.421	131.283	131.429	131.283	131.317	131.184	131.443	131.396	131.469	131.318	131.538	131.358	131.410	131.394	131.325	131.395	131.215	131.461	131.358	131.243	131.425	131.321	131.110	131.530	131.353	131.454	131.405	131.493	116.732	116.722	116.721	116.645	116.613	116.694	116.643	116.708	116.703	116.704	116.720	116.666	116.645	116.715	116.769	116.655	116.743	116.694	116.674	116.693	116.687	116.633	116.668	116.630	116.764	116.676	116.766	116.736	116.740	116.656	116.763	116.669	2016_7_15_15_05_31
F2LS38TUGRXL____	-65.758	-65.619	-65.726	-65.478	-65.383	-65.513	-65.443	-65.546	-65.548	-65.481	-65.665	-65.481	-65.478	-65.580	-65.847	-65.441	-65.802	-65.554	-65.480	-65.589	-65.450	-65.438	-65.478	-65.341	-65.777	-65.477	-65.583	-65.783	-65.637	-65.527	-65.792	-65.496	131.595	131.377	131.558	131.379	131.372	131.271	131.381	131.276	131.276	131.174	131.397	131.380	131.379	131.315	131.483	131.310	131.357	131.387	131.235	131.387	131.172	131.412	131.309	131.203	131.416	131.273	131.073	131.479	131.348	131.405	131.358	131.440	116.525	116.514	116.520	116.464	116.432	116.495	116.452	116.506	116.507	116.501	116.527	116.465	116.464	116.511	116.575	116.464	116.581	116.490	116.490	116.502	116.491	116.445	116.476	116.447	116.562	116.483	116.555	116.553	116.525	116.477	116.578	116.460	2016_7_15_15_05_35
F2LS38VQGRXL____	-65.878	-65.732	-65.843	-65.589	-65.506	-65.626	-65.562	-65.666	-65.662	-65.602	-65.785	-65.607	-65.589	-65.707	-65.976	-65.562	-65.886	-65.675	-65.596	-65.674	-65.608	-65.559	-65.598	-65.424	-65.904	-65.597	-65.698	-65.875	-65.805	-65.620	-65.917	-65.627	131.518	131.341	131.486	131.394	131.346	131.207	131.349	131.208	131.244	131.110	131.365	131.319	131.394	131.244	131.413	131.280	131.326	131.324	131.205	131.319	131.146	131.379	131.278	131.177	131.346	131.245	130.998	131.447	131.273	131.377	131.288	131.415	116.728	116.709	116.722	116.650	116.629	116.695	116.648	116.709	116.701	116.703	116.723	116.669	116.650	116.717	116.781	116.660	116.765	116.692	116.685	116.692	116.699	116.642	116.673	116.630	116.768	116.678	116.757	116.740	116.746	116.663	116.782	116.659	2016_7_15_15_05_38
F2LS39Q6GRXL____	-65.983	-65.800	-65.912	-65.651	-65.530	-65.697	-65.624	-65.737	-65.735	-65.671	-65.840	-65.671	-65.651	-65.767	-66.070	-65.624	-65.889	-65.741	-65.657	-65.739	-65.676	-65.608	-65.662	-65.492	-65.962	-65.660	-65.811	-65.890	-65.892	-65.676	-65.982	-65.679	131.600	131.384	131.563	131.419	131.413	131.277	131.382	131.279	131.277	131.167	131.399	131.349	131.419	131.314	131.493	131.312	131.366	131.351	131.278	131.354	131.134	131.453	131.311	131.204	131.422	131.316	131.025	131.529	131.315	131.455	131.369	131.453	116.620	116.594	116.601	116.536	116.495	116.576	116.533	116.590	116.590	116.587	116.605	116.555	116.536	116.595	116.669	116.545	116.628	116.579	116.563	116.578	116.594	116.515	116.558	116.518	116.644	116.557	116.661	116.600	116.638	116.538	116.660	116.540	2016_7_15_15_05_41
F2LS339XHFM1____	-65.668	-65.521	-65.632	-65.383	-65.293	-65.419	-65.352	-65.452	-65.452	-65.384	-65.572	-65.391	-65.383	-65.492	-65.762	-65.351	-65.671	-65.495	-65.385	-65.497	-65.390	-65.388	-65.390	-65.250	-65.690	-65.387	-65.485	-65.624	-65.584	-65.442	-65.708	-65.411	131.710	131.537	131.679	131.546	131.546	131.399	131.545	131.398	131.434	131.304	131.517	131.513	131.546	131.437	131.568	131.474	131.480	131.516	131.400	131.518	131.269	131.533	131.433	131.338	131.502	131.440	131.196	131.644	131.427	131.536	131.483	131.569	116.615	116.594	116.608	116.545	116.513	116.583	116.534	116.594	116.588	116.587	116.616	116.553	116.545	116.601	116.673	116.546	116.657	116.589	116.571	116.589	116.595	116.548	116.566	116.534	116.659	116.564	116.641	116.611	116.635	116.567	116.669	116.550	2016_7_15_15_05_45
F2LS3957GRXL____	-66.164	-66.015	-66.133	-65.870	-65.754	-65.958	-65.838	-65.946	-65.947	-65.880	-66.011	-65.885	-65.870	-65.995	-66.258	-65.838	-66.224	-65.959	-65.879	-65.967	-65.851	-65.840	-65.878	-65.707	-66.140	-65.874	-65.982	-66.106	-66.083	-65.893	-66.161	-65.862	131.520	131.304	131.483	131.348	131.343	131.163	131.346	131.170	131.212	131.111	131.313	131.277	131.348	131.197	131.366	131.230	131.281	131.279	131.206	131.283	131.103	131.379	131.229	131.137	131.301	131.200	131.001	131.443	131.232	131.329	131.283	131.410	116.662	116.648	116.657	116.589	116.550	116.652	116.579	116.647	116.640	116.634	116.645	116.607	116.589	116.659	116.721	116.599	116.724	116.632	116.617	116.635	116.626	116.573	116.613	116.570	116.692	116.617	116.689	116.655	116.684	116.601	116.702	116.576	2016_7_15_15_05_47
