SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS339XHFM1____	-11.420	-10.990	-11.219	-11.040	-11.077	-11.108	-11.183	-11.343	-11.211	-11.349	-11.454	-11.313	-11.115	-11.009	-11.178	-11.079	-11.205	-11.117	-11.352	-11.070	-11.048	-11.183	-11.078	-11.149	-11.119	-11.407	-11.253	-10.877	-11.117	-11.078	-10.941	-11.067	-117.121	-117.355	-117.029	-117.540	-117.291	-117.481	-117.868	-117.737	-117.750	-117.456	-117.232	-117.597	-117.448	-117.356	-117.860	-117.522	-117.989	-117.548	-117.497	-117.872	-117.497	-117.795	-117.819	-117.770	-117.594	-117.713	-117.552	-117.931	-117.521	-117.635	-117.516	-117.837	264.094	264.313	264.187	264.297	264.268	264.262	264.243	264.160	264.224	264.144	264.083	264.168	264.257	264.304	264.245	264.277	264.238	264.260	264.145	264.298	264.292	264.240	264.291	264.255	264.262	264.128	264.195	264.393	264.259	264.283	264.344	264.298	2016_7_15_15_19_11
F2LS3HFRHFM5____	-11.700	-11.340	-11.497	-11.454	-11.495	-11.325	-11.079	-11.645	-11.744	-11.435	-11.794	-11.465	-11.470	-11.155	-11.393	-11.437	-11.427	-11.469	-11.228	-11.482	-11.597	-11.475	-11.295	-11.423	-11.461	-11.505	-11.472	-11.219	-11.468	-11.501	-11.281	-11.300	-116.834	-116.795	-117.269	-116.940	-117.344	-117.136	-117.082	-116.418	-117.401	-117.245	-116.743	-117.189	-117.223	-117.348	-117.249	-117.237	-117.574	-117.140	-117.425	-117.659	-117.539	-117.195	-117.413	-117.159	-117.641	-117.314	-117.403	-117.591	-116.921	-117.088	-117.564	-116.714	263.944	264.117	264.064	264.069	264.068	264.141	264.258	263.951	263.951	264.092	263.894	264.075	264.075	264.233	264.113	264.091	264.112	264.071	264.201	264.089	264.028	264.071	264.168	264.094	264.098	264.062	264.082	264.213	264.061	264.053	264.182	264.133	2016_7_15_15_19_14
F2LS3JESHFM5____	-11.549	-11.418	-10.990	-11.243	-11.130	-11.248	-11.200	-11.200	-11.419	-11.149	-11.305	-11.197	-11.325	-10.920	-11.248	-11.030	-11.479	-11.444	-11.410	-11.417	-11.313	-11.250	-11.286	-11.148	-11.117	-11.502	-11.441	-10.920	-11.387	-11.293	-11.005	-11.270	-117.439	-116.625	-117.215	-117.144	-117.635	-117.274	-116.655	-117.215	-117.486	-118.188	-117.635	-117.013	-116.982	-117.635	-117.729	-116.985	-117.782	-117.882	-117.495	-116.958	-117.757	-117.738	-117.104	-117.246	-118.050	-115.625	-117.808	-117.740	-117.719	-116.771	-117.576	-118.160	264.721	264.745	264.981	264.855	264.932	264.859	264.853	264.879	264.786	264.948	264.848	264.871	264.808	265.034	264.879	264.951	264.771	264.792	264.790	264.762	264.850	264.879	264.832	264.905	264.957	264.656	264.790	265.038	264.812	264.813	264.990	264.889	2016_7_15_15_19_17
F2LS3HFBHFM5____	-11.512	-11.503	-11.450	-11.269	-11.757	-11.333	-11.286	-11.511	-11.770	-11.447	-11.932	-11.670	-11.403	-11.009	-11.470	-11.375	-11.566	-11.414	-11.383	-11.422	-11.666	-11.336	-11.818	-11.440	-11.537	-11.821	-11.456	-11.309	-11.465	-11.294	-11.223	-11.700	-117.138	-117.302	-117.042	-117.555	-117.758	-117.629	-117.759	-117.041	-117.366	-117.080	-117.367	-115.549	-117.584	-118.234	-117.677	-117.666	-118.137	-117.563	-117.383	-118.089	-117.899	-117.952	-117.962	-117.715	-118.122	-118.199	-118.440	-116.895	-117.991	-118.178	-117.727	-117.462	264.050	264.062	264.076	264.187	263.961	264.160	264.188	264.046	263.936	264.079	263.858	263.896	264.124	264.344	264.096	264.141	264.071	264.118	264.124	264.138	264.012	264.173	263.942	264.112	264.085	263.952	264.138	264.137	264.113	264.204	264.218	263.975	2016_7_15_15_19_21
F2LS3A7AHFM2____	-11.222	-11.431	-11.313	-11.255	-11.419	-11.577	-10.993	-11.443	-11.310	-11.494	-11.460	-11.526	-11.465	-11.195	-11.383	-11.166	-11.553	-11.403	-11.500	-11.356	-11.531	-11.475	-11.285	-11.357	-11.335	-11.556	-11.585	-11.287	-11.449	-11.158	-11.281	-11.355	-117.518	-116.906	-116.488	-117.343	-117.563	-117.741	-118.223	-116.416	-116.833	-117.984	-117.553	-117.610	-117.588	-118.644	-118.333	-117.586	-117.862	-117.166	-117.318	-117.617	-117.048	-115.768	-118.090	-117.838	-117.664	-117.982	-117.817	-117.803	-118.249	-117.971	-117.264	-117.388	264.208	264.078	264.116	264.184	264.115	264.047	264.351	264.049	264.133	264.099	264.095	264.066	264.094	264.273	264.168	264.239	264.064	264.104	264.064	264.148	264.037	264.002	264.204	264.158	264.160	264.069	264.047	264.190	264.133	264.260	264.168	264.138	2016_7_15_15_19_27
F2LS3A8AGRXL____	-11.758	-11.562	-11.500	-11.446	-11.428	-11.656	-11.349	-11.768	-11.567	-11.504	-11.671	-11.478	-11.675	-11.369	-11.400	-11.378	-11.569	-11.530	-11.504	-11.609	-11.531	-11.598	-11.431	-11.496	-11.409	-11.568	-11.600	-11.291	-11.460	-11.560	-11.286	-11.559	-117.497	-117.012	-117.204	-117.525	-117.413	-117.007	-117.344	-116.879	-117.612	-117.115	-116.620	-116.594	-116.495	-116.066	-117.316	-116.506	-117.316	-117.462	-117.688	-117.797	-117.146	-117.258	-117.279	-117.228	-117.312	-117.179	-117.282	-117.861	-117.636	-117.288	-117.171	-117.110	263.948	264.020	264.059	264.100	264.104	263.974	264.139	263.913	264.046	264.053	263.948	264.041	263.940	264.069	264.113	264.085	264.031	264.057	264.080	264.034	264.041	264.014	264.096	264.062	264.108	264.025	264.014	264.191	264.099	264.034	264.161	264.026	2016_7_15_15_19_31
F2LS39Q6GRXL____	-12.242	-12.045	-11.719	-11.475	-11.500	-11.743	-11.690	-11.779	-11.712	-11.776	-11.679	-11.676	-11.678	-11.306	-11.606	-11.579	-11.767	-11.842	-11.841	-11.628	-11.670	-11.675	-11.767	-11.574	-11.547	-11.586	-11.812	-11.414	-11.685	-11.507	-11.439	-11.780	-117.057	-116.422	-117.233	-117.297	-117.625	-117.361	-117.472	-117.292	-117.762	-118.596	-117.749	-117.740	-117.584	-117.489	-117.989	-117.329	-118.397	-116.285	-118.024	-118.285	-117.827	-117.869	-118.423	-117.772	-117.859	-117.339	-117.563	-118.626	-117.211	-117.903	-117.001	-117.397	264.367	264.430	264.628	264.750	264.753	264.623	264.654	264.602	264.657	264.666	264.673	264.674	264.665	264.840	264.719	264.701	264.661	264.522	264.608	264.723	264.681	264.680	264.663	264.724	264.742	264.698	264.599	264.841	264.644	264.763	264.753	264.607	2016_7_15_15_19_34
F2LS38VQGRXL____	-11.506	-12.032	-11.491	-11.335	-11.291	-11.534	-11.219	-11.773	-11.496	-11.633	-11.546	-11.409	-11.407	-11.213	-11.536	-11.380	-11.496	-11.463	-11.438	-11.359	-11.409	-11.539	-11.502	-11.438	-11.739	-11.433	-11.527	-11.222	-11.445	-11.505	-11.344	-11.565	-117.066	-116.773	-117.803	-116.891	-117.689	-117.288	-117.414	-117.030	-117.818	-117.581	-117.162	-117.216	-117.256	-118.359	-117.211	-117.060	-117.780	-117.808	-117.571	-117.744	-117.110	-117.150	-117.238	-117.319	-117.077	-117.784	-117.813	-118.127	-117.250	-117.313	-117.768	-117.144	264.050	263.780	264.092	264.124	264.183	264.046	264.205	263.919	264.090	264.013	264.035	264.104	264.106	264.251	264.042	264.110	264.088	264.105	264.106	264.153	264.099	264.038	264.060	264.095	263.937	264.119	264.075	264.236	264.088	264.062	264.161	264.025	2016_7_15_15_19_38
F2LS30UNGRX8____	-11.486	-11.346	-11.130	-11.243	-11.270	-11.448	-11.270	-11.420	-11.422	-11.492	-11.452	-11.379	-11.389	-11.200	-11.305	-11.485	-11.548	-11.452	-11.340	-11.277	-11.391	-11.443	-11.410	-11.478	-11.095	-11.418	-11.198	-11.270	-11.095	-11.060	-11.272	-11.410	-117.361	-117.531	-117.145	-117.395	-117.565	-117.593	-117.705	-117.394	-117.605	-117.381	-117.597	-117.850	-117.492	-117.425	-117.390	-117.574	-117.438	-117.468	-117.215	-118.353	-116.761	-117.783	-117.215	-117.430	-117.670	-117.514	-117.088	-117.460	-117.880	-117.705	-117.429	-116.760	264.073	264.149	264.236	264.192	264.187	264.102	264.194	264.107	264.116	264.071	264.101	264.148	264.127	264.215	264.162	264.084	264.047	264.095	264.137	264.220	264.091	264.114	264.103	264.080	264.277	264.113	264.200	264.182	264.286	264.295	264.180	264.082	2016_7_15_15_19_41
F2LS3957GRXL____	-11.373	-11.410	-11.359	-11.379	-11.291	-11.025	-11.208	-11.270	-11.289	-11.434	-11.466	-11.323	-11.465	-11.200	-11.375	-11.200	-11.618	-11.465	-11.480	-11.270	-11.318	-11.323	-11.295	-11.060	-11.331	-11.493	-11.584	-11.362	-10.955	-11.340	-11.213	-11.270	-115.899	-116.795	-117.088	-117.211	-117.287	-117.355	-117.148	-116.795	-117.619	-116.877	-117.093	-117.605	-117.040	-116.305	-116.690	-117.250	-117.526	-117.029	-116.865	-117.705	-117.627	-117.665	-117.228	-117.775	-117.532	-117.070	-117.679	-116.467	-117.180	-116.725	-117.320	-117.180	264.733	264.757	264.796	264.792	264.838	264.970	264.872	264.825	264.855	264.750	264.745	264.838	264.742	264.836	264.769	264.881	264.691	264.742	264.727	264.868	264.841	264.840	264.834	264.972	264.830	264.730	264.715	264.765	264.996	264.788	264.878	264.843	2016_7_15_15_19_44
