SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30Q2GRWV____	-25.915	-25.916	-25.881	-25.806	-25.985	-25.733	-25.879	-25.878	-25.773	-25.881	-25.880	-25.769	-25.882	-25.880	-25.882	-25.878	-26.020	-25.949	-25.843	-25.841	-25.878	-25.916	-25.985	-25.851	-25.949	-25.950	-26.020	-25.912	-25.841	-25.810	-26.021	-25.949	139.036	139.033	139.063	138.935	139.065	138.935	139.031	138.943	138.996	139.098	139.045	139.026	138.965	139.045	139.066	139.002	139.104	139.062	138.886	138.945	138.936	138.971	139.028	138.955	139.062	139.008	139.135	139.034	138.966	139.071	138.888	139.099	100.455	100.456	100.440	100.420	100.482	100.391	100.442	100.448	100.402	100.437	100.441	100.398	100.448	100.441	100.440	100.443	100.492	100.467	100.438	100.433	100.448	100.461	100.484	100.436	100.467	100.472	100.490	100.455	100.431	100.411	100.509	100.465	2016_7_19_17_06_02
FLQS30PHGRWY____	-26.035	-26.000	-26.002	-25.931	-26.071	-25.861	-25.999	-25.999	-25.899	-26.003	-25.998	-25.893	-25.965	-25.998	-25.969	-25.963	-26.147	-26.035	-25.938	-25.964	-26.001	-26.002	-26.066	-25.932	-26.033	-26.071	-26.148	-26.002	-25.963	-25.904	-26.142	-26.038	139.006	139.002	138.977	138.912	139.008	138.940	139.003	138.947	138.973	139.073	139.018	138.938	138.934	139.018	139.042	138.979	139.043	139.004	138.864	138.909	138.979	138.946	138.939	138.866	139.003	138.980	139.107	139.006	138.942	139.040	138.835	139.037	100.541	100.527	100.530	100.507	100.555	100.477	100.527	100.531	100.489	100.523	100.526	100.490	100.519	100.526	100.512	100.515	100.583	100.541	100.513	100.520	100.530	100.532	100.558	100.510	100.541	100.557	100.579	100.528	100.517	100.486	100.596	100.540	2016_7_19_17_06_02
FLQS30NWGRWV____	-26.092	-26.055	-26.057	-25.988	-26.128	-25.910	-26.023	-26.021	-25.910	-26.055	-26.058	-25.912	-26.020	-26.058	-26.021	-25.986	-26.197	-26.056	-25.959	-26.017	-26.020	-26.066	-26.128	-25.988	-26.090	-26.131	-26.198	-26.055	-26.021	-25.916	-26.241	-26.094	139.073	139.049	139.072	138.963	139.075	138.968	139.078	138.972	139.042	139.121	139.041	139.036	139.033	139.041	139.110	139.003	139.115	139.037	138.940	138.877	139.003	138.872	139.039	139.010	139.072	139.006	139.184	139.084	138.969	139.119	138.873	139.114	100.736	100.723	100.721	100.702	100.750	100.671	100.708	100.715	100.665	100.717	100.724	100.667	100.710	100.724	100.704	100.698	100.774	100.724	100.692	100.720	100.712	100.740	100.752	100.699	100.735	100.756	100.769	100.720	100.715	100.662	100.810	100.733	2016_7_19_17_06_03
FLQS30MRGRWY____	-25.990	-26.014	-25.956	-25.887	-26.062	-25.848	-26.019	-25.955	-25.856	-25.960	-25.955	-25.848	-25.925	-25.955	-25.923	-25.922	-26.105	-25.989	-25.889	-25.920	-25.957	-25.956	-26.024	-25.929	-25.989	-26.058	-26.106	-25.962	-25.950	-25.859	-26.098	-25.996	139.020	139.101	139.021	138.971	138.928	138.956	138.859	138.970	138.987	139.087	138.995	138.882	138.977	138.995	139.058	139.073	139.118	139.016	138.744	138.930	138.944	138.918	138.982	138.933	139.020	138.950	139.178	139.056	138.900	139.090	138.844	139.109	100.449	100.453	100.435	100.412	100.484	100.397	100.473	100.439	100.398	100.432	100.437	100.402	100.426	100.437	100.419	100.418	100.487	100.449	100.429	100.428	100.441	100.443	100.465	100.431	100.449	100.481	100.483	100.435	100.442	100.392	100.505	100.445	2016_7_19_17_06_03
FLQS30MKGRWV____	-26.000	-25.966	-25.967	-25.895	-26.034	-25.821	-25.966	-25.961	-25.858	-25.997	-25.962	-25.854	-25.965	-25.962	-25.963	-25.928	-26.138	-25.999	-25.899	-25.958	-25.964	-25.966	-26.033	-25.938	-26.031	-26.068	-26.107	-25.966	-25.960	-25.859	-26.105	-26.035	139.079	139.079	139.079	139.014	139.108	138.984	139.078	139.014	139.045	139.145	139.083	139.072	139.043	139.083	139.142	139.042	139.113	139.079	138.935	138.979	139.008	139.013	139.048	139.004	139.082	139.047	139.184	139.110	139.007	139.181	138.900	139.113	100.762	100.748	100.748	100.725	100.773	100.697	100.748	100.751	100.707	100.755	100.746	100.704	100.750	100.746	100.742	100.736	100.814	100.761	100.732	100.752	100.753	100.753	100.777	100.742	100.774	100.791	100.796	100.746	100.751	100.698	100.817	100.773	2016_7_19_17_06_03
FLQS30MJGRWV____	-26.083	-26.009	-26.009	-25.902	-26.083	-25.863	-26.009	-25.976	-25.903	-26.045	-26.009	-25.900	-25.977	-26.009	-26.010	-25.973	-26.147	-26.045	-25.945	-26.005	-26.008	-26.009	-26.082	-25.976	-26.082	-26.117	-26.145	-26.045	-26.007	-25.907	-26.150	-26.046	138.863	138.894	138.865	138.821	138.896	138.821	138.893	138.824	138.857	138.963	138.896	138.856	138.854	138.896	138.926	138.854	138.928	138.894	138.755	138.782	138.850	138.797	138.862	138.825	138.865	138.829	138.970	138.928	138.789	138.962	138.724	138.927	100.498	100.466	100.468	100.429	100.495	100.413	100.466	100.458	100.427	100.475	100.466	100.425	100.456	100.466	100.464	100.455	100.519	100.481	100.451	100.473	100.469	100.473	100.498	100.458	100.498	100.514	100.515	100.478	100.473	100.421	100.535	100.478	2016_7_19_17_06_03
FLQS30MEGRWV____	-25.982	-25.945	-25.946	-25.877	-26.020	-25.801	-25.913	-25.944	-25.842	-25.942	-25.945	-25.839	-25.912	-25.945	-25.908	-25.876	-26.088	-25.982	-25.845	-25.909	-25.914	-26.015	-26.019	-25.880	-25.982	-26.020	-26.090	-25.947	-25.910	-25.877	-26.092	-25.983	139.081	139.057	139.077	138.981	139.082	138.982	139.053	138.981	139.043	139.124	139.031	139.041	139.040	139.031	139.090	139.018	139.116	139.081	138.912	138.973	139.007	138.961	139.049	138.982	139.080	139.022	139.184	139.114	138.979	139.123	138.907	139.152	100.440	100.427	100.426	100.406	100.455	100.376	100.415	100.432	100.387	100.421	100.429	100.386	100.415	100.429	100.410	100.403	100.480	100.440	100.398	100.419	100.419	100.462	100.457	100.407	100.441	100.460	100.476	100.424	100.419	100.395	100.497	100.435	2016_7_19_17_06_03
FLQS30LFGRWY____	-26.117	-26.083	-26.083	-26.052	-26.155	-25.973	-26.154	-26.118	-25.979	-26.123	-26.084	-25.977	-26.049	-26.084	-26.085	-26.051	-26.231	-26.117	-26.090	-26.076	-26.084	-26.086	-26.153	-26.059	-26.118	-26.188	-26.236	-26.122	-26.081	-25.985	-26.225	-26.124	139.070	139.021	139.072	138.914	139.072	138.906	139.003	138.916	139.038	139.080	139.041	139.029	138.937	139.041	139.112	138.995	139.114	139.068	138.873	138.931	138.995	138.967	139.037	138.983	139.078	138.999	139.117	139.009	138.950	139.146	138.815	139.103	100.590	100.580	100.576	100.576	100.605	100.545	100.610	100.602	100.537	100.592	100.579	100.537	100.573	100.579	100.574	100.570	100.632	100.590	100.594	100.584	100.583	100.586	100.607	100.573	100.590	100.624	100.634	100.597	100.585	100.532	100.652	100.591	2016_7_19_17_06_03
FLQS30KNGRWV____	-26.100	-26.061	-26.027	-25.960	-26.137	-25.919	-26.061	-26.027	-25.927	-26.031	-26.061	-25.924	-26.029	-26.061	-26.035	-26.024	-26.175	-26.063	-25.999	-25.993	-26.028	-26.066	-26.097	-25.998	-26.098	-26.136	-26.176	-26.065	-25.994	-25.965	-26.203	-26.103	139.062	138.991	139.027	138.964	139.062	138.957	139.054	138.967	138.992	139.126	139.005	138.957	138.987	139.005	139.098	138.964	139.097	139.027	138.922	138.959	138.958	138.931	138.993	138.953	139.061	139.036	139.162	139.058	138.997	139.093	138.862	139.092	100.620	100.610	100.594	100.572	100.635	100.556	100.605	100.598	100.557	100.588	100.609	100.558	100.598	100.609	100.592	100.597	100.648	100.608	100.591	100.585	100.599	100.616	100.624	100.588	100.619	100.637	100.643	100.607	100.583	100.564	100.676	100.619	2016_7_19_17_06_03
FLQS30K5GRWY____	-26.075	-26.003	-26.040	-25.932	-26.073	-25.857	-25.999	-25.967	-25.929	-26.040	-26.001	-25.894	-25.971	-26.001	-25.970	-25.962	-26.147	-26.035	-26.015	-25.993	-26.037	-26.001	-26.069	-25.973	-26.032	-26.072	-26.188	-26.006	-25.999	-25.904	-26.146	-26.040	139.092	139.128	139.093	139.031	139.131	139.020	139.055	139.032	139.024	139.195	139.069	139.089	139.051	139.069	139.167	139.105	139.166	139.128	138.911	138.997	139.020	139.071	139.093	139.046	139.130	139.105	139.191	139.119	138.983	139.159	138.910	139.160	100.605	100.574	100.591	100.553	100.601	100.524	100.578	100.566	100.552	100.584	100.577	100.533	100.567	100.577	100.558	100.559	100.628	100.586	100.595	100.580	100.595	100.577	100.603	100.568	100.585	100.603	100.643	100.576	100.583	100.532	100.647	100.586	2016_7_19_17_06_03
FLQS30K3GRWY____	-26.099	-26.064	-26.031	-25.963	-26.135	-25.922	-26.033	-26.028	-25.925	-26.064	-26.064	-25.921	-26.029	-26.064	-26.029	-25.994	-26.174	-26.066	-25.968	-25.993	-26.030	-26.031	-26.134	-26.002	-26.098	-26.102	-26.176	-26.065	-25.994	-25.932	-26.172	-26.100	139.021	139.019	139.020	138.955	139.024	138.927	139.019	138.954	138.983	139.088	139.026	138.983	138.954	139.026	139.052	138.984	139.055	139.019	138.875	138.923	138.949	138.954	138.987	138.946	139.019	138.991	139.126	139.051	138.952	139.087	138.845	139.055	100.532	100.518	100.505	100.483	100.546	100.469	100.506	100.509	100.466	100.513	100.518	100.464	100.509	100.518	100.502	100.493	100.560	100.519	100.491	100.497	100.510	100.510	100.549	100.499	100.532	100.536	100.555	100.517	100.496	100.461	100.574	100.530	2016_7_19_17_06_03
FLQS30K1GRWY____	-25.822	-25.787	-25.788	-25.715	-25.855	-25.649	-25.779	-25.784	-25.684	-25.788	-25.785	-25.681	-25.754	-25.785	-25.754	-25.751	-25.928	-25.818	-25.756	-25.747	-25.788	-25.787	-25.854	-25.722	-25.818	-25.854	-25.927	-25.785	-25.748	-25.684	-25.927	-25.822	139.062	139.061	139.033	139.005	139.064	138.967	138.992	139.004	139.034	139.136	139.079	138.992	138.990	139.079	139.102	139.039	139.106	139.062	138.852	138.967	138.961	139.006	139.025	138.949	139.062	139.038	139.137	139.065	139.002	139.099	138.890	139.097	100.511	100.497	100.500	100.473	100.524	100.449	100.499	100.500	100.458	100.492	100.495	100.460	100.489	100.495	100.481	100.485	100.550	100.510	100.501	100.488	100.505	100.501	100.527	100.480	100.509	100.526	100.548	100.496	100.486	100.453	100.566	100.509	2016_7_19_17_06_03
FLQS30JCGRWV____	-25.694	-25.693	-25.693	-25.588	-25.728	-25.559	-25.663	-25.659	-25.559	-25.690	-25.692	-25.559	-25.627	-25.692	-25.629	-25.659	-25.835	-25.691	-25.600	-25.625	-25.662	-25.694	-25.725	-25.634	-25.693	-25.726	-25.805	-25.701	-25.627	-25.593	-25.802	-25.697	139.026	138.994	139.024	138.990	139.027	138.924	139.052	138.992	139.021	139.060	139.032	138.953	138.987	139.032	139.093	138.993	139.031	139.025	138.911	138.960	138.955	138.959	138.993	138.979	139.027	138.998	139.125	139.094	138.956	139.124	138.882	139.088	100.543	100.544	100.542	100.503	100.556	100.496	100.528	100.531	100.489	100.539	100.541	100.494	100.519	100.541	100.512	100.531	100.598	100.541	100.513	100.520	100.535	100.547	100.557	100.522	100.542	100.557	100.579	100.540	100.521	100.495	100.596	100.539	2016_7_19_17_06_04
FLQS30J0GRWV____	-25.602	-25.533	-25.567	-25.492	-25.637	-25.379	-25.564	-25.564	-25.423	-25.566	-25.565	-25.456	-25.532	-25.565	-25.532	-25.568	-25.703	-25.601	-25.538	-25.526	-25.562	-25.534	-25.636	-25.502	-25.602	-25.637	-25.704	-25.534	-25.530	-25.498	-25.707	-25.603	139.056	139.078	139.053	139.007	139.056	139.007	139.077	139.009	139.043	139.148	139.057	139.016	139.014	139.057	139.113	139.014	139.116	139.053	138.937	138.978	138.983	139.014	139.020	139.004	139.052	139.020	139.160	139.111	138.982	139.152	138.902	139.115	100.329	100.300	100.315	100.289	100.343	100.244	100.312	100.317	100.259	100.308	100.314	100.274	100.304	100.314	100.297	100.319	100.365	100.329	100.312	100.304	100.319	100.305	100.345	100.293	100.329	100.346	100.362	100.298	100.306	100.280	100.382	100.325	2016_7_19_17_06_04
FLQS30HZGRWY____	-26.044	-26.011	-26.009	-25.974	-26.081	-25.869	-26.009	-26.008	-25.906	-26.012	-26.011	-25.901	-25.977	-26.011	-25.980	-25.974	-26.157	-26.046	-25.944	-25.975	-26.010	-26.013	-26.081	-25.982	-26.045	-26.084	-26.157	-26.010	-25.972	-25.909	-26.152	-26.049	139.118	139.081	139.119	138.987	139.120	138.989	139.085	139.018	139.052	139.154	139.089	139.081	139.018	139.089	139.118	139.051	139.156	139.082	138.940	138.981	139.046	139.020	139.049	139.010	139.083	139.052	139.188	139.089	139.015	139.127	138.910	139.150	100.630	100.620	100.616	100.612	100.645	100.570	100.618	100.623	100.580	100.615	100.619	100.576	100.611	100.619	100.605	100.607	100.672	100.633	100.603	100.613	100.622	100.625	100.650	100.613	100.633	100.651	100.670	100.619	100.609	100.575	100.688	100.629	2016_7_19_17_06_04
FLQS30H6GRWV____	-26.145	-26.079	-26.110	-25.971	-26.147	-25.929	-26.069	-26.106	-25.968	-26.112	-26.070	-25.998	-26.043	-26.070	-26.045	-26.040	-26.217	-26.108	-26.008	-26.065	-26.107	-26.077	-26.144	-26.047	-26.113	-26.147	-26.217	-26.078	-26.071	-25.975	-26.214	-26.112	139.019	139.053	139.019	138.959	139.058	138.953	138.976	138.915	139.020	139.124	138.992	138.979	138.979	138.992	139.091	139.030	139.094	139.019	138.916	138.928	138.951	138.999	138.987	138.981	139.054	139.031	139.119	139.055	138.908	139.086	138.857	139.088	100.782	100.753	100.768	100.717	100.780	100.701	100.755	100.775	100.712	100.761	100.754	100.726	100.744	100.754	100.737	100.740	100.805	100.768	100.735	100.757	100.772	100.757	100.784	100.746	100.767	100.782	100.803	100.753	100.761	100.710	100.822	100.764	2016_7_19_17_06_04
