,Distance_X_LOGO_Battery_Up1,Distance_X_LOGO_Battery_Up2,Distance_X_LOGO_Battery_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Up1,Distance_Y_LOGO_Battery_Up2,Distance_Y_LOGO_Battery_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Up1,Angle_Battery_Up2,Angle_Battery_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-25.2687258189,-25.4327824711,-25.4207783258,-25.0246415315,-25.3547555268,-25.3387499997,-25.3177427455,-24.9286083693,-25.5198125244,-25.3117406729,-25.861930665,-25.2707265098,-25.6568598497,-25.5948384324,-25.3717613993,-25.3067389457,-25.4727962887,-25.5748315236,-25.7749006117,-25.3977703807,-25.5118097609,-25.2767285825,-24.9035997333,-25.434783162,-25.3897676172,-25.6258491411,-25.5178118335,-25.1806954202,-25.5228135607,-25.82791892,-25.3427513815,-25.543820815,126.130484433,126.178489565,125.993469785,125.987469144,126.010471603,125.901459949,125.965466791,125.847454175,125.771446049,125.843453747,126.084479515,125.941464225,125.945464653,125.892458986,125.832452571,125.899459735,125.941464225,125.90746059,126.013471924,125.962466471,125.944464546,125.874457062,126.103481546,125.860455565,125.759444766,125.980468395,125.781447118,125.874457062,125.773446263,126.087479836,125.715440061,125.82645193,101.3,101.367,101.378,101.206,101.348,101.35,101.335,101.176,101.441,101.344,101.562,101.317,101.486,101.463,101.371,101.336,101.405,101.453,101.531,101.371,101.422,101.326,101.143,101.396,101.385,101.469,101.439,101.283,101.442,101.547,101.368,101.447
FLQS310RGRWV,-26.0584782334,-26.2107849585,-25.9472542434,-25.5594733053,-26.3039726258,-26.1877385461,-25.842042361,-25.5133804806,-25.9923450502,-25.7819212853,-26.328021056,-26.1576780083,-25.9632865303,-26.1155932553,-26.0153914625,-26.0484580542,-26.189742582,-25.9713026737,-26.5033741934,-25.8650887733,-25.6917396718,-26.1656941517,-25.5444430364,-25.4722977456,-25.9151896697,-26.0945508788,-25.799957608,-26.0945508788,-25.8129838411,-26.2959564823,-25.6145842914,-26.1446517752,125.940941985,125.934940319,125.802903686,125.735885092,125.834912567,125.625854564,125.780897581,125.661864555,125.579841798,125.653862335,125.835912845,125.766893695,125.763892863,125.641859005,125.646860392,125.559836248,125.762892585,125.625854564,125.765893418,125.774895916,125.75689092,125.695873991,125.832912012,125.661864555,125.508822094,125.696874269,125.590844851,125.696874269,125.583842908,125.904931994,125.580842076,125.645860115,101.597,101.664,101.561,101.398,101.714,101.682,101.517,101.384,101.601,101.502,101.724,101.656,101.572,101.649,101.605,101.627,101.671,101.588,101.807,101.528,101.454,101.666,101.383,101.366,101.574,101.635,101.516,101.635,101.522,101.704,101.436,101.661
FLQS3106GRWV,-25.5967174118,-25.6837708661,-25.9199158686,-25.4086019013,-25.7848329222,-25.53968239,-25.5787063522,-25.3085404595,-26.0880190907,-25.2725183405,-25.7978409097,-25.532678089,-25.8798912919,-25.7197929851,-25.5626965216,-25.4476258636,-25.8438691729,-25.5236725593,-26.2411130966,-25.5146670295,-26.0029668652,-25.9039060379,-26.194084219,-25.3925920706,-25.7187923707,-25.5727026657,-25.7137892986,-25.5727026657,-25.4226105031,-25.7968402952,-25.5416836188,-25.5937155685,125.964456518,126.055493707,125.82840094,125.821398079,125.819397262,125.736363342,125.73836416,125.74536702,125.602308581,125.675338414,125.92544058,125.847408704,125.748368246,125.667335144,125.601308172,125.671336779,125.856412382,125.736363342,125.989466735,125.748368246,125.802390314,125.786383776,125.935444667,125.690344544,125.529278748,125.741365386,125.672337188,125.741365386,125.542284061,125.995469187,125.546285696,125.59530572,101.274,101.303,101.427,101.204,101.369,101.269,101.286,101.167,101.521,101.157,101.365,101.256,101.417,101.354,101.291,101.234,101.391,101.262,101.552,101.257,101.465,101.423,101.537,101.209,101.366,101.283,101.351,101.283,101.235,101.358,101.287,101.305
FLQS30ZQGRWV,-25.8960261889,-26.1239912071,-25.6140694559,-25.609070223,-25.8030404578,-25.8590318658,-26.0759985717,-25.066153535,-25.8660307918,-25.7700455209,-26.3749526964,-25.7860430661,-25.9710146817,-25.870030178,-25.7670459812,-25.5760752862,-25.8030404578,-25.5980719107,-25.9660154489,-25.7270521184,-25.9730143749,-26.608916794,-25.3181148708,-25.581074519,-25.8510330932,-25.7610469018,-25.8480335535,-25.7610469018,-25.8640310986,-25.7180534992,-25.9640157557,-25.6660614776,125.679270411,125.672270953,125.592277146,125.47028659,125.598276681,125.392292628,125.437289144,125.392292628,125.311298898,125.27730153,125.620274978,125.530281945,125.527282177,125.38929286,125.31229882,125.38929286,125.527282177,125.388292937,125.593277068,125.533281713,125.523282487,125.410291234,125.596276836,125.406291544,125.239304471,125.524282409,125.326297737,125.524282409,125.311298898,125.61327552,125.265302459,125.374294021,101.577,101.677,101.461,101.47,101.543,101.586,101.677,101.239,101.597,101.558,101.791,101.542,101.623,101.592,101.553,101.462,101.55,101.472,101.615,101.516,101.624,101.913,101.331,101.463,101.597,101.532,101.587,101.532,101.596,101.505,101.644,101.503
FLQS30YUGRWV,-25.8262056309,-25.8571998771,-25.3382962062,-25.2623103122,-25.4142821002,-25.5742524034,-25.5572555587,-25.2353153236,-25.644239411,-25.2503125395,-25.9081904112,-25.8751965362,-25.9281866991,-25.5482572291,-25.4942672518,-25.5372592708,-25.5872499905,-25.5592551875,-25.8711972786,-25.4052837707,-25.6832321724,-25.758218252,-25.2133194069,-25.4232804298,-25.5752522178,-25.3752893388,-25.5762520322,-25.3752893388,-25.6532377406,-25.6632358845,-25.6342412671,-25.5962483201,126.089981714,126.139968625,126.007003443,125.887034859,125.972012606,125.928024125,125.922025696,125.868039833,125.726077008,125.805056326,126.043993757,125.908029361,125.995006585,125.855043236,125.788060776,125.922025696,125.987008679,125.922025696,125.975011821,125.916027267,125.905030146,125.702083291,126.060989306,125.874038262,125.595111303,125.926024649,125.800057635,125.926024649,125.728076484,126.04799271,125.728076484,125.782062347,101.469,101.478,101.263,101.24,101.299,101.373,101.366,101.23,101.422,101.243,101.508,101.506,101.522,101.368,101.351,101.357,101.374,101.367,101.498,101.301,101.423,101.474,101.204,101.312,101.403,101.287,101.386,101.287,101.426,101.401,101.417,101.396
FLQS30X6GRWY,-25.6885698774,-25.9224021157,-25.8464566024,-25.6366071577,-25.8674415469,-25.8164781103,-25.6785770467,-25.5846444381,-25.7705110891,-25.6855720282,-25.8324666394,-25.6905684435,-25.9753641184,-25.7745082214,-25.7325383324,-25.6176207794,-25.7785053537,-25.6326100255,-25.9244006819,-25.5846444381,-26.1392465419,-25.6925670096,-26.3720794972,-25.611625081,-25.6505971207,-25.4377498268,-25.6475992715,-25.4377498268,-25.8414601871,-25.726542634,-25.5866430042,-25.5996336841,125.833358948,125.819357128,125.756348937,125.687339965,125.752348417,125.486313831,125.609329823,125.558323192,125.4653111,125.541320982,125.756348937,125.680339055,125.679338925,125.487313961,125.607329563,125.543321242,125.676338535,125.542321112,125.748347897,125.688340095,125.620331254,125.550322152,125.761349587,125.562323712,125.393301739,125.609329823,125.539320722,125.609329823,125.472312011,125.822357518,125.47031175,125.542321112,101.646,101.75,101.722,101.636,101.732,101.733,101.662,101.626,101.715,101.671,101.716,101.661,101.786,101.715,101.686,101.641,101.7,101.648,101.757,101.614,101.863,101.674,101.951,101.637,101.669,101.557,101.655,101.557,101.746,101.664,101.634,101.634
FLQS30X6GRWV,-25.9894718787,-26.4126098104,-26.1355194863,-25.0991816677,-25.8284193798,-26.005477096,-26.1725315513,-25.9454575312,-26.0104787264,-25.9274516617,-26.4596251362,-26.4266143756,-26.1645289427,-25.9624630745,-26.0674973129,-25.9904722048,-25.8344213363,-25.9874712265,-26.0384878566,-26.206542638,-26.519644701,-25.7563959021,-25.5883411207,-25.9074451402,-25.6453597072,-25.6733688375,-25.7704004672,-25.6733688375,-26.1405211167,-26.256558942,-25.8204167712,-26.1625282905,125.874186475,125.838171543,125.735128822,125.665099789,125.76614168,125.591069096,125.630085272,125.599072414,125.568059557,125.584066193,125.85017652,125.777146242,125.723123845,125.567059142,125.463016006,125.561056653,125.693111402,125.559055824,125.832169054,125.791152049,125.774144998,125.760139191,125.856179009,125.604074488,125.375979922,125.710118453,125.523040892,125.710118453,125.456013103,125.908200577,125.511035915,125.711118868,101.813,102.001,101.89,101.442,101.753,101.846,101.915,101.819,101.85,101.812,102.021,102.013,101.904,101.829,101.885,101.842,101.762,101.841,101.838,101.915,102.054,101.722,101.64,101.802,101.707,101.69,101.749,101.69,101.917,101.927,101.772,101.903
FLQS30WFGRWV,-25.2418381383,-25.6389457167,-25.3328627973,-25.1858229635,-25.4228871854,-25.0657904461,-25.1728194408,-25.1368096856,-25.3918787851,-25.0677909881,-25.8169939509,-25.3638711977,-25.8259963897,-25.440892063,-25.486904528,-25.2178316348,-25.3748741784,-25.116804266,-25.5659259353,-25.2958527712,-25.9270237585,-25.7919871764,-24.8807403151,-25.1588156471,-25.2538413901,-24.9487587417,-25.3148579197,-24.9487587417,-25.6159394842,-25.6829576398,-25.4729007343,-25.2948525002,125.020107119,124.894109026,124.87010939,124.869109405,124.954108118,124.807110344,124.815110222,124.855109617,124.778110783,124.727111555,125.078106241,124.748111237,125.058106543,124.863109496,124.923108587,124.753111161,124.747111252,124.747111252,125.160104999,124.749111222,125.030106967,124.986107633,124.889109102,124.861109526,124.58611369,124.784110692,124.846109753,124.784110692,124.666112478,125.19110453,124.6581126,124.797110495,101.275,101.461,101.328,101.264,101.36,101.216,101.262,101.243,101.362,101.224,101.523,101.353,101.528,101.377,101.391,101.288,101.358,101.244,101.405,101.323,101.575,101.52,101.127,101.252,101.319,101.167,101.323,101.167,101.471,101.453,101.409,101.318
FLQS30VBGRWV,-26.0558294332,-26.105869436,-26.0238038315,-25.2241645875,-25.7926190187,-25.7175590146,-26.1098726362,-25.7275670152,-26.0167982311,-25.9317302264,-26.4761654563,-26.3000246467,-26.2189598422,-25.852667022,-25.8936998243,-25.8736838232,-26.0788478345,-25.5804494071,-26.1338918375,-25.7585918169,-26.5191998587,-26.1198806367,-25.4803694016,-25.7335718155,-25.8346526211,-25.7475830163,-26.1308894373,-25.7475830163,-26.0308094318,-26.2609934445,-26.0598326334,-25.7776070179,125.564618259,125.613619281,125.417615193,125.34361365,125.540617758,125.327613317,125.355613901,125.285612441,125.135609313,125.264612003,125.570618384,125.48361657,125.478616465,125.332613421,125.198610627,125.338613546,125.478616465,125.325613275,125.491616737,125.479616486,125.479616486,125.410615047,125.540617758,125.285612441,125.114608875,125.350613796,125.206610794,125.350613796,125.138609376,125.619619406,125.193610523,125.335613484,101.795,101.812,101.795,101.451,101.682,101.668,101.838,101.677,101.817,101.768,101.978,101.909,101.874,101.727,101.757,101.736,101.813,101.609,101.836,101.673,102.005,101.837,101.545,101.68,101.739,101.68,101.861,101.68,101.823,101.88,101.831,101.694
FLQS30UFGRWV,-25.6088219246,-25.7686211332,-25.505951184,-25.0475272043,-25.7426537618,-25.6088219246,-25.5858507883,-25.1414092394,-25.6697453728,-25.3461519754,-25.9463977527,-25.5459009862,-25.6018307092,-25.5888470235,-25.4450277357,-25.2053289228,-25.5558884367,-25.4719938522,-25.9913412802,-25.4370377753,-25.3920942479,-26.2410275436,-25.245278725,-25.2103226481,-25.4160641292,-25.4020816984,-25.4230553446,-25.4020816984,-25.6847265486,-25.71069392,-25.4849775379,-25.4560139313,126.255450827,126.310473686,126.118393889,126.112391395,126.234442099,125.973333626,126.03836064,126.037360225,125.955326145,125.973333626,126.017351913,125.935317833,125.939319495,125.971332795,125.958327392,126.028356484,125.934317417,125.971332795,125.887297884,126.011349419,125.870290819,125.88129539,126.176417994,126.042362303,125.823271285,126.039361056,126.0293569,126.039361056,125.958327392,126.250448749,125.898302456,125.868289987,101.328,101.392,101.294,101.095,101.388,101.353,101.337,101.142,101.381,101.238,101.496,101.328,101.353,101.344,101.282,101.171,101.333,101.293,101.527,101.274,101.267,101.637,101.175,101.172,101.282,101.256,101.266,101.256,101.387,101.372,101.305,101.295
FLQS30TYGRWV,-25.9192879747,-26.1363238802,-26.1263222255,-25.3421925025,-25.8042689464,-25.7412585223,-25.4612121926,-25.7002517383,-26.1673290095,-26.0313065066,-26.8504420208,-25.9152873128,-26.0293061756,-25.8882828453,-25.7202550475,-25.4412088834,-26.0613114704,-25.9102864855,-26.1183209018,-25.7392581913,-25.7282563713,-26.2413412538,-25.3751979628,-25.7052525656,-25.6042358538,-25.5242226168,-25.9792979025,-25.5242226168,-25.9892995571,-26.0043020391,-25.9812982334,-25.6432423069,126.190603643,126.186603243,125.994584065,125.986583265,126.106595252,125.907575374,125.970581667,125.911575774,125.76956159,125.848569481,126.096594253,126.045589159,126.040588659,125.910575674,125.76656129,125.900574675,126.03958856,125.849569581,125.884573077,126.045589159,125.970581667,125.879572578,126.110595652,125.918576473,125.695554198,125.971581767,125.786563288,125.971581767,125.77056169,126.12359695,125.77256189,125.737558393,101.612,101.707,101.721,101.379,101.57,101.56,101.432,101.542,101.759,101.692,102.026,101.624,101.674,101.624,101.564,101.43,101.688,101.639,101.727,101.547,101.549,101.781,101.382,101.544,101.519,101.46,101.675,101.46,101.681,101.656,101.677,101.533
FLQS30T7GRWV,-25.4352622909,-25.6610161015,-25.6480302628,-25.3863156683,-25.7659017214,-25.5781065162,-25.5531337495,-25.348357063,-25.5191707869,-25.4332644696,-25.826835272,-25.6340455135,-25.7539147934,-25.7908744881,-25.5321566255,-25.5930901762,-25.3133951897,-25.5581283029,-26.0955422412,-25.4392579336,-25.9956511746,-25.7948701307,-25.1585640364,-25.348357063,-25.6220585855,-25.4252731843,-25.6280520495,-25.4252731843,-25.7069659921,-25.7968679521,-25.4462503083,-25.6450335308,125.832037315,125.760032143,125.697027618,125.628022662,125.758031999,125.487012535,125.614021657,125.557017562,125.412007148,125.486012463,125.76403243,125.625022447,125.563017993,125.480012032,125.41300722,125.549016988,125.615021728,125.548016916,125.935044713,125.623022303,125.624022375,125.497013253,125.81303595,125.505013828,125.28699817,125.614021657,125.484012319,125.614021657,125.473011529,125.800035016,125.415007363,125.487012535,101.329,101.434,101.435,101.326,101.481,101.423,101.4,101.315,101.404,101.359,101.507,101.435,101.493,101.517,101.409,101.424,101.295,101.408,101.609,101.35,101.593,101.517,101.21,101.32,101.46,101.344,101.445,101.344,101.48,101.491,101.371,101.452
FLQS30S7GRWV,-25.5137548966,-25.6558147796,-26.1360172009,-25.4437253768,-25.9909560528,-25.5837844164,-25.8018763494,-25.5387654394,-26.101002441,-25.9149240027,-26.191040395,-25.7678620112,-25.9389341238,-25.9709476186,-25.9039193639,-25.7898712889,-26.0589847291,-25.7458527336,-26.0990015976,-25.6898291178,-25.8639024955,-26.0369754515,-25.5257599571,-25.7258442994,-25.6448101408,-25.6187991763,-25.9399345455,-25.6187991763,-25.8999176771,-26.1250125621,-25.5777818861,-26.1400188877,125.36543506,125.40741913,125.289463884,125.274469573,125.287464642,125.070546943,125.146518119,125.268471849,124.947593593,125.077544288,125.360436956,125.269471469,125.27047109,125.140520395,124.962587904,125.07954353,125.220490053,125.17550712,125.344443024,125.273469952,125.268471849,125.152515843,125.344443024,125.158513568,124.869623176,125.140520395,125.076544668,125.140520395,125.007570837,125.364435439,125.123526842,125.146518119,101.476,101.534,101.755,101.453,101.692,101.533,101.622,101.495,101.771,101.678,101.773,101.596,101.671,101.696,101.683,101.623,101.728,101.594,101.734,101.561,101.638,101.725,101.483,101.587,101.578,101.542,101.689,101.542,101.678,101.744,101.526,101.77
FLQS30RRGRWV,-25.7935526248,-26.3831538045,-26.2322558754,-25.6176715949,-25.679629685,-26.2612362724,-26.3611686757,-25.5786979576,-26.0473809293,-25.9684343306,-26.3901490727,-25.71060873,-26.0583734936,-25.7665708759,-25.9454498779,-26.0413849851,-25.8145384295,-26.0333903928,-26.2462464119,-25.9934174315,-26.130324824,-25.9704329787,-26.009406616,-25.8375228823,-26.1013444271,-26.2112700707,-26.2882180213,-26.2112700707,-26.0543761975,-26.1113376674,-25.7216012944,-25.6426546958,125.992683991,125.996684616,125.796653365,125.727642583,125.882666803,125.617625395,125.756647115,125.714640552,125.569617895,125.646629927,125.962679304,125.811655709,125.886667428,125.689636646,125.63762852,125.619625708,125.814656178,125.683635708,125.888667741,125.835659459,125.756647115,125.749646021,125.762648052,125.786651803,125.502607426,125.628627114,125.645629771,125.628627114,125.575618833,125.960678991,125.639628833,125.678634927,101.499,101.756,101.708,101.446,101.459,101.738,101.769,101.43,101.649,101.607,101.763,101.479,101.624,101.515,101.598,101.641,101.524,101.632,101.706,101.601,101.668,101.598,101.614,101.537,101.678,101.715,101.747,101.715,101.651,101.641,101.499,101.461
FLQS30R2GRWV,-25.2422079937,-25.2171929225,-25.2652218591,-25.1271386664,-25.266222462,-25.1401465034,-25.2352037737,-24.8379644439,-25.2482116107,-25.1121296237,-25.2682236677,-25.3002429587,-25.2482116107,-25.298241753,-25.1821718229,-25.0430880273,-25.2101887026,-25.1151314322,-25.8255594528,-25.2642212563,-25.5984226068,-25.0721055099,-24.7188927053,-25.5153725706,-25.1901766457,-25.1011229924,-25.1901766457,-25.1011229924,-25.2582176392,-25.2842333132,-25.3062465758,-25.2261983481,125.886105697,125.870105683,125.768105597,125.808105631,125.737105571,125.593105451,125.658105505,125.798105623,125.546105411,125.601105457,125.868105681,125.732105567,125.670105515,125.589105447,125.529105397,125.591105449,125.669105514,125.593105451,125.743105576,125.740105574,125.729105565,125.598105455,125.797105622,125.620105473,125.452105332,125.660105507,125.598105455,125.660105507,125.526105394,125.875105687,125.530105398,125.585105444,101.44,101.43,101.46,101.396,101.464,101.421,101.457,101.27,101.472,101.408,101.453,101.479,101.462,101.491,101.445,101.378,101.445,101.41,101.707,101.462,101.609,101.39,101.218,101.583,101.455,101.398,101.442,101.398,101.479,101.459,101.499,101.459
FLQS30QXGRWV,-25.5470288948,-26.0479118235,-25.8629550534,-25.4400538981,-26.0029223389,-25.9039454727,-25.8049686066,-25.7979702423,-25.9639314522,-25.873952483,-26.5597921817,-25.8829503799,-26.1218945315,-25.7779749158,-25.8549569228,-25.7479819261,-25.8929480432,-25.7489816924,-26.0489115898,-25.6080146406,-26.187879109,-25.8229644004,-25.6560034242,-25.6789980497,-25.8359613627,-26.0669073837,-25.8349615963,-26.0669073837,-25.9729293492,-25.8899487442,-25.8959473422,-25.682997115,125.252133486,125.256134544,125.2291274,125.157108348,125.24213084,125.034075802,125.10309406,125.09009062,124.834022881,124.962056751,125.319151214,125.173112582,125.176113376,125.044078448,124.962056751,125.037076596,125.169111524,125.030074744,125.14010385,125.186116022,125.243131104,125.105094589,125.185115757,124.929048019,124.817018383,125.054081094,124.90104061,125.054081094,124.833022617,125.254134015,124.892038228,125.112096441,101.38,101.6,101.521,101.342,101.582,101.557,101.507,101.505,101.601,101.55,101.819,101.535,101.64,101.501,101.542,101.488,101.54,101.489,101.611,101.413,101.663,101.515,101.434,101.468,101.547,101.627,101.539,101.627,101.606,101.531,101.567,101.453
FLQS30QPGRWV,-25.6508055593,-25.6978290347,-25.4427016684,-25.4747176516,-25.8388994608,-25.4126866841,-25.4196901804,-25.6157880777,-25.6177890766,-25.3466537187,-26.180069782,-25.6578090556,-25.8398999602,-25.7938769843,-25.5587596075,-25.147554323,-25.786873488,-25.2946277459,-25.5327466212,-25.4507056642,-25.5917760902,-25.7158380252,-25.2045827931,-25.3916761951,-25.6538070577,-25.4076841867,-25.6578090556,-25.4076841867,-25.6287945708,-25.7998799812,-25.5497551123,-25.6247925729,125.589712502,125.584710323,125.446650177,125.441647998,125.580708579,125.343605287,125.37161749,125.374618797,125.11450548,125.23955996,125.654740831,125.386624027,125.509677635,125.322596134,125.170529887,125.296584802,125.509677635,125.300586546,125.63573255,125.452652793,125.446650177,125.381621848,125.511678507,125.372617926,125.094496764,125.368616182,125.183535553,125.368616182,125.115505916,125.648738216,125.168529015,125.378620541,101.531,101.552,101.452,101.466,101.614,101.448,101.449,101.534,101.559,101.428,101.756,101.552,101.621,101.617,101.528,101.336,101.597,101.4,101.474,101.455,101.517,101.578,101.342,101.436,101.576,101.444,101.57,101.444,101.563,101.59,101.524,101.538
FLQS30QMGRWV,-25.6753615975,-25.8374396312,-25.9454916536,-25.5603062032,-25.7584015777,-25.8704555269,-25.844443003,-25.5352941609,-25.7964198819,-25.1441058204,-25.8234328875,-25.8034232537,-26.105568724,-25.8234328875,-25.6653567806,-25.5883196905,-25.8084256622,-25.5442984962,-25.8064246988,-25.5012777835,-26.0275311522,-25.7213837552,-25.4182378033,-25.2231438738,-25.1621144908,-25.3432016766,-26.3226732506,-25.3432016766,-25.8104266256,-25.6183341412,-25.7554001326,-25.5823168004,126.368210005,126.384212818,126.354207544,126.283195063,126.306199106,126.213182758,126.214182934,126.213182758,126.014147776,126.149171508,126.414218091,126.314200513,126.239187329,126.214182934,126.141170101,126.079159203,126.233186274,126.08215973,126.168174848,126.217183461,126.141170101,126.142170277,126.316200864,126.213182758,125.877123694,126.304198755,126.066156917,126.304198755,126.137169398,126.425220025,126.000145315,126.01814848,101.346,101.415,101.465,101.304,101.388,101.445,101.434,101.299,101.431,101.134,101.407,101.407,101.545,101.425,101.362,101.334,101.416,101.315,101.421,101.284,101.52,101.386,101.239,101.163,101.166,101.207,101.655,101.207,101.426,101.316,101.414,101.337
FLQS30Q9GRWY,-25.7646895664,-25.8806926711,-25.8676923232,-25.3676789408,-25.6876875056,-25.5566839994,-25.8836927514,-25.7316886832,-25.6786872647,-25.5366834641,-25.8576920556,-25.7716897538,-25.906693367,-25.8646922429,-25.6696870238,-25.5186829823,-25.8106907976,-25.5906849094,-25.9996958561,-25.5636841867,-26.1156989609,-25.6696870238,-25.375679155,-25.6246858194,-25.66468689,-25.3526785394,-25.8366914935,-25.3526785394,-25.6926876394,-25.7146882282,-25.6666869435,-25.5916849361,125.596761659,125.535769544,125.402786738,125.388788548,125.520771484,125.253805999,125.332795787,125.32379695,125.118823451,125.191814014,125.536769415,125.456779757,125.397787384,125.269803931,125.176815953,125.257805482,125.448780791,125.256805612,125.470777947,125.402786738,125.398787255,125.380789582,125.467778335,125.32379695,125.045832888,125.316797855,125.186814661,125.316797855,125.119823322,125.534769674,125.117823581,125.257805482,101.456,101.512,101.518,101.3,101.429,101.395,101.532,101.466,101.461,101.392,101.502,101.472,101.536,101.529,101.452,101.378,101.489,101.41,101.57,101.385,101.627,101.434,101.297,101.419,101.461,101.3,101.524,101.3,101.467,101.439,101.456,101.411
FLQS30Q9GRWV,-25.6862863515,-26.1477765891,-25.763368235,-25.4420268765,-25.5751683116,-25.5611534237,-25.9846032513,-25.3439226611,-25.8114192793,-25.6011959606,-26.465113694,-25.9695873,-25.950567095,-25.9285436997,-25.7954022645,-25.5301204576,-25.6412384975,-25.5461374724,-25.9675851731,-25.6332299901,-26.3860296836,-25.6872874149,-25.4690555889,-25.5951895801,-25.7503544105,-25.4640502718,-25.808416089,-25.4640502718,-25.7653703618,-26.0556787543,-25.692292732,-25.872484148,125.683378934,125.69938484,125.602349032,125.536324668,125.625357523,125.552330575,125.557332421,125.460296613,125.373264497,125.448292183,125.785416587,125.633360476,125.559333159,125.446291445,125.503312486,125.510315071,125.557332421,125.484305473,125.468299566,125.64036306,125.64036306,125.561333897,125.691381887,125.411278525,125.245217246,125.620355677,125.448292183,125.620355677,125.375265235,125.698384471,125.323246039,125.454294398,101.514,101.714,101.555,101.42,101.47,101.471,101.656,101.384,101.597,101.498,101.845,101.642,101.641,101.641,101.578,101.461,101.506,101.471,101.657,101.494,101.824,101.525,101.418,101.499,101.581,101.422,101.589,101.422,101.576,101.674,101.549,101.616
FLQS30Q3GRWV,-25.9124417617,-26.2494605133,-25.8354374772,-25.7894349176,-25.883440148,-26.0584498855,-25.9594443769,-25.6464269607,-25.9964464357,-25.9624445438,-26.1134529459,-25.8744396473,-26.2044580094,-26.0084471034,-26.0014467139,-25.8384376441,-25.8784398698,-25.8544385344,-26.2064581207,-25.774434083,-26.2114583989,-25.9794454898,-25.8074359192,-25.7134306888,-26.0924517774,-25.8434379223,-25.9804455454,-25.8434379223,-26.0064469921,-25.9034412609,-25.9244424294,-25.9414433753,125.459892173,125.400898337,125.314907321,125.249914111,125.382900217,125.180921319,125.245914529,125.177921633,125.035936467,125.053934587,125.456892487,125.316907112,125.316907112,125.185920797,125.102929468,125.175921842,125.31290753,125.175921842,125.443893845,125.374901053,125.373901157,125.248914216,125.389899486,125.129926647,124.959944407,125.307908052,125.051934796,125.307908052,125.036936363,125.513886532,124.986941586,125.239915156,101.628,101.781,101.607,101.593,101.622,101.717,101.668,101.537,101.703,101.687,101.716,101.624,101.769,101.695,101.699,101.621,101.626,101.628,101.758,101.575,101.767,101.677,101.588,101.57,101.752,101.611,101.695,101.611,101.708,101.619,101.676,101.66
FLQS30Q2GRWV,-25.6493609093,-25.9935536206,-25.976544097,-25.5423009672,-25.7244029248,-25.4862695956,-26.0275726676,-25.2681474704,-26.0275726676,-25.4152298209,-25.2291256223,-25.8214572649,-25.7214012442,-25.8414684691,-25.6443581083,-25.3972197371,-25.4162303811,-25.2101149784,-25.8774886365,-25.4942740772,-26.227684709,-26.2877183215,-24.9319592408,-25.2821553133,-25.6143413021,-25.2601429887,-25.6043357,-25.2601429887,-25.686381637,-25.7484163698,-25.4952746374,-25.5773205744,125.71168765,125.703686269,125.636674709,125.506652277,125.629673501,125.420637438,125.541658316,125.432639509,125.346624669,125.364627775,125.632674018,125.506652277,125.55866125,125.497650724,125.349625187,125.420637438,125.551660042,125.415636575,125.88071681,125.501651414,125.50765245,125.445641752,125.62567281,125.435640026,125.274612246,125.480647791,125.418637093,125.480647791,125.239606207,125.702686097,125.348625014,125.412636058,101.425,101.576,101.575,101.396,101.465,101.38,101.606,101.283,101.623,101.353,101.248,101.519,101.47,101.528,101.455,101.341,101.337,101.259,101.51,101.376,101.697,101.728,101.118,101.289,101.449,101.275,101.432,101.275,101.484,101.469,101.39,101.42
