SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS2044GRWY____	-67.360	-67.259	-67.191	-67.292	-67.329	-67.363	-67.260	-67.294	-67.224	-67.326	-67.361	-67.257	-67.156	-67.362	-67.291	-67.362	-67.258	-67.291	-67.259	-67.225	-67.262	-67.296	-67.296	-67.193	-67.260	-67.188	-67.150	-67.151	-67.120	-67.083	-67.188	-67.151	144.062	144.055	144.062	144.130	144.131	144.096	144.086	144.160	144.056	144.094	144.058	143.985	144.133	144.097	144.092	144.057	144.090	144.056	144.125	144.127	144.161	144.091	144.126	144.229	144.331	144.300	144.341	144.298	144.271	144.234	144.266	144.421	115.149	115.116	115.093	115.116	115.128	115.144	115.112	115.112	115.105	115.132	115.149	115.126	115.071	115.144	115.121	115.150	115.111	115.127	115.106	115.094	115.101	115.123	115.117	115.068	115.075	115.056	115.037	115.044	115.038	115.032	115.061	115.025	2016_7_19_17_03_09
FLQS312SGRWV____	-67.035	-66.928	-66.863	-66.963	-66.998	-67.036	-66.929	-66.967	-66.893	-66.999	-67.034	-66.929	-66.828	-67.036	-66.966	-67.035	-66.928	-66.963	-66.933	-66.896	-66.930	-66.963	-66.963	-66.862	-66.936	-66.864	-66.830	-66.830	-66.794	-66.758	-66.863	-66.828	144.017	144.024	144.020	144.090	144.090	144.047	144.056	144.133	144.022	144.054	144.016	143.950	144.093	144.054	144.064	144.015	144.055	144.020	144.089	144.097	144.168	144.051	144.122	144.258	144.351	144.264	144.318	144.292	144.286	144.247	144.252	144.373	115.045	115.009	114.988	115.010	115.022	115.040	115.004	115.005	114.998	115.027	115.045	115.020	114.966	115.039	115.015	115.045	115.004	115.021	115.000	114.987	114.988	115.016	115.005	114.952	114.962	114.951	114.932	114.936	114.925	114.919	114.953	114.923	2016_7_19_17_03_09
FLQS31J6GRWY____	-67.094	-66.989	-66.913	-67.025	-67.060	-67.095	-66.990	-67.020	-66.954	-67.059	-67.094	-66.989	-66.878	-67.094	-67.018	-67.094	-66.989	-67.023	-66.983	-66.953	-66.987	-67.026	-67.026	-66.915	-66.992	-66.907	-66.881	-66.878	-66.849	-66.814	-66.915	-66.884	144.011	144.015	144.013	144.082	144.083	144.048	144.043	144.108	144.011	144.049	144.010	143.944	144.082	144.049	144.039	144.014	144.050	144.015	144.077	144.073	144.144	144.044	144.118	144.205	144.333	144.246	144.291	144.244	144.259	144.234	144.202	144.367	114.970	114.935	114.910	114.936	114.948	114.964	114.931	114.931	114.924	114.952	114.969	114.945	114.888	114.964	114.941	114.969	114.929	114.946	114.923	114.914	114.914	114.942	114.931	114.882	114.887	114.873	114.858	114.864	114.852	114.844	114.882	114.847	2016_7_19_17_02_56
FLQS31FWGRWY____	-67.162	-67.058	-66.984	-67.094	-67.130	-67.163	-67.060	-67.090	-67.022	-67.127	-67.162	-67.058	-66.947	-67.162	-67.089	-67.162	-67.059	-67.092	-67.053	-67.024	-67.057	-67.095	-67.093	-66.987	-67.059	-66.979	-66.952	-66.951	-66.919	-66.881	-66.988	-66.952	144.031	144.031	144.031	144.101	144.105	144.061	144.060	144.134	144.029	144.067	144.029	143.960	144.108	144.069	144.066	144.032	144.066	144.034	144.098	144.099	144.165	144.059	144.134	144.250	144.369	144.272	144.331	144.290	144.295	144.269	144.240	144.390	114.989	114.956	114.931	114.956	114.968	114.985	114.952	114.950	114.944	114.973	114.990	114.966	114.908	114.984	114.960	114.989	114.950	114.966	114.944	114.934	114.935	114.963	114.951	114.899	114.904	114.893	114.875	114.881	114.870	114.861	114.901	114.866	2016_7_19_17_02_56
FLQS31CRGRWY____	-67.569	-67.463	-67.389	-67.497	-67.533	-67.570	-67.463	-67.496	-67.428	-67.533	-67.569	-67.464	-67.353	-67.568	-67.494	-67.569	-67.464	-67.497	-67.458	-67.428	-67.462	-67.499	-67.497	-67.392	-67.466	-67.386	-67.359	-67.358	-67.326	-67.290	-67.392	-67.361	143.803	143.806	143.806	143.877	143.876	143.835	143.839	143.906	143.808	143.840	143.803	143.736	143.879	143.839	143.839	143.803	143.839	143.808	143.872	143.872	143.943	143.836	143.911	144.026	144.149	144.042	144.107	144.061	144.071	144.046	144.008	144.166	115.386	115.351	115.327	115.351	115.363	115.382	115.346	115.347	115.340	115.369	115.386	115.362	115.304	115.380	115.356	115.386	115.346	115.362	115.339	115.329	115.330	115.358	115.346	115.294	115.299	115.290	115.271	115.278	115.266	115.258	115.297	115.263	2016_7_19_17_02_56
FLQS319LGRWY____	-67.039	-66.937	-66.866	-66.972	-67.007	-67.044	-66.938	-66.972	-66.903	-67.006	-67.039	-66.936	-66.830	-67.039	-66.971	-67.042	-66.936	-66.971	-66.935	-66.904	-66.935	-66.974	-66.972	-66.866	-66.937	-66.865	-66.833	-66.831	-66.798	-66.760	-66.867	-66.831	144.035	144.038	144.040	144.107	144.109	144.069	144.066	144.139	144.037	144.071	144.035	143.971	144.113	144.073	144.073	144.035	144.073	144.040	144.110	144.105	144.175	144.071	144.141	144.242	144.352	144.276	144.314	144.279	144.280	144.249	144.243	144.392	114.824	114.790	114.767	114.791	114.802	114.821	114.786	114.787	114.779	114.808	114.824	114.800	114.744	114.818	114.796	114.825	114.785	114.801	114.779	114.770	114.769	114.797	114.786	114.736	114.743	114.731	114.714	114.719	114.708	114.701	114.736	114.702	2016_7_19_17_02_56
FLQS319HGRWY____	-67.108	-67.004	-66.996	-67.039	-67.076	-67.111	-67.008	-67.035	-66.971	-67.073	-67.109	-67.002	-66.893	-67.109	-67.101	-67.110	-67.002	-67.038	-66.997	-66.969	-67.002	-67.042	-67.040	-66.932	-67.006	-66.925	-66.897	-66.897	-66.863	-66.832	-66.931	-66.902	144.141	144.141	144.092	144.213	144.214	144.171	144.137	144.235	144.141	144.177	144.137	144.076	144.212	144.180	144.127	144.135	144.179	144.145	144.207	144.198	144.269	144.175	144.245	144.319	144.449	144.364	144.409	144.317	144.377	144.311	144.323	144.449	115.007	114.973	114.978	114.973	114.985	115.003	114.975	114.969	114.962	114.990	115.008	114.982	114.926	115.001	115.007	115.009	114.967	114.983	114.961	114.953	114.953	114.980	114.969	114.922	114.927	114.914	114.897	114.911	114.891	114.891	114.921	114.893	2016_7_19_17_02_56
FLQS317CGRWY____	-67.387	-67.286	-67.210	-67.321	-67.358	-67.392	-67.287	-67.320	-67.251	-67.354	-67.388	-67.284	-67.175	-67.389	-67.317	-67.391	-67.284	-67.319	-67.280	-67.252	-67.285	-67.324	-67.323	-67.215	-67.289	-67.206	-67.183	-67.179	-67.148	-67.114	-67.216	-67.183	143.941	143.945	143.946	144.012	144.015	143.972	143.976	144.033	143.944	143.978	143.938	143.876	144.019	143.978	143.967	143.937	143.979	143.943	144.011	144.003	144.074	143.974	144.045	144.123	144.249	144.172	144.215	144.163	144.183	144.151	144.125	144.298	115.042	115.009	114.984	115.010	115.021	115.039	115.004	115.006	114.998	115.026	115.043	115.019	114.961	115.037	115.015	115.044	115.003	115.020	114.997	114.988	114.989	115.017	115.005	114.958	114.963	114.948	114.934	114.941	114.927	114.921	114.958	114.921	2016_7_19_17_02_56
FLQS3160GRWY____	-67.307	-67.144	-67.066	-67.237	-67.272	-67.251	-67.202	-67.176	-67.111	-67.272	-67.246	-67.141	-67.031	-67.307	-67.173	-67.249	-67.202	-67.177	-67.137	-67.167	-67.202	-67.216	-67.182	-67.070	-67.184	-67.061	-67.039	-67.071	-67.007	-66.973	-67.070	-67.080	143.950	144.006	144.002	144.020	144.020	143.997	143.985	144.097	144.004	143.985	144.001	143.938	144.079	143.985	144.030	144.001	143.985	144.007	144.066	144.020	144.090	143.995	144.108	144.182	144.271	144.232	144.276	144.223	144.245	144.219	144.184	144.312	115.127	115.065	115.040	115.093	115.105	115.101	115.087	115.061	115.054	115.110	115.099	115.074	115.017	115.121	115.070	115.100	115.087	115.075	115.053	115.070	115.071	115.090	115.062	115.014	115.037	115.003	114.989	115.008	114.984	114.976	115.014	114.997	2016_7_19_17_02_57
FLQS3126GRWV____	-67.073	-66.968	-66.898	-67.004	-67.040	-67.075	-66.970	-67.001	-66.934	-67.038	-67.072	-66.968	-66.862	-67.073	-67.000	-67.074	-66.969	-67.003	-66.967	-66.935	-66.969	-67.005	-67.004	-66.899	-66.971	-66.896	-66.864	-66.864	-66.831	-66.794	-66.899	-66.866	144.157	144.156	144.160	144.226	144.229	144.188	144.187	144.255	144.155	144.191	144.155	144.087	144.231	144.192	144.187	144.156	144.191	144.157	144.223	144.222	144.286	144.188	144.261	144.348	144.462	144.394	144.430	144.388	144.397	144.362	144.351	144.513	115.044	115.009	114.986	115.011	115.022	115.039	115.006	115.005	114.998	115.027	115.044	115.020	114.964	115.038	115.015	115.044	115.005	115.021	114.999	114.989	114.990	115.017	115.005	114.958	114.964	114.950	114.934	114.940	114.928	114.921	114.957	114.922	2016_7_19_17_02_57
