,Distance_X_LOGO_MainBoard_Corner1,Distance_X_LOGO_MainBoard_Corner2,Distance_X_LOGO_MainBoard_Corner3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_Corner1,Distance_Y_LOGO_MainBoard_Corner2,Distance_Y_LOGO_MainBoard_Corner3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_Corner1,Angle_MainBoard_Corner2,Angle_MainBoard_Corner3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-50.5294956852,-50.5294956852,-50.6014693279,-50.5654825065,-50.5654825065,-50.666445533,-50.4195359533,-50.4925092299,-50.3885473016,-50.6324579796,-50.5974707922,-50.5634832387,-50.3505612125,-50.5984704261,-50.532494587,-50.3795505963,-50.4925092299,-50.4265333908,-50.4545231408,-50.5664821404,-50.3915462034,-50.4955081317,-50.5304953191,-50.4945084978,-50.3515608464,-50.5294956852,-50.2815864716,-50.5964711582,-50.5634832387,-50.5334942209,-50.4575220425,-50.4605209443,129.968922988,129.896918044,129.926920104,129.86291571,129.896918044,130.007925665,130.007925665,130.042928068,129.970923125,129.933920585,129.968922988,129.932920516,130.009925803,129.897918113,129.927920173,129.975923468,130.005925528,130.075930334,130.042928068,130.002925322,130.006925597,130.109932669,129.933920585,130.038927794,129.975923468,130.109932669,130.143935003,130.076930403,130.112932875,129.861915641,130.039927862,130.148935346,111.389,111.399,111.423,111.418,111.413,111.435,111.341,111.364,111.334,111.434,111.415,111.407,111.314,111.426,111.396,111.33,111.369,111.334,111.349,111.398,111.33,111.355,111.394,111.365,111.32,111.368,111.268,111.399,111.38,111.406,111.351,111.336
FLQS312SGRWV,-50.3377521057,-50.3377521057,-50.4087771534,-50.3727644531,-50.3737648059,-50.4397880897,-50.2277132994,-50.2677274108,-50.1967023631,-50.4327856202,-50.3697633948,-50.3747651587,-50.1586889573,-50.4087771534,-50.3377521057,-50.1927009519,-50.3027397582,-50.2367164745,-50.2657267052,-50.3387524585,-50.1977027159,-50.3067411694,-50.3417535168,-50.3057408166,-50.1596893101,-50.340753164,-50.0876639096,-50.4047757422,-50.3377521057,-50.3447545752,-50.2677274108,-50.2697281163,130.018496014,129.947498473,129.947498473,129.913499651,129.945498542,130.054494767,130.026495737,130.087493624,130.017496048,129.982497261,130.017496048,129.979497365,130.02349584,129.947498473,129.950498369,130.019495979,130.055494732,130.12049248,130.086493658,130.052494836,130.053494801,130.156491233,129.98049733,130.086493658,129.99349688,130.160491095,130.190490056,130.124492342,130.155491268,129.875500967,130.087493624,130.197489813,111.265,111.276,111.303,111.294,111.29,111.299,111.222,111.228,111.211,111.307,111.277,111.285,111.196,111.303,111.275,111.21,111.246,111.211,111.227,111.26,111.206,111.233,111.272,111.243,111.201,111.245,111.144,111.275,111.245,111.289,111.228,111.212
FLQS31J6GRWY,-50.5471179866,-50.5821589692,-50.6171999518,-50.6171999518,-50.6202034645,-50.6852795751,-50.4349868422,-50.4760348504,-50.4019482015,-50.6802737204,-50.6161987808,-50.5821589692,-50.3629025352,-50.6522409344,-50.5461168156,-50.3959411759,-50.5491203284,-50.438991526,-50.4730313376,-50.5861636529,-50.4029493724,-50.512077004,-50.5821589692,-50.511075833,-50.3639037061,-50.5481191575,-50.2968252537,-50.6542432762,-50.5831601401,-50.5861636529,-50.4750336795,-50.4690266539,129.956889713,129.886884924,129.885884856,129.85188253,129.886884924,129.994892313,129.969890602,130.028894639,129.957889782,129.922887387,129.955889645,129.918887114,129.970890671,129.886884924,129.890885198,129.968890534,129.994892313,130.062896965,130.028894639,129.991892108,129.994892313,130.096899291,129.919887182,130.025894433,129.938888482,130.098899427,130.133901822,130.063897033,130.102899701,129.861883214,130.028894639,130.108900111,111.315,111.339,111.353,111.358,111.354,111.363,111.271,111.278,111.26,111.372,111.342,111.335,111.243,111.367,111.325,111.256,111.311,111.259,111.277,111.325,111.255,111.281,111.334,111.292,111.248,111.295,111.194,111.34,111.308,111.345,111.277,111.263
FLQS31FWGRWY,-50.4773026447,-50.4743025673,-50.543304348,-50.5793052771,-50.5093034706,-50.6493070836,-50.3692998575,-50.4743025673,-50.3973005801,-50.6493070836,-50.5443043738,-50.5113035222,-50.3342989543,-50.5443043738,-50.4743025673,-50.3332989285,-50.4413017157,-50.4153010447,-50.4043007608,-50.512303548,-50.377300064,-50.4393016641,-50.4773026447,-50.4803027221,-50.3382990575,-50.4743025673,-50.2242961155,-50.6143061803,-50.5093034706,-50.4893029544,-50.4043007608,-50.4123009673,129.929603817,129.857598495,129.851598052,129.861598791,129.896601378,130.00160914,129.966606552,130.036611727,129.904601969,129.861598791,129.966606552,129.889600861,129.919603078,129.826596204,129.826596204,129.915602783,129.962606257,130.031611357,129.966606552,129.961606183,129.963606331,130.106616901,129.889600861,129.99660877,129.893601156,130.036611727,130.099616384,130.00160914,130.065613871,129.82559613,129.966606552,130.10361668,111.211,111.221,111.248,111.26,111.228,111.266,111.164,111.194,111.184,111.287,111.231,111.23,111.158,111.252,111.225,111.158,111.193,111.172,111.178,111.22,111.168,111.17,111.217,111.202,111.163,111.194,111.089,111.253,111.203,111.231,111.178,111.161
FLQS31CRGRWY,-50.7882061697,-50.7862052555,-50.8852505113,-50.8532358831,-50.8552367974,-50.9202665108,-50.7101705136,-50.7521897131,-50.682157714,-50.9192660537,-50.8852505113,-50.8542363403,-50.6081238864,-50.8862509684,-50.8182198836,-50.6411389717,-50.7842043412,-50.7221759992,-50.7431855989,-50.8552367974,-50.6851590854,-50.7541906273,-50.8222217121,-50.7892066268,-50.6441403431,-50.8182198836,-50.5711069727,-50.8822491399,-50.8182198836,-50.8302253691,-50.7491883417,-50.759192913,129.797805755,129.729818952,129.728819146,129.692826132,129.725819728,129.835798381,129.806804009,129.869791783,129.801804979,129.760812936,129.79680595,129.76481216,129.803804591,129.725819728,129.73281837,129.799805367,129.835798381,129.90478499,129.871791395,129.833798769,129.836798187,129.937778586,129.76481216,129.869791783,129.771810801,129.938778392,129.974771406,129.907784408,129.940778004,129.660832343,129.869791783,129.97877063,111.365,111.375,111.413,111.406,111.402,111.41,111.334,111.341,111.324,111.421,111.403,111.396,111.296,111.413,111.387,111.309,111.358,111.324,111.337,111.386,111.32,111.331,111.383,111.355,111.314,111.356,111.256,111.385,111.355,111.402,111.34,111.327
FLQS319LGRWY,-50.6550912443,-50.6550912443,-50.7281519532,-50.6891195196,-50.6931228462,-50.7541735755,-50.5069681631,-50.5800288721,-50.5109714897,-50.7521719123,-50.7221469634,-50.6891195196,-50.4649332347,-50.7241486267,-50.6570929075,-50.5009631734,-50.6170596423,-50.5490030916,-50.5870346935,-50.6941236778,-50.5089698264,-50.6190613056,-50.6510879177,-50.6170596423,-50.466934898,-50.6540904126,-50.3668517351,-50.7221469634,-50.6520887494,-50.6550912443,-50.5800288721,-50.5449997651,129.972704856,129.89969772,129.901697915,129.867694591,129.89969772,130.011708669,130.011708669,130.043711797,129.973704954,129.940701728,129.973704954,129.933701043,129.977705345,129.901697915,129.904698208,129.973704954,130.011708669,130.078715219,130.044711895,130.007708278,130.010708571,130.110718347,129.935701239,130.041711602,129.949702608,130.115718836,130.144721671,130.079715316,130.111718445,129.83269117,130.043711797,130.155722746,111.349,111.36,111.388,111.378,111.374,111.381,111.287,111.31,111.294,111.391,111.375,111.368,111.276,111.386,111.36,111.29,111.329,111.293,111.312,111.359,111.287,111.315,111.353,111.324,111.28,111.327,111.213,111.359,111.327,111.37,111.31,111.28
FLQS319HGRWY,-50.3448987995,-50.3438987617,-50.4119013265,-50.4169015151,-50.3789000818,-50.4449025712,-50.2318945374,-50.3088974416,-50.2008933682,-50.4789038536,-50.4119013265,-50.3789000818,-50.1658920481,-50.4139014019,-50.3418986863,-50.1948931419,-50.3068973662,-50.2418949146,-50.3098974794,-50.381900195,-50.2408948769,-50.3108975171,-50.3809001573,-50.3108975171,-50.1638919726,-50.3438987617,-50.0948893701,-50.4479026843,-50.3809001573,-50.3548991766,-50.3088974416,-50.3138976302,130.046912642,129.974916012,129.975915965,129.93991765,129.974916012,130.082910957,130.087910723,130.116909365,130.078911144,130.00891442,130.044912735,130.00891442,130.088910676,129.973916059,129.978915825,130.087910723,130.08091105,130.149907821,130.119909225,130.078911144,130.084910863,130.184906182,130.012914233,130.114909459,130.054912267,130.185906136,130.253902953,130.153907633,130.187906042,129.940917603,130.118909272,130.22490431,111.07,111.081,111.106,111.114,111.094,111.103,111.021,111.046,111.01,111.127,111.096,111.089,110.995,111.107,111.079,111.007,111.051,111.015,111.046,111.08,111.025,111.037,111.089,111.047,111.0,111.049,110.944,111.094,111.063,111.09,111.046,111.032
FLQS317CGRWY,-50.3690745133,-50.3690745133,-50.4330415888,-50.4030570222,-50.4030570222,-50.4650251266,-50.2561326457,-50.298111039,-50.2281470502,-50.473021011,-50.4330415888,-50.4050559933,-50.1861686569,-50.4350405599,-50.3780698833,-50.2211506513,-50.3290950912,-50.2701254435,-50.2931136112,-50.4000585655,-50.2311455068,-50.3370909756,-50.3710734845,-50.33609149,-50.1921655702,-50.3780698833,-50.1152051825,-50.4830158665,-50.3640770856,-50.3820678255,-50.2951125823,-50.3061069234,129.792536296,129.721550223,129.6895565,129.654563365,129.718550811,129.800534727,129.755543554,129.828529235,129.792536296,129.759542769,129.758542965,129.755543554,129.751544338,129.723549831,129.719550615,129.746545319,129.795535708,129.896515897,129.831528646,129.791536492,129.794535904,129.931509032,129.755543554,129.86352237,129.723549831,129.929509424,129.964502559,129.855523939,129.895516093,129.656562973,129.827529431,129.935508247,111.215,111.225,111.255,111.249,111.239,111.25,111.177,111.182,111.161,111.259,111.244,111.234,111.151,111.25,111.229,111.165,111.199,111.161,111.18,111.227,111.161,111.182,111.221,111.191,111.157,111.198,111.092,111.249,111.198,111.24,111.181,111.169
FLQS3160GRWY,-50.7223043056,-50.7973832064,-50.7973832064,-50.757341126,-50.7623463861,-50.8234105587,-50.6111875325,-50.657235925,-50.5871622843,-50.8684578991,-50.7973832064,-50.7623463861,-50.5521254639,-50.7903758423,-50.7273095657,-50.5761507122,-50.6862664333,-50.6221991046,-50.657235925,-50.75934323,-50.5871622843,-50.6922727453,-50.7273095657,-50.6922727453,-50.5431159958,-50.7273095657,-50.4820518232,-50.7973832064,-50.7203022016,-50.7273095657,-50.657235925,-50.6512296129,129.796392968,129.756392847,129.756392847,129.688392641,129.756392847,129.907393304,129.794392962,129.896393271,129.826393059,129.752392835,129.826393059,129.791392953,129.826393059,129.760392859,129.756392847,129.783392929,129.830393071,129.931393377,129.896393271,129.828393065,129.861393165,129.966393483,129.791392953,129.896393271,129.759392856,129.966393483,130.001393589,129.931393377,129.929393371,129.69139265,129.896393271,129.971393498,111.181,111.216,111.216,111.211,111.203,111.204,111.14,111.142,111.125,111.244,111.206,111.198,111.112,111.213,111.19,111.128,111.163,111.123,111.142,111.191,111.12,111.145,111.184,111.155,111.118,111.158,111.059,111.19,111.161,111.199,111.142,111.128
FLQS3126GRWV,-50.5893644329,-50.5883661228,-50.65824783,-50.6203120461,-50.6233069764,-50.6852022028,-50.4745587712,-50.5144911753,-50.453594259,-50.6921903735,-50.6512596593,-50.6253035966,-50.4026804438,-50.6552528997,-50.5873678127,-50.4396179176,-50.5494320289,-50.482545252,-50.5184844157,-50.6243052865,-50.453594259,-50.550430339,-50.5893644329,-50.5524269592,-50.4056753741,-50.5933576734,-50.3367919771,-50.6512596593,-50.5833745723,-50.5953542936,-50.5144911753,-50.5174861056,129.889866589,129.816859358,129.817859457,129.748852621,129.81385906,129.892866887,129.850862726,129.924870057,129.882865896,129.854863122,129.852862924,129.850862726,129.84686233,129.820859754,129.819859655,129.879865599,129.891866788,129.994876992,129.959873524,129.924870057,129.917869363,130.027880261,129.851862825,129.957873326,129.819859655,130.022879765,130.06088353,129.954873029,129.989876496,129.750852819,129.958873425,130.033880855,111.51,111.52,111.547,111.543,111.534,111.546,111.471,111.476,111.459,111.554,111.539,111.529,111.444,111.545,111.519,111.454,111.494,111.453,111.472,111.518,111.454,111.474,111.515,111.485,111.45,111.491,111.387,111.524,111.493,111.533,111.471,111.461
