,Distance_X_LOGO_Camera_LD1,Distance_X_LOGO_Camera_LD2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_LD1,Distance_Y_LOGO_Camera_LD2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_LD1,Angle_Camera_LD2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-55.3866965045,-55.4937365024,-55.3586860378,-55.4607241666,-55.5077417358,-55.4987383715,-55.3816946354,-55.4597237928,-55.3866965045,-55.4277118308,-55.3496826734,-55.4567226714,-55.3926987474,-55.4527211761,-55.3866965045,-55.3616871592,-55.3866965045,-55.3866965045,-55.3536841687,-55.3586860378,-55.3796938878,-55.3546845425,-55.3496826734,-55.3566852901,-55.506741362,-55.2746546375,-55.2526464136,-55.3496826734,-55.3136692162,-55.3916983736,-55.3486822996,-55.3916983736,141.437423765,141.472447394,141.365375155,141.439425115,141.441426465,141.436423089,141.436423089,141.374381232,141.476450095,141.44442849,141.473448069,141.508471699,141.507471023,141.44442849,141.476450095,141.508471699,141.476450095,141.476450095,141.475449419,141.410405536,141.503468323,141.505469673,141.473448069,141.582521658,141.488458196,141.473448069,141.404401485,141.473448069,141.447430516,141.501466973,141.473448069,141.501466973,111.365,111.398,111.365,111.391,111.407,111.404,111.363,111.399,111.359,111.378,111.347,111.379,111.357,111.387,111.359,111.346,111.359,111.359,111.348,111.359,111.353,111.344,111.347,111.334,111.4,111.32,111.322,111.347,111.338,111.358,111.346,111.358
FLQS310RGRWV,-55.9687482896,-56.0769876094,-55.93667738,-56.0419100521,-56.1120651668,-56.0840031209,-55.9717549374,-56.0148502221,-56.0118435743,-56.0128457903,-55.9747615851,-56.042912268,-55.9727571533,-56.0469211317,-56.0118435743,-55.9005976068,-56.0118435743,-56.0118435743,-55.93667738,-55.8995953908,-55.9777682329,-55.976766017,-55.9747615851,-55.9386818119,-56.0088369266,-55.8665222653,-55.8304424921,-55.9747615851,-55.8645178335,-55.9787704488,-55.93667738,-55.9787704488,141.104407983,141.13941652,140.999382373,141.071399934,141.036391397,141.101407251,141.100407007,141.067398958,141.143417495,141.105408227,141.140416763,141.172424568,141.140416763,141.135415544,141.143417495,141.140416763,141.143417495,141.143417495,141.140416763,141.071399934,141.197430666,141.1754253,141.140416763,141.274449447,141.13941652,141.179426276,141.036391397,141.140416763,141.106408471,141.164422617,141.1754253,141.164422617,111.524,111.557,111.527,111.554,111.583,111.565,111.526,111.545,111.534,111.539,111.521,111.54,111.52,111.547,111.534,111.495,111.534,111.534,111.508,111.504,111.514,111.517,111.521,111.49,111.533,111.478,111.485,111.521,111.487,111.519,111.503,111.519
FLQS3106GRWV,-55.6447468898,-55.7897748997,-55.6507480489,-55.7117598323,-55.7587689114,-55.7477667865,-55.6477474694,-55.6787534577,-55.6447468898,-55.6837544235,-55.6077397425,-55.7127600255,-55.686755003,-55.7177609913,-55.6447468898,-55.616741481,-55.6447468898,-55.6447468898,-55.651748242,-55.6207422537,-55.6387457308,-55.610740322,-55.6077397425,-55.651748242,-55.6787534577,-55.5787341405,-55.5087206185,-55.6077397425,-55.5417269932,-55.6387457308,-55.6077397425,-55.6387457308,141.301447375,141.341473563,141.201381907,141.274429699,141.265423807,141.27042708,141.33446898,141.235404166,141.342474217,141.310453267,141.341473563,141.373494513,141.346476836,141.340472908,141.342474217,141.344475527,141.342474217,141.342474217,141.345476181,141.301447375,141.377497131,141.373494513,141.341473563,141.411519391,141.343474872,141.350479455,141.228399583,141.341473563,141.343474872,141.340472908,141.340472908,141.340472908,111.293,111.338,111.309,111.32,111.338,111.334,111.289,111.314,111.287,111.305,111.275,111.307,111.301,111.313,111.287,111.277,111.287,111.287,111.289,111.285,111.28,111.271,111.275,111.28,111.299,111.263,111.255,111.275,111.251,111.285,111.275,111.285
FLQS30ZQGRWV,-55.8720739743,-55.97605178,-55.8390810168,-55.9410592493,-55.9770515666,-55.97605178,-55.8710741877,-55.9080662917,-55.8740735475,-55.8750733341,-55.8370814436,-55.9410592493,-55.8720739743,-55.9390596761,-55.8740735475,-55.8030886994,-55.8740735475,-55.8740735475,-55.8380812302,-55.804088486,-55.8370814436,-55.8380812302,-55.8370814436,-55.8370814436,-55.9080662917,-55.772095315,-55.7371027842,-55.8370814436,-55.7660965954,-55.8740735475,-55.8340820838,-55.8740735475,141.166944849,141.20493999,141.059958533,141.135948814,141.097953673,141.132949197,141.164945105,141.098953545,141.202940245,141.165944977,141.200940501,141.236935897,141.172944082,141.168944593,141.202940245,141.173943954,141.202940245,141.202940245,141.173943954,141.130949453,141.229936793,141.234936153,141.200940501,141.298927969,141.202940245,141.213938839,141.097953673,141.200940501,141.17194421,141.198940757,141.207939606,141.198940757,111.528,111.559,111.531,111.556,111.574,111.569,111.528,111.55,111.523,111.529,111.511,111.542,111.527,111.551,111.523,111.503,111.523,111.523,111.515,111.509,111.507,111.507,111.511,111.497,111.535,111.486,111.49,111.511,111.49,111.524,111.509,111.524
FLQS30YUGRWV,-55.661585865,-55.7675622292,-55.6325923314,-55.7305704794,-55.7695617832,-55.7685620062,-55.663585419,-55.7005771688,-55.664585196,-55.6675845271,-55.6285932233,-55.7285709254,-55.665584973,-55.7305704794,-55.664585196,-55.5956005816,-55.664585196,-55.664585196,-55.6305927773,-55.5966003586,-55.6665847501,-55.6295930003,-55.6285932233,-55.6295930003,-55.6985776147,-55.5646074939,-55.5316148522,-55.6285932233,-55.5616081629,-55.6675845271,-55.6255938922,-55.6675845271,141.139047577,141.209003983,141.063094908,141.139047577,141.101071242,141.134050691,141.172027025,141.104069374,141.209003983,141.169028894,141.205006474,141.21000336,141.206005851,141.173026403,141.209003983,141.239984677,141.209003983,141.209003983,141.241983431,141.134050691,141.2389853,141.240984054,141.205006474,141.193013947,141.208004606,141.243982186,141.101071242,141.205006474,141.176024534,141.201008965,141.213001492,141.201008965,111.409,111.437,111.41,111.434,111.453,111.448,111.405,111.428,111.401,111.407,111.389,111.423,111.401,111.429,111.401,111.372,111.401,111.401,111.384,111.387,111.397,111.384,111.389,111.391,111.413,111.361,111.369,111.389,111.369,111.403,111.387,111.403
FLQS30X6GRWY,-55.5877841803,-55.7376514921,-55.5957771036,-55.7066789143,-55.7066789143,-55.7066789143,-55.591780642,-55.6287479122,-55.5937788728,-55.5947779882,-55.5977753344,-55.6617187208,-55.6327443739,-55.6637169516,-55.5937788728,-55.562806295,-55.5937788728,-55.5937788728,-55.5977753344,-55.5618071796,-55.5877841803,-55.5588098334,-55.5977753344,-55.5977753344,-55.6287479122,-55.5328328327,-55.4539027151,-55.5977753344,-55.4868735237,-55.5877841803,-55.5558124871,-55.5877841803,141.276002372,141.317006437,141.180992956,141.275002273,141.239998804,141.275002273,141.274002174,141.201995037,141.310005743,141.273002075,141.31300604,141.343009014,141.315006238,141.278002571,141.310005743,141.316006337,141.310005743,141.310005743,141.314006139,141.249999795,141.341008815,141.342008915,141.31300604,141.415016151,141.312005941,141.351009807,141.208995731,141.31300604,141.281002868,141.306005346,141.310005743,141.306005346,111.596,111.643,111.612,111.638,111.643,111.638,111.598,111.621,111.593,111.599,111.594,111.613,111.606,111.622,111.593,111.582,111.593,111.593,111.594,111.59,111.587,111.577,111.594,111.58,111.605,111.566,111.558,111.594,111.56,111.592,111.58,111.592
FLQS30X6GRWV,-55.9132299502,-56.0162580135,-55.8762198692,-55.9812484774,-56.0252604657,-56.0242601932,-55.9132299502,-55.956241666,-55.9152304951,-55.9222324023,-55.8782204141,-55.9832490224,-55.9152304951,-55.9862498397,-55.9152304951,-55.8412103331,-55.9152304951,-55.9152304951,-55.8772201416,-55.843210878,-55.9122296777,-55.8792206866,-55.8782204141,-55.8782204141,-55.9532408486,-55.8092016144,-55.7761926232,-55.8782204141,-55.806200797,-55.9202318574,-55.8762198692,-55.9202318574,141.337771546,141.338772387,141.200656323,141.270715196,141.268713514,141.301741269,141.305744633,141.269714355,141.337771546,141.3317665,141.338772387,141.372800983,141.376804347,141.337771546,141.337771546,141.34177491,141.337771546,141.337771546,141.339773228,141.303742951,141.372800983,141.371800142,141.338772387,141.441859015,141.370799301,141.375803506,141.277721083,141.338772387,141.345778274,141.363793413,141.34177491,141.363793413,111.741,111.777,111.747,111.774,111.79,111.785,111.745,111.766,111.742,111.745,111.729,111.761,111.736,111.767,111.742,111.715,111.742,111.742,111.728,111.721,111.736,111.724,111.729,111.714,111.751,111.699,111.701,111.729,111.703,111.74,111.728,111.74
FLQS30WFGRWV,-55.484035528,-55.5890734577,-55.4480225236,-55.5110452814,-55.5940752639,-55.5910741802,-55.4790337219,-55.5160470876,-55.4810344443,-55.4820348056,-55.4470221623,-55.5510597308,-55.484035528,-55.5470582858,-55.4810344443,-55.4130098804,-55.4810344443,-55.4810344443,-55.4490228848,-55.4120095191,-55.4780333606,-55.4480225236,-55.4470221623,-55.4490228848,-55.5160470876,-55.3789975984,-55.3449853164,-55.4470221623,-55.3709947085,-55.488036973,-55.4450214399,-55.488036973,141.328188062,141.364184799,141.222197671,141.293191235,141.292191326,141.325188334,141.334187519,141.262194045,141.367184527,141.331187791,141.366184618,141.399181627,141.36318489,141.331187791,141.367184527,141.364184799,141.367184527,141.367184527,141.364184799,141.293191235,141.402181355,141.403181264,141.366184618,141.439178001,141.366184618,141.431178726,141.256194589,141.366184618,141.335187428,141.391182352,141.365184709,141.391182352,111.289,111.321,111.291,111.303,111.333,111.327,111.286,111.309,111.283,111.288,111.271,111.303,111.284,111.311,111.283,111.259,111.283,111.283,111.272,111.269,111.277,111.266,111.271,111.262,111.295,111.238,111.25,111.271,111.248,111.282,111.27,111.282
FLQS30VBGRWV,-55.9614848867,-56.0645852666,-55.9214459042,-56.0265482333,-56.0665872158,-56.061582343,-55.9534770902,-56.0725930632,-55.958481963,-55.9624858612,-55.9204449296,-56.0245462841,-55.958481963,-56.0215433604,-55.958481963,-55.8854108199,-55.958481963,-55.958481963,-55.9234478533,-55.8894147181,-55.9564800139,-55.9204449296,-55.9204449296,-55.9214459042,-55.9935160727,-55.8523786593,-55.8193464987,-55.9204449296,-55.8443708628,-55.958481963,-55.919443955,-55.958481963,141.237824029,141.278828332,141.101809753,141.211821299,141.172817206,141.204820565,141.235823819,141.148814686,141.276828122,141.237824029,141.273827808,141.313832006,141.279828437,141.243824658,141.276828122,141.244824763,141.276828122,141.276828122,141.274827913,141.202820355,141.301830747,141.308831481,141.273827808,141.376838619,141.274827913,141.281828647,141.135813322,141.273827808,141.249825288,141.266827073,141.280828542,141.266827073,111.678,111.709,111.683,111.705,111.724,111.718,111.676,111.73,111.672,111.679,111.659,111.69,111.672,111.699,111.672,111.651,111.672,111.672,111.66,111.658,111.668,111.654,111.659,111.645,111.685,111.634,111.643,111.659,111.636,111.674,111.658,111.674
FLQS30UFGRWV,-55.6757663993,-55.784617356,-55.6418128899,-55.7057253782,-55.7866146213,-55.7486665813,-55.6727705014,-55.6787622972,-55.6797609298,-55.6827568277,-55.638816992,-55.7057253782,-55.6817581951,-55.7087212761,-55.6797609298,-55.6068607478,-55.6797609298,-55.6797609298,-55.6428115225,-55.6108552784,-55.6298292983,-55.6018675847,-55.638816992,-55.6428115225,-55.6757663993,-55.5339605658,-55.4980097911,-55.638816992,-55.5599250142,-55.6408142573,-55.6378183594,-55.6408142573,141.268947935,141.336974394,141.166908246,141.233934316,141.22893237,141.261945211,141.267947546,141.224930814,141.333973227,141.294958052,141.305962332,141.334973616,141.338975173,141.299959997,141.333973227,141.306962721,141.333973227,141.333973227,141.308963499,141.265946768,141.332972838,141.36498529,141.305962332,141.407001632,141.332972838,141.370987624,141.19591953,141.305962332,141.276951048,141.322968947,141.305962332,141.322968947,111.387,111.416,111.389,111.403,111.432,111.414,111.386,111.394,111.38,111.386,111.369,111.389,111.379,111.394,111.38,111.358,111.38,111.38,111.37,111.365,111.362,111.348,111.369,111.357,111.378,111.323,111.335,111.369,111.345,111.368,111.369,111.368
FLQS30TYGRWV,-55.8170589235,-55.8830743684,-55.783050967,-55.8480661779,-55.9290851331,-55.8820741344,-55.8090570514,-55.8190593915,-55.8170589235,-55.780050265,-55.780050265,-55.8870753045,-55.8190593915,-55.8810739004,-55.8170589235,-55.7470425425,-55.8170589235,-55.8170589235,-55.785051435,-55.7460423085,-55.8120577534,-55.7440418405,-55.780050265,-55.783050967,-55.8120577534,-55.713034586,-55.6820273316,-55.780050265,-55.7050327139,-55.783050967,-55.7400409044,-55.783050967,141.208205841,141.235206645,141.103202713,141.171204739,141.16620459,141.167204619,141.207205811,141.16420453,141.242206853,141.202205662,141.240206794,141.275207836,141.243206883,141.208205841,141.242206853,141.245206943,141.242206853,141.242206853,141.246206972,141.175204858,141.274207806,141.271207717,141.240206794,141.342209832,141.205205751,141.285208134,141.177204917,141.240206794,141.21320599,141.25820733,141.239206764,141.25820733,111.57,111.59,111.573,111.586,111.615,111.599,111.568,111.577,111.566,111.558,111.553,111.586,111.566,111.593,111.566,111.541,111.566,111.566,111.554,111.55,111.559,111.536,111.553,111.54,111.569,111.523,111.527,111.553,111.53,111.552,111.539,111.552
FLQS30T7GRWV,-55.8443061243,-55.9491789985,-55.8512976492,-55.9142213738,-55.9441850521,-55.9891305696,-55.8872540632,-55.8802625383,-55.8463037028,-55.9361947379,-55.8493000707,-55.9162189523,-55.8872540632,-55.9601656806,-55.8463037028,-55.7743908748,-55.8463037028,-55.8463037028,-55.8522964385,-55.8163400245,-55.8922480096,-55.8123448674,-55.8493000707,-55.8512976492,-55.8812613276,-55.7404320393,-55.7514187214,-55.8493000707,-55.7843787676,-55.8522964385,-55.8063521317,-55.8522964385,141.194357245,141.192356886,141.058332817,141.130345749,141.085337666,141.122344312,141.162351497,141.083337307,141.194357245,141.168352575,141.198357964,141.266370178,141.203358862,141.167352395,141.194357245,141.229363532,141.194357245,141.194357245,141.206359401,141.133346288,141.230363712,141.224362634,141.198357964,141.299376106,141.196357605,141.237364969,141.104341079,141.198357964,141.164351857,141.216361197,141.23436443,141.216361197,111.496,111.533,111.517,111.529,111.546,111.557,111.515,111.524,111.496,111.532,111.497,111.511,111.51,111.54,111.496,111.466,111.496,111.496,111.497,111.494,111.508,111.48,111.497,111.483,111.508,111.453,111.476,111.497,111.479,111.495,111.477,111.495
FLQS30S7GRWV,-55.9272521058,-56.0292963559,-55.8892356205,-55.9932807383,-56.0352989589,-56.0362993927,-55.926251672,-55.9682698926,-55.9672694588,-55.9272521058,-55.926251672,-55.9972824736,-55.9252512382,-55.9982829074,-55.9672694588,-55.8552208704,-55.9672694588,-55.9672694588,-55.8912364881,-55.8592226057,-55.9312538411,-55.9292529735,-55.926251672,-55.8922369219,-55.9592659882,-55.8222065542,-55.7881918042,-55.926251672,-55.8202056866,-55.9332547088,-55.926251672,-55.9332547088,141.173434873,141.17643501,141.03842872,141.110432002,141.10843191,141.139433323,141.143433506,141.105431774,141.183435329,141.141433415,141.180435192,141.24443811,141.17643501,141.146433643,141.183435329,141.179435147,141.183435329,141.183435329,141.180435192,141.141433415,141.232437563,141.24443811,141.180435192,141.311441164,141.180435192,141.214436742,141.070430178,141.180435192,141.181435238,141.198436013,141.187435511,141.198436013,111.585,111.62,111.59,111.617,111.632,111.628,111.589,111.609,111.598,111.59,111.584,111.6,111.584,111.614,111.598,111.559,111.598,111.598,111.571,111.566,111.578,111.576,111.584,111.554,111.595,111.543,111.551,111.584,111.547,111.584,111.583,111.584
FLQS30RRGRWV,-55.7778252146,-55.8837489215,-55.7448489662,-55.8417791509,-55.8727568387,-55.8827496413,-55.7758266541,-55.8137993038,-55.7818223356,-55.7818223356,-55.7448489662,-55.8477748324,-55.7798237751,-55.8487741126,-55.7818223356,-55.7078755968,-55.7818223356,-55.7818223356,-55.743849686,-55.7108734376,-55.7788244949,-55.7458482465,-55.7448489662,-55.7418511255,-55.814798584,-55.6758986287,-55.6409238198,-55.7448489662,-55.6349281383,-55.7788244949,-55.7418511255,-55.7788244949,141.23687706,141.27388751,141.129846841,141.17485955,141.128846559,141.197866046,141.237877343,141.164856726,141.307897112,141.235876778,141.268886098,141.304896265,141.27388751,141.270886663,141.307897112,141.272887227,141.307897112,141.307897112,141.274887792,141.235876778,141.303895982,141.3028957,141.268886098,141.366913775,141.271886945,141.313898807,141.168857856,141.268886098,141.237877343,141.264884968,141.276888357,141.264884968,111.49,111.522,111.493,111.521,111.538,111.532,111.489,111.513,111.481,111.492,111.474,111.505,111.485,111.51,111.481,111.46,111.481,111.481,111.473,111.466,111.481,111.47,111.474,111.459,111.498,111.444,111.451,111.474,111.44,111.486,111.472,111.486
FLQS30R2GRWV,-55.3185058388,-55.4255706868,-55.2844852329,-55.3905494749,-55.4615925049,-55.4235694747,-55.3185058388,-55.3565288689,-55.3545276568,-55.3545276568,-55.2834846268,-55.4255706868,-55.3205070509,-55.3885482627,-55.3545276568,-55.2484634148,-55.3545276568,-55.3545276568,-55.3635331113,-55.2494640209,-55.3165046267,-55.286486445,-55.2834846268,-55.287487051,-55.3555282629,-55.2144428089,-55.1724173545,-55.2834846268,-55.2104403847,-55.3155040206,-55.3235088691,-55.3155040206,141.387640485,141.420639701,141.284642932,141.352641316,141.322642029,141.355641245,141.387640485,141.316642172,141.397640247,141.357641198,141.423639629,141.430639463,141.423639629,141.390640413,141.397640247,141.424639606,141.397640247,141.397640247,141.401640152,141.355641245,141.456638845,141.455638869,141.423639629,141.533637016,141.423639629,141.457638821,141.288642837,141.423639629,141.393640342,141.421639677,141.423639629,141.421639677,111.464,111.497,111.466,111.494,111.523,111.505,111.464,111.487,111.475,111.481,111.447,111.496,111.46,111.488,111.475,111.435,111.475,111.475,111.478,111.444,111.454,111.443,111.447,111.433,111.472,111.418,111.426,111.447,111.425,111.458,111.461,111.458
FLQS30QXGRWV,-55.8682246674,-55.9671914082,-55.8352357538,-55.9831860329,-55.9711900643,-55.9861850251,-55.8782213079,-55.9072115653,-55.9142092136,-55.9142092136,-55.8772216438,-55.9781877127,-55.8712236595,-55.9491974553,-55.9142092136,-55.8462320583,-55.9142092136,-55.9142092136,-55.8362354178,-55.8432330662,-55.8722233236,-55.8762219798,-55.8772216438,-55.83923441,-55.9471981272,-55.7702575906,-55.7352693489,-55.8772216438,-55.7742562468,-55.9132095495,-55.8752223157,-55.9132095495,141.243347088,141.24034504,141.137274732,141.24034504,141.169296576,141.23634231,141.24034504,141.168295893,141.28237371,141.245348453,141.278370979,141.281373027,141.278370979,141.274368249,141.28237371,141.287377123,141.28237371,141.28237371,141.280372344,141.244347771,141.30939214,141.310392822,141.278370979,141.411461765,141.281373027,141.352421492,141.172298623,141.278370979,141.278370979,141.280372344,141.283374392,141.280372344,111.448,111.483,111.451,111.488,111.494,111.49,111.452,111.472,111.458,111.464,111.446,111.481,111.444,111.472,111.458,111.434,111.458,111.458,111.431,111.439,111.44,111.441,111.446,111.414,111.47,111.398,111.411,111.446,111.41,111.458,111.445,111.458
FLQS30QPGRWV,-55.741460596,-55.8475185526,-55.7084425529,-55.812499416,-55.8325103512,-55.8475185526,-55.7384589557,-55.7804819196,-55.7424611427,-55.7444622363,-55.7044403658,-55.812499416,-55.7384589557,-55.8094977757,-55.7424611427,-55.6684206824,-55.7424611427,-55.7424611427,-55.7054409126,-55.6714223227,-55.7384589557,-55.7054409126,-55.7044403658,-55.7054409126,-55.7714769988,-55.632400999,-55.5963813156,-55.7044403658,-55.6293993587,-55.7404600492,-55.7024392723,-55.7404600492,141.254699324,141.292703279,141.153688813,141.220695786,141.154688917,141.22169589,141.219695682,141.184692039,141.291703175,141.254699324,141.291703175,141.325706714,141.261700053,141.227696514,141.291703175,141.292703279,141.291703175,141.291703175,141.289702967,141.263700261,141.318705985,141.325706714,141.291703175,141.394713895,141.262700157,141.2977038,141.161689646,141.291703175,141.264700365,141.286702655,141.294703487,141.286702655,111.514,111.546,111.516,111.544,111.56,111.556,111.518,111.537,111.509,111.515,111.496,111.529,111.512,111.542,111.509,111.483,111.509,111.509,111.497,111.488,111.504,111.491,111.496,111.482,111.524,111.47,111.476,111.496,111.473,111.509,111.495,111.509
FLQS30QMGRWV,-55.7143112504,-55.8193627469,-55.6772931041,-55.7833450909,-55.8253656895,-55.8213637277,-55.7063073269,-55.7453264541,-55.7153117409,-55.7123102696,-55.6762926136,-55.7813441101,-55.71331076,-55.7693382248,-55.7153117409,-55.6432764291,-55.7153117409,-55.7153117409,-55.6782935945,-55.6452774099,-55.7163122313,-55.6782935945,-55.6762926136,-55.6772931041,-55.747327435,-55.609259754,-55.5772440599,-55.6762926136,-55.60025534,-55.7073078173,-55.6742916328,-55.7073078173,141.243732149,141.279742534,141.13870186,141.246733014,141.206721476,141.241731572,141.24973388,141.179713687,141.313752341,141.24973388,141.284743976,141.316753207,141.28174311,141.250734168,141.313752341,141.310751476,141.313752341,141.313752341,141.280742822,141.239730995,141.342760707,141.318753784,141.284743976,141.386773399,141.283743687,141.348762438,141.211722918,141.284743976,141.284743976,141.282743399,141.284743976,141.282743399,111.388,111.42,111.389,111.412,111.432,111.426,111.384,111.408,111.379,111.386,111.369,111.401,111.382,111.406,111.379,111.354,111.379,111.379,111.37,111.364,111.375,111.365,111.369,111.355,111.394,111.337,111.344,111.369,111.342,111.38,111.368,111.38
FLQS30Q9GRWY,-55.8066225265,-55.9136026331,-55.7736286619,-55.8766095121,-55.9106031909,-55.9086035627,-55.8066225265,-55.8426158334,-55.8086221547,-55.8156208532,-55.7706292196,-55.8776093262,-55.812621411,-55.8756096981,-55.8086221547,-55.7416346113,-55.8086221547,-55.8086221547,-55.7766281041,-55.737635355,-55.8066225265,-55.7726288478,-55.7706292196,-55.77562829,-55.8436156475,-55.7076409325,-55.6726474397,-55.7706292196,-55.7026418621,-55.8036230843,-55.7716290337,-55.8036230843,141.168031506,141.201021465,141.063063456,141.128043678,141.095053719,141.130043069,141.164032724,141.093054328,141.201021465,141.192024204,141.198022378,141.200021769,141.233011728,141.133042156,141.201021465,141.230012641,141.201021465,141.201021465,141.231012336,141.103051285,141.234011424,141.233011728,141.198022378,141.305989515,141.201021465,141.238010206,141.101051894,141.198022378,141.197022682,141.199022074,141.199022074,141.199022074,111.433,111.465,111.435,111.463,111.479,111.473,111.433,111.455,111.429,111.432,111.416,111.453,111.426,111.461,111.429,111.401,111.429,111.429,111.413,111.417,111.423,111.412,111.416,111.402,111.441,111.388,111.395,111.416,111.392,111.427,111.416,111.427
FLQS30Q9GRWV,-55.8343590097,-55.9344780009,-55.7993173628,-55.899436354,-55.9464922799,-55.933476811,-55.8243471106,-55.865395897,-55.8683994667,-55.83135544,-55.7923090334,-55.9004375439,-55.8323566299,-55.8954315944,-55.8683994667,-55.7602709562,-55.8683994667,-55.8683994667,-55.797314983,-55.7652769058,-55.8073268821,-55.8303542501,-55.7923090334,-55.797314983,-55.8663970869,-55.7252293093,-55.6931912321,-55.7923090334,-55.7122138405,-55.8273506803,-55.7933102233,-55.8273506803,141.130886077,141.134886584,141.023872515,141.103882655,141.100882274,141.098882021,141.140887344,141.064877711,141.177892034,141.137886964,141.1728914,141.16989102,141.168890893,141.138887091,141.177892034,141.167890767,141.177892034,141.177892034,141.167890767,141.128885823,141.16989102,141.176891907,141.1728914,141.245900653,141.170891147,141.205895583,141.060877204,141.1728914,141.179892288,141.16989102,141.16989102,141.16989102,111.535,111.57,111.538,111.562,111.579,111.574,111.53,111.555,111.54,111.533,111.515,111.553,111.529,111.556,111.54,111.504,111.54,111.54,111.517,111.511,111.52,111.527,111.515,111.506,111.541,111.487,111.495,111.515,111.485,111.527,111.515,111.527
FLQS30Q3GRWV,-56.0655670225,-56.1736278648,-56.0335489952,-56.1386081474,-56.1756289915,-56.1726273015,-56.0675681492,-56.1065901201,-56.1075906834,-56.1095918101,-56.0675681492,-56.1406092741,-56.0655670225,-56.1376075841,-56.1075906834,-55.9945270243,-56.1075906834,-56.1075906834,-56.0285461784,-55.9955275877,-56.0665675859,-56.0355501219,-56.0675681492,-56.072570966,-56.10358843,-55.9635095603,-55.9294904063,-56.0675681492,-55.962508997,-56.0645664592,-56.0325484318,-56.0645664592,141.160891603,141.193883865,141.056915989,141.124900044,141.08790872,141.123900279,141.120900982,141.083909658,141.168889727,141.160891603,141.163890899,141.226876126,141.166890196,141.160891603,141.168889727,141.164890665,141.168889727,141.168889727,141.161891368,141.127899341,141.187885271,141.225876361,141.163890899,141.268866278,141.163890899,141.232874719,141.091907782,141.163890899,141.161891368,141.187885271,141.191884334,141.187885271,111.606,111.639,111.609,111.637,111.655,111.649,111.612,111.631,111.62,111.621,111.606,111.623,111.605,111.631,111.62,111.58,111.62,111.62,111.593,111.586,111.603,111.586,111.606,111.593,111.619,111.56,111.568,111.606,111.57,111.602,111.59,111.602
FLQS30Q2GRWV,-55.7872158787,-55.8952840971,-55.7501925076,-55.8592613577,-55.8942834655,-55.8962847288,-55.7902177737,-55.8282417764,-55.7912184053,-55.792219037,-55.7541950342,-55.8602619893,-55.7852146154,-55.861262621,-55.7912184053,-55.7191729263,-55.7912184053,-55.7912184053,-55.7551956658,-55.7151703997,-55.789217142,-55.7551956658,-55.7541950342,-55.7541950342,-55.8262405131,-55.6861520818,-55.651129974,-55.7541950342,-55.6841508185,-55.7882165103,-55.7531944025,-55.7882165103,141.250893306,141.284905561,141.113843927,141.21387997,141.177866994,141.214880331,141.248892585,141.174865913,141.285905921,141.249892946,141.2839052,141.316917095,141.253894387,141.249892946,141.285905921,141.287906642,141.285905921,141.285905921,141.286906282,141.187870599,141.317917455,141.317917455,141.2839052,141.385941965,141.285905921,141.323919618,141.182868797,141.2839052,141.253894387,141.28190448,141.2839052,141.28190448,111.444,111.477,111.45,111.474,111.491,111.487,111.445,111.469,111.44,111.445,111.427,111.46,111.443,111.47,111.44,111.415,111.44,111.44,111.428,111.427,111.435,111.423,111.427,111.414,111.452,111.398,111.405,111.427,111.407,111.44,111.427,111.44
