,Distance_X_LOGO_Earphone_RU1,Distance_X_LOGO_Earphone_RU2,Distance_X_LOGO_Earphone_RU3,Distance_X_LOGO_Earphone_RU4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_RU1,Distance_Y_LOGO_Earphone_RU2,Distance_Y_LOGO_Earphone_RU3,Distance_Y_LOGO_Earphone_RU4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_RU1,Angle_Earphone_RU2,Angle_Earphone_RU3,Angle_Earphone_RU4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-36.2461519605,-36.1541870961,-36.1172012268,-36.1172012268,-36.1172012268,-36.1172012268,-36.0722184127,-36.1561863323,-36.0362321615,-36.1172012268,-36.1122031363,-36.1172012268,-36.0352325434,-36.1911729655,-36.0712187946,-36.0362321615,-36.075217267,-36.0832142117,-36.0712187946,-36.0712187946,-36.1182008449,-36.0362321615,-36.1102039002,-36.119200463,-36.1182008449,-36.1182008449,-36.1571859504,-36.0732180308,-36.1182008449,-36.1172012268,-36.0262359806,-36.1541870961,140.059357552,140.103362063,140.139365754,140.139365754,140.139365754,140.174369342,140.106362371,140.138365651,140.104362166,140.139365754,140.072358885,140.139365754,140.140365856,140.17336924,140.141365959,140.137365549,140.034354989,140.138365651,140.175369445,140.175369445,140.105362268,140.137365549,140.140365856,140.069358577,140.105362268,140.068358475,140.102361961,140.141365959,140.105362268,140.104362166,140.108362576,140.140365856,104.651,104.612,104.594,104.594,104.594,104.59,104.58,104.609,104.566,104.594,104.598,104.594,104.562,104.619,104.576,104.563,104.588,104.581,104.573,104.573,104.598,104.563,104.591,104.601,104.598,104.601,104.613,104.577,104.598,104.598,104.562,104.608
FLQS312SGRWV,-36.0630874747,-35.9650518971,-35.9290388278,-35.9290388278,-35.9290388278,-35.9310395539,-35.8870235802,-35.9720544384,-35.8139970786,-35.9290388278,-35.9230366496,-35.9290388278,-35.8129967155,-36.0090678707,-35.8880239433,-35.8139970786,-35.8880239433,-35.8970272106,-35.8890243063,-35.8890243063,-35.9280384648,-35.8139970786,-35.9250373756,-35.9280384648,-35.9280384648,-35.9280384648,-35.9730548014,-35.8900246694,-35.9280384648,-35.9290388278,-35.8400065175,-35.9640515341,140.030306579,140.038306597,140.074306676,140.074306676,140.074306676,140.111306757,140.04430661,140.075306678,140.041306603,140.074306676,140.039306599,140.074306676,140.077306682,140.116306768,140.113306761,140.075306678,139.975306459,140.113306761,140.146306833,140.146306833,140.041306603,140.075306678,140.077306682,140.005306524,140.041306603,140.006306527,140.039306599,140.075306678,140.041306603,140.037306595,140.049306621,140.082306693,104.545,104.507,104.49,104.49,104.49,104.487,104.476,104.506,104.448,104.49,104.491,104.49,104.445,104.516,104.47,104.445,104.483,104.473,104.467,104.467,104.492,104.445,104.487,104.496,104.492,104.496,104.51,104.474,104.492,104.493,104.458,104.502
FLQS31J6GRWY,-36.2566589847,-36.1565384231,-36.15954204,-36.15954204,-36.15954204,-36.1224974322,-36.0764419738,-36.1635468624,-36.0424009828,-36.15954204,-36.1505311894,-36.15954204,-36.0413997772,-36.2005914702,-36.0774431794,-36.0413997772,-36.0794455907,-36.08645403,-36.1194938153,-36.1194938153,-36.1224974322,-36.0413997772,-36.112485376,-36.1224974322,-36.1224974322,-36.1214962265,-36.1635468624,-36.1174914041,-36.1224974322,-36.1605432456,-36.0313877211,-36.1965866478,140.001016623,140.041018057,140.075019275,140.075019275,140.075019275,140.112020601,140.041018057,140.074019239,140.042018092,140.075019275,140.011016982,140.075019275,140.079019418,140.110020529,140.077019347,140.076019311,139.972015584,140.078019382,140.147021855,140.147021855,140.042018092,140.076019311,140.078019382,140.005016767,140.042018092,140.006016802,140.038017949,140.077019347,140.042018092,140.040018021,140.0450182,140.080019454,104.586,104.544,104.542,104.542,104.542,104.524,104.513,104.543,104.5,104.542,104.545,104.542,104.496,104.554,104.51,104.496,104.521,104.513,104.519,104.519,104.531,104.496,104.523,104.534,104.531,104.534,104.547,104.525,104.531,104.545,104.496,104.555
FLQS31FWGRWY,-36.26644305,-36.1794395881,-36.1444381954,-36.1444381954,-36.1444381954,-36.1814396677,-36.1034365639,-36.1814396677,-36.069435211,-36.1444381954,-36.1394379964,-36.1444381954,-36.0684351712,-36.2174411002,-36.1054366435,-36.0684351712,-36.1044366037,-36.1094368027,-36.1044366037,-36.1044366037,-36.1444381954,-36.0684351712,-36.1404380362,-36.1444381954,-36.1444381954,-36.141438076,-36.1814396677,-36.1044366037,-36.1444381954,-36.1804396279,-36.0604348529,-36.1794395881,140.03342041,140.108427599,140.111427886,140.111427886,140.111427886,140.152431816,140.107427503,140.141430762,140.108427599,140.111427886,140.041421177,140.111427886,140.146431241,140.176434116,140.145431145,140.142430858,140.03842089,140.144431049,140.176434116,140.176434116,140.108427599,140.142430858,140.144431049,140.072424148,140.108427599,140.041421177,140.107427503,140.143430953,140.108427599,140.078424723,140.111427886,140.148431433,104.5,104.459,104.445,104.445,104.445,104.455,104.43,104.456,104.417,104.445,104.45,104.445,104.412,104.467,104.427,104.413,104.437,104.429,104.423,104.423,104.445,104.413,104.44,104.449,104.445,104.451,104.46,104.427,104.445,104.462,104.413,104.455
FLQS31CRGRWY,-36.5751269665,-36.4690744059,-36.4350575468,-36.4350575468,-36.4350575468,-36.4360580427,-36.3890347375,-36.4790793644,-36.3550178784,-36.4350575468,-36.4250525883,-36.4350575468,-36.3540173826,-36.516097711,-36.3890347375,-36.3540173826,-36.3890347375,-36.4030416794,-36.3890347375,-36.3890347375,-36.4360580427,-36.3540173826,-36.42705358,-36.4350575468,-36.4360580427,-36.4340570509,-36.4780788686,-36.3900352333,-36.4360580427,-36.4360580427,-36.344012424,-36.4700749017,139.848229459,139.892229531,139.926229587,139.926229587,139.926229587,139.961229644,139.890229527,139.923229582,139.890229527,139.926229587,139.856229472,139.926229587,139.927229588,139.961229644,139.926229587,139.923229582,139.821229414,139.927229588,139.960229642,139.960229642,139.891229529,139.923229582,139.892229531,139.854229468,139.891229529,139.854229468,139.888229524,139.925229585,139.891229529,139.891229529,139.894229534,139.931229595,104.658,104.613,104.596,104.596,104.596,104.593,104.582,104.614,104.569,104.596,104.6,104.596,104.565,104.624,104.579,104.565,104.589,104.584,104.575,104.575,104.6,104.565,104.597,104.604,104.6,104.603,104.617,104.579,104.6,104.6,104.565,104.609
FLQS319LGRWY,-36.3204963719,-36.2174069749,-36.1823765973,-36.1823765973,-36.1823765973,-36.1833774652,-36.14234188,-36.2254139184,-36.1053097666,-36.1823765973,-36.1773722576,-36.1823765973,-36.1033080307,-36.259443428,-36.1443436159,-36.1063106345,-36.1413410121,-36.1483470876,-36.143342748,-36.143342748,-36.1823765973,-36.1063106345,-36.1763713897,-36.1823765973,-36.1823765973,-36.1813757294,-36.2244130504,-36.1453444838,-36.1823765973,-36.1823765973,-36.1333340687,-36.2174069749,140.048477995,140.054478658,140.088482417,140.088482417,140.088482417,140.124486396,140.093482969,140.088482417,140.058479101,140.088482417,140.022475121,140.088482417,140.09548319,140.124486396,140.129486948,140.092482859,139.989471474,140.091482748,140.127486727,140.127486727,140.054478658,140.092482859,140.092482859,140.018474679,140.054478658,140.021475011,140.052478437,140.09548319,140.054478658,140.053478548,140.062479543,140.126486617,104.599,104.559,104.542,104.542,104.542,104.539,104.526,104.558,104.515,104.542,104.547,104.542,104.511,104.568,104.523,104.512,104.536,104.529,104.523,104.523,104.545,104.512,104.539,104.549,104.545,104.548,104.562,104.527,104.545,104.546,104.526,104.552
FLQS319HGRWY,-36.0719095802,-35.9779202382,-35.9779202382,-35.9779202382,-35.9779202382,-35.9769203516,-35.9349251137,-36.0159159296,-35.8639331639,-35.9779202382,-35.9709210319,-35.9779202382,-35.8649330505,-36.0139161564,-35.9359250003,-35.8629332773,-35.9369248869,-35.9069282884,-35.9369248869,-35.9369248869,-35.975920465,-35.8629332773,-35.9719209185,-35.975920465,-35.975920465,-35.9749205784,-36.0169158163,-35.9359250003,-35.975920465,-35.9769203516,-35.8889303293,-36.0129162698,140.051344323,140.093342627,140.099342384,140.099342384,140.099342384,140.165339719,140.093342627,140.096342506,140.059344,140.099342384,140.028345252,140.099342384,140.098342425,140.128341213,140.132341052,140.126341294,139.991346746,140.127341254,140.16433976,140.16433976,140.060343959,140.126341294,140.131341092,140.024345413,140.060343959,140.024345413,140.062343879,140.129341173,140.060343959,140.062343879,140.067343677,140.101342304,104.353,104.313,104.312,104.312,104.312,104.306,104.296,104.327,104.273,104.312,104.317,104.312,104.269,104.324,104.293,104.266,104.307,104.283,104.29,104.29,104.316,104.266,104.307,104.319,104.316,104.319,104.331,104.294,104.316,104.316,104.282,104.326
FLQS317CGRWY,-36.1334434419,-36.0195177138,-35.9835411681,-35.9835411681,-35.9835411681,-35.987538562,-35.9385704859,-36.0325092442,-35.9025939402,-35.9835411681,-35.9605561528,-35.9835411681,-35.9015945917,-36.0684857899,-35.9385704859,-35.9025939402,-35.9395698344,-35.9555594103,-35.9395698344,-35.9395698344,-35.9885379105,-35.9025939402,-35.9745470316,-35.9845405166,-35.9885379105,-35.9845405166,-36.0305105472,-35.9395698344,-35.9885379105,-35.989537259,-35.8906017583,-36.0195177138,139.900854966,139.945846236,139.980839446,139.980839446,139.980839446,140.010833626,139.941847012,139.97484061,139.940847206,139.980839446,139.902854578,139.980839446,139.97983964,140.010833626,139.978839834,139.97484061,139.870860785,139.977840028,140.013833044,140.013833044,139.938847594,139.97484061,139.977840028,139.908853414,139.938847594,139.908853414,139.937847788,139.976840222,139.938847594,139.940847206,139.937847788,139.983838864,104.487,104.439,104.421,104.421,104.421,104.42,104.408,104.441,104.394,104.421,104.42,104.421,104.39,104.451,104.404,104.391,104.415,104.411,104.401,104.401,104.427,104.391,104.418,104.429,104.427,104.429,104.444,104.405,104.427,104.428,104.39,104.435
FLQS3160GRWY,-36.4776426663,-36.391544377,-36.3174598025,-36.3174598025,-36.3174598025,-36.3184609454,-36.2774140865,-36.3595078042,-36.1983237975,-36.3174598025,-36.3154575167,-36.3174598025,-36.1983237975,-36.43058895,-36.2804175152,-36.1973226546,-36.2804175152,-36.3234666598,-36.3635123758,-36.3635123758,-36.3565043755,-36.1973226546,-36.3134552309,-36.3184609454,-36.3565043755,-36.3194620883,-36.3585066613,-36.2794163723,-36.3565043755,-36.3174598025,-36.2363672276,-36.3935466628,139.861742623,139.905741283,139.943740127,139.943740127,139.943740127,139.977739092,139.907741222,139.942740157,139.941740188,139.943740127,139.873742257,139.943740127,139.979739031,139.978739061,139.980739,139.975739153,139.837743353,139.942740157,139.983738909,139.983738909,139.906741253,139.975739153,139.944740096,139.870742349,139.906741253,139.871742318,139.906741253,139.943740127,139.906741253,139.907741222,139.911741101,139.948739974,104.459,104.421,104.389,104.389,104.389,104.386,104.377,104.405,104.344,104.389,104.395,104.389,104.34,104.429,104.371,104.34,104.385,104.391,104.403,104.403,104.408,104.34,104.387,104.397,104.408,104.397,104.408,104.375,104.408,104.393,104.361,104.418
FLQS3126GRWV,-36.1943047833,-36.0974805261,-36.0615457503,-36.0615457503,-36.0615457503,-36.0605475621,-36.014630904,-36.1024714672,-35.9407649759,-36.0615457503,-36.0525620563,-36.0615457503,-35.9387685995,-36.1374080548,-36.014630904,-35.9397667877,-36.0166272805,-36.0266091626,-36.014630904,-36.014630904,-36.0625439385,-35.9397667877,-36.0505656799,-36.0625439385,-36.0625439385,-36.0615457503,-36.101473279,-36.0156290923,-36.0625439385,-36.0625439385,-35.9657196814,-36.0974805261,140.00890534,140.045907429,140.078909292,140.078909292,140.078909292,140.114911325,140.046907485,140.079909349,140.046907485,140.078909292,140.009905396,140.078909292,140.082909518,140.147913189,140.081909462,140.079909349,139.975903476,140.079909349,140.114911325,140.114911325,140.043907316,140.079909349,140.079909349,140.00890534,140.043907316,140.00890534,140.04290726,140.080909405,140.043907316,140.044907372,140.051907768,140.083909575,104.716,104.675,104.657,104.657,104.657,104.654,104.643,104.673,104.614,104.657,104.661,104.657,104.61,104.68,104.639,104.611,104.65,104.644,104.636,104.636,104.661,104.611,104.653,104.665,104.661,104.665,104.677,104.64,104.661,104.661,104.623,104.671
