,Distance_X_LOGO_Nfc_Up1,Distance_X_LOGO_Nfc_Up2,Distance_X_LOGO_Nfc_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Nfc_Up1,Distance_Y_LOGO_Nfc_Up2,Distance_Y_LOGO_Nfc_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Nfc_Up1,Angle_Nfc_Up2,Angle_Nfc_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-67.2958374127,-67.2238653933,-67.1598902649,-67.2268642274,-67.2628502371,-67.2998358583,-67.1938770518,-67.2308626729,-67.1578910421,-67.2588517916,-67.2968370241,-67.2238653933,-67.0919166909,-67.2948378013,-67.2278638388,-67.2978366355,-67.2448572323,-67.2578521802,-67.2298630616,-67.1948766632,-67.1938770518,-67.2288634502,-67.2278638388,-67.1598902649,-67.1918778291,-67.1259034779,-67.1229046438,-67.1239042551,-67.0859190227,-67.0179454487,-67.1588906535,-67.1219050324,144.028117228,144.026117171,144.0341174,144.137120344,144.137120344,144.104119401,144.097119201,144.167121202,144.067118343,144.098119229,144.0271172,143.955115141,144.141120459,144.102119344,144.102119344,144.067118343,144.054117971,144.026117171,144.093119086,144.100119287,144.203122231,144.103119372,144.169121259,144.231123031,144.374127119,144.274124261,144.300125004,144.269124118,144.269124118,144.275124289,144.235123146,144.384127405,115.188,115.165,115.143,115.149,115.161,115.178,115.145,115.146,115.137,115.166,115.189,115.176,115.105,115.177,115.155,115.183,115.168,115.176,115.157,115.144,115.128,115.155,115.145,115.113,115.102,115.096,115.09,115.095,115.083,115.06,115.112,115.077
FLQS312SGRWV,-67.0406203305,-66.9345813883,-66.8685571412,-66.9705946139,-67.0056074722,-67.0426210653,-66.9355817556,-66.9735957161,-66.8985681626,-67.0046071049,-67.0406203305,-66.9345813883,-66.8335442829,-67.0416206979,-66.9725953487,-67.0406203305,-66.9345813883,-66.9695942466,-66.9395832252,-66.9035699995,-66.9385828578,-66.9705946139,-66.9705946139,-66.8725586107,-66.9425843273,-66.8715582433,-66.8375457524,-66.8385461198,-66.8015325267,-66.7635185663,-66.870557876,-66.8355450177,144.010732944,144.015732552,144.017732396,144.085727076,144.084727154,144.043730362,144.048729971,144.131723478,144.015732552,144.047730049,144.010732944,143.943738185,144.08772692,144.048729971,144.062728875,144.010732944,144.050729814,144.017732396,144.086726998,144.092726529,144.161721131,144.044730284,144.118724495,144.250714168,144.351706267,144.255713777,144.314709161,144.28571143,144.283711586,144.245714559,144.243714716,144.369704858,115.062,115.026,115.004,115.027,115.039,115.057,115.021,115.021,115.014,115.044,115.062,115.037,114.982,115.056,115.031,115.062,115.021,115.038,115.017,115.004,115.005,115.034,115.022,114.97,114.978,114.969,114.949,114.954,114.942,114.935,114.971,114.94
FLQS31J6GRWY,-67.3180487659,-67.2139218537,-67.1368278898,-67.2489645645,-67.2850084957,-67.3200512066,-67.2159242943,-67.2459609036,-67.1788791428,-67.2840072754,-67.3180487659,-67.214923074,-67.101785179,-67.3180487659,-67.2429572427,-67.3190499862,-67.2139218537,-67.2489645645,-67.2059120912,-67.1788791428,-67.2139218537,-67.2509670052,-67.2499657849,-67.1398315507,-67.2169255146,-67.1318217883,-67.1097949414,-67.1057900602,-67.0757534509,-67.0397095197,-67.1408327711,-67.1107961618,143.95839698,143.963397515,143.956396766,144.027404361,144.029404575,143.99140051,143.99140051,144.051406928,143.95839698,143.992400617,143.956396766,143.887389386,144.02440404,143.994400831,143.98139944,143.95839698,143.992400617,143.957396873,144.020403612,144.018403398,144.085410565,143.99140051,144.060407891,144.148417304,144.278431209,144.187421475,144.237426824,144.187421475,144.206423508,144.176420299,144.143416769,144.310434632,115.121,115.086,115.062,115.088,115.099,115.116,115.082,115.083,115.075,115.104,115.121,115.098,115.04,115.115,115.093,115.121,115.081,115.098,115.075,115.066,115.067,115.094,115.083,115.034,115.039,115.025,115.01,115.017,115.004,114.997,115.035,115.0
FLQS31FWGRWY,-67.1800711102,-67.0760663557,-67.0040630641,-67.1130680472,-67.149069693,-67.1830712474,-67.0780664471,-67.1110679558,-67.0420648013,-67.1460695559,-67.1800711102,-67.07506631,-66.9660613269,-67.181071156,-67.1090678644,-67.181071156,-67.0760663557,-67.1100679101,-67.0730662186,-67.0430648471,-67.0760663557,-67.1140680929,-67.1130680472,-67.0050631098,-67.0790664929,-67.0000628812,-66.9720616012,-66.9710615555,-66.9390600925,-66.9010583553,-67.0070632013,-66.9730616469,144.031908928,144.037909216,144.036909168,144.103912382,144.105912478,144.064910511,144.064910511,144.135913917,144.032908976,144.067910655,144.03090888,143.963905666,144.111912766,144.067910655,144.067910655,144.034909072,144.068910703,144.033909024,144.09991219,144.101912286,144.170915596,144.066910607,144.137914013,144.261919961,144.377925526,144.270920393,144.340923751,144.297921688,144.304922024,144.276920681,144.246919242,144.397926485,114.985,114.95,114.926,114.952,114.963,114.981,114.947,114.947,114.939,114.968,114.985,114.961,114.903,114.98,114.956,114.985,114.945,114.962,114.939,114.929,114.93,114.958,114.947,114.893,114.899,114.89,114.87,114.876,114.865,114.856,114.895,114.862
FLQS31CRGRWY,-67.6206216472,-67.5145673476,-67.4405294403,-67.5495852767,-67.5876047426,-67.6206216472,-67.5155678599,-67.5475842522,-67.4805499307,-67.5856037181,-67.6206216472,-67.5165683721,-67.4055115112,-67.6206216472,-67.5445827154,-67.6206216472,-67.5155678599,-67.5495852767,-67.5105652986,-67.4805499307,-67.5145673476,-67.550585789,-67.550585789,-67.4415299526,-67.5195699089,-67.4375279035,-67.412515097,-67.408513048,-67.3784976802,-67.3414787265,-67.4435309771,-67.4135156093,143.687815974,143.692813846,143.683817676,143.758785754,143.760784903,143.718802779,143.723800651,143.786773836,143.692813846,143.722801077,143.684817251,143.620844491,143.760784903,143.724800226,143.721801502,143.685816825,143.723800651,143.689815123,143.753787882,143.753787882,143.822758514,143.719802354,143.792771283,143.905723186,144.030669982,143.917718079,143.987688285,143.940708289,143.950704033,143.927713822,143.885731699,144.047662747,115.19,115.154,115.131,115.156,115.168,115.185,115.15,115.151,115.143,115.173,115.19,115.166,115.108,115.184,115.16,115.19,115.15,115.166,115.144,115.134,115.134,115.162,115.15,115.098,115.104,115.095,115.076,115.082,115.07,115.062,115.101,115.067
FLQS319LGRWY,-67.3804655556,-67.2783754576,-67.2083136256,-67.3114046069,-67.3474364062,-67.3824673222,-67.2793763409,-67.3124054902,-67.2423436583,-67.3454346396,-67.3794646723,-67.2783754576,-67.171280943,-67.3804655556,-67.3104037236,-67.3804655556,-67.2773745743,-67.3104037236,-67.2773745743,-67.2443454249,-67.2783754576,-67.3144072569,-67.3124054902,-67.2073127423,-67.2783754576,-67.2043100924,-67.1692791764,-67.1702800597,-67.1352491437,-67.0992173444,-67.206311859,-67.1702800597,143.962896687,143.96389677,143.9678971,144.032902472,144.034902638,143.994899332,143.993899249,144.064905117,143.960896522,143.998899662,143.961896605,143.890890737,144.036902803,143.999899745,143.998899662,143.961896605,143.99789958,143.964896853,144.033902555,144.03190239,144.100908092,143.992899167,144.066905282,144.166913547,144.272922307,144.20591677,144.240919662,144.204916687,144.20591677,144.17191396,144.168913712,144.315925861,115.135,115.101,115.078,115.101,115.113,115.13,115.097,115.097,115.09,115.117,115.134,115.112,115.055,115.129,115.106,115.135,115.095,115.111,115.09,115.079,115.08,115.109,115.096,115.047,115.054,115.04,115.023,115.029,115.018,115.011,115.046,115.012
FLQS319HGRWY,-67.0860961206,-66.9811147487,-66.8841319575,-67.0161085393,-66.9981117327,-67.0860961206,-66.9811147487,-66.9561191839,-66.946120958,-66.9961120875,-67.0860961206,-66.9251246836,-66.8141443762,-67.0860961206,-67.0161085393,-67.0341053459,-66.9811147487,-67.0161085393,-66.9181259255,-66.946120958,-66.9251246836,-66.9641177646,-67.0161085393,-66.8541372798,-66.963117942,-66.8481383442,-66.8761333767,-66.817143844,-66.8411395861,-66.7521553756,-66.9111271674,-66.8231427795,144.024162952,144.094159144,144.095159089,144.164155335,144.172154899,144.129157239,144.059161048,144.189153974,144.094159144,144.135156913,144.024162952,144.032162517,144.169155063,144.129157239,144.059161048,144.098158926,144.129157239,144.094159144,144.158155661,144.164155335,144.22415207,144.132157076,144.19915343,144.268149676,144.39414282,144.324146629,144.304147717,144.309147445,144.339145813,144.299147989,144.304147717,144.439140371,114.888,114.843,114.811,114.843,114.836,114.872,114.848,114.82,114.831,114.841,114.888,114.834,114.777,114.872,114.859,114.86,114.837,114.854,114.812,114.821,114.805,114.831,114.838,114.775,114.791,114.764,114.776,114.756,114.76,114.737,114.788,114.739
FLQS317CGRWY,-67.193287744,-67.0913601202,-67.0154140476,-67.1263352853,-67.1623097407,-67.1982841962,-67.0923594107,-67.1223381235,-67.0563849552,-67.1593118694,-67.193287744,-67.0893615394,-66.9804388826,-67.1942870344,-67.1203395427,-67.1952863249,-67.0893615394,-67.123337414,-67.0843650872,-67.0553856648,-67.088362249,-67.1283338661,-67.1283338661,-67.0174126285,-67.0933587011,-67.0094183051,-66.9834367539,-66.981438173,-66.9544573315,-66.9174835856,-67.0174126285,-66.9864346252,143.974386422,143.971387019,143.973386621,144.044372513,144.045372315,143.967387813,144.005380263,144.067367943,143.971387019,144.009379468,143.971387019,143.870407087,144.045372315,144.010379269,143.997381852,143.974386422,144.009379468,143.975386224,144.036374103,144.029375494,144.102360989,144.006380064,144.043372712,144.148351848,144.235334561,144.198341913,144.244332773,144.190343503,144.166348272,144.178345887,144.152351054,144.32631648,115.029,114.996,114.97,114.996,115.008,115.031,114.991,114.991,114.984,115.012,115.029,115.011,114.948,115.023,115.001,115.029,114.989,115.006,114.984,114.975,114.975,115.002,114.997,114.945,114.956,114.934,114.919,114.927,114.921,114.907,114.944,114.908
FLQS3160GRWY,-67.5056576147,-67.4025359297,-67.3264461427,-67.4385784604,-67.4736198097,-67.5106635218,-67.4055394739,-67.4355749162,-67.3694969432,-67.4716174468,-67.5056576147,-67.4015347483,-67.290403612,-67.5066587961,-67.4485902745,-67.5086611589,-67.4015347483,-67.4355749162,-67.3965288412,-67.3704981246,-67.4025359297,-67.4395796418,-67.4395796418,-67.3314520497,-67.4065406553,-67.3214402356,-67.3014166075,-67.2964107004,-67.2663752582,-67.2323350903,-67.3314520497,-67.3014166075,143.881135103,143.884135231,143.886135317,143.957138344,143.956138302,143.915136553,143.917136639,143.979139282,143.880135061,143.918136681,143.878134975,143.814132246,143.957138344,143.918136681,143.937137491,143.882135146,143.919136724,143.886135317,143.946137875,143.943137747,144.015140817,143.918136681,143.990139751,144.064142907,144.155146787,144.113144996,144.154146745,144.105144655,144.126145551,144.097144314,144.068143077,144.232150071,114.967,114.933,114.908,114.933,114.945,114.963,114.929,114.929,114.923,114.95,114.967,114.943,114.885,114.962,114.94,114.968,114.927,114.943,114.921,114.913,114.913,114.94,114.929,114.882,114.893,114.871,114.859,114.865,114.851,114.845,114.882,114.847
FLQS3126GRWV,-67.4580634754,-67.3532591331,-67.26043243,-67.3881939139,-67.3742200016,-67.4580634754,-67.3043504401,-67.3881939139,-67.2674193862,-67.3712255918,-67.4580634754,-67.3532591331,-67.1935572783,-67.4580634754,-67.3313001281,-67.4580634754,-67.3532591331,-67.3881939139,-67.3532591331,-67.3183243524,-67.3003578937,-67.3881939139,-67.3692293186,-67.2314864688,-67.3372889477,-67.2304883322,-67.2484547909,-67.1985479613,-67.2135200102,-67.1276802632,-67.2833895717,-67.1995460979,143.961517831,143.961517831,143.976520074,144.031528296,144.084536219,143.996523064,144.04353009,144.066533528,144.012525455,144.046530538,143.961517831,143.891507367,144.083536069,143.996523064,144.038529342,143.961517831,143.996523064,143.961517831,144.031528296,144.031528296,144.14154474,143.996523064,144.078535322,144.198553261,144.277565071,144.236558942,144.241559689,144.201553709,144.206554457,144.2195564,144.171549225,144.367578525,115.347,115.312,115.28,115.313,115.3,115.341,115.284,115.308,115.277,115.305,115.347,115.323,115.241,115.341,115.293,115.347,115.307,115.324,115.302,115.29,115.268,115.318,115.3,115.236,115.259,115.23,115.235,115.225,115.229,115.199,115.257,115.2
