SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS2044GRWY____	-11.988	-11.714	-11.774	-11.604	-11.433	-11.601	-11.749	-12.047	-11.976	-11.515	-12.008	-12.068	-11.886	-11.434	-11.876	-11.844	-11.908	-11.951	-11.850	-11.496	-12.077	-12.001	-11.773	-11.712	-11.814	-11.907	-11.872	-11.628	-11.748	-12.024	-11.640	-11.846	-117.453	-117.370	-117.876	-117.617	-117.773	-117.620	-117.544	-117.366	-117.505	-117.866	-117.744	-117.790	-117.649	-117.826	-117.796	-117.715	-117.924	-117.556	-117.775	-118.490	-117.564	-117.796	-117.769	-117.718	-117.796	-117.797	-117.827	-118.346	-117.725	-117.767	-117.074	-117.588	263.835	263.963	263.959	264.028	264.118	264.030	263.955	263.802	263.843	264.083	263.840	263.813	263.894	264.120	263.906	263.918	263.897	263.858	263.917	264.121	263.798	263.846	263.954	263.981	263.936	263.891	263.909	264.052	263.964	263.833	263.985	263.910	2016_7_19_17_02_33
FLQS312SGRWV____	-11.550	-11.764	-11.442	-11.400	-11.637	-11.805	-11.620	-11.969	-11.580	-11.778	-11.866	-11.803	-11.546	-11.634	-11.807	-11.842	-11.516	-11.541	-11.715	-11.496	-11.808	-11.612	-11.767	-11.440	-11.552	-11.901	-11.483	-11.362	-11.407	-11.571	-11.621	-11.826	-117.180	-117.535	-117.404	-117.208	-117.752	-117.536	-117.542	-117.608	-117.288	-117.120	-117.876	-117.796	-117.161	-117.154	-117.118	-117.039	-116.985	-117.884	-116.955	-117.807	-116.815	-117.267	-117.411	-117.906	-117.253	-117.117	-117.486	-117.736	-117.786	-117.693	-117.570	-117.640	264.034	263.948	264.096	264.108	264.019	263.927	264.017	263.852	264.025	263.921	263.914	263.941	264.035	263.992	263.906	263.885	264.041	264.072	263.943	264.089	263.891	264.008	263.940	264.121	264.036	263.861	264.080	264.151	264.131	264.048	264.018	263.922	2016_7_19_17_02_33
FLQS31J6GRWY____	-12.121	-12.236	-12.059	-11.728	-12.038	-11.678	-12.038	-12.118	-11.989	-11.656	-12.203	-11.884	-11.889	-11.763	-12.086	-11.922	-11.915	-11.795	-11.853	-11.772	-11.878	-12.022	-12.044	-11.850	-11.819	-11.991	-11.880	-11.642	-11.820	-11.980	-11.764	-12.106	-117.494	-117.335	-116.691	-117.939	-117.545	-117.670	-116.623	-117.533	-117.431	-117.786	-117.590	-117.718	-117.298	-118.083	-117.329	-117.251	-117.584	-118.195	-117.753	-117.735	-117.809	-117.462	-117.485	-117.561	-117.575	-117.526	-117.683	-117.532	-117.379	-117.754	-117.697	-117.429	263.773	263.709	263.763	263.984	263.816	263.995	263.769	263.776	263.834	264.011	263.738	263.898	263.875	263.974	263.782	263.857	263.877	263.964	263.915	263.953	263.905	263.819	263.810	263.907	263.923	263.837	263.898	264.006	263.913	263.854	263.955	263.777	2016_7_19_17_02_19
FLQS31FWGRWY____	-11.644	-11.847	-11.838	-11.590	-11.706	-11.542	-11.570	-11.917	-11.779	-11.712	-12.005	-11.807	-11.676	-11.571	-11.611	-11.716	-11.780	-11.884	-12.034	-11.771	-11.804	-11.745	-11.709	-11.511	-11.746	-11.911	-11.937	-11.563	-11.816	-11.709	-11.634	-11.893	-117.119	-116.552	-117.006	-117.604	-117.619	-117.140	-116.755	-117.079	-117.231	-117.716	-117.075	-117.663	-117.232	-116.821	-117.126	-116.840	-117.456	-117.018	-117.549	-117.406	-117.750	-117.132	-117.353	-117.235	-117.322	-117.259	-117.357	-117.593	-116.983	-117.100	-116.987	-117.497	264.659	264.533	264.560	264.709	264.653	264.710	264.678	264.525	264.600	264.655	264.482	264.607	264.649	264.680	264.675	264.611	264.610	264.538	264.492	264.612	264.613	264.611	264.639	264.729	264.620	264.537	264.529	264.721	264.569	264.627	264.658	264.557	2016_7_19_17_02_19
FLQS31CRGRWY____	-11.482	-11.961	-11.771	-11.715	-11.423	-11.391	-11.201	-11.639	-11.487	-11.500	-11.988	-11.660	-11.459	-11.418	-11.848	-11.566	-11.491	-11.502	-11.624	-11.814	-11.502	-11.847	-11.481	-11.485	-11.533	-11.431	-11.600	-11.418	-11.531	-11.552	-11.356	-11.609	-117.521	-116.358	-116.490	-116.555	-117.568	-116.953	-117.558	-116.880	-117.763	-117.261	-116.824	-117.803	-117.506	-117.563	-117.860	-117.118	-117.598	-117.719	-117.964	-117.545	-117.369	-117.994	-118.095	-117.838	-117.464	-117.063	-117.162	-117.410	-117.525	-117.967	-116.589	-117.913	264.214	263.925	264.024	264.055	264.245	264.231	264.351	264.108	264.223	264.193	263.935	264.142	264.224	264.247	264.054	264.154	264.214	264.214	264.166	264.055	264.197	264.061	264.241	264.228	264.187	264.217	264.140	264.240	264.191	264.201	264.231	264.171	2016_7_19_17_02_19
FLQS319LGRWY____	-11.714	-11.844	-11.855	-11.932	-11.716	-11.734	-11.699	-11.849	-11.838	-11.851	-12.008	-11.955	-11.809	-11.713	-11.812	-11.789	-11.716	-11.756	-11.852	-11.637	-11.877	-12.021	-11.645	-11.716	-11.683	-11.781	-12.019	-11.634	-11.881	-11.643	-11.633	-11.927	-117.463	-117.490	-117.353	-116.910	-117.569	-118.014	-117.482	-117.742	-118.024	-117.721	-118.004	-117.083	-118.175	-117.621	-118.129	-117.329	-117.805	-117.491	-117.773	-117.881	-117.887	-116.961	-117.696	-117.642	-117.853	-117.723	-117.050	-117.870	-117.783	-117.910	-117.775	-116.947	264.642	264.580	264.569	264.510	264.646	264.659	264.650	264.590	264.609	264.588	264.527	264.507	264.630	264.650	264.627	264.600	264.658	264.623	264.590	264.699	264.584	264.469	264.686	264.650	264.676	264.622	264.474	264.700	264.577	264.698	264.696	264.514	2016_7_19_17_02_19
FLQS319HGRWY____	-11.842	-11.905	-11.775	-11.404	-11.501	-11.666	-11.624	-11.844	-11.777	-11.641	-11.813	-11.673	-11.812	-11.636	-11.477	-11.710	-11.784	-11.879	-11.706	-11.839	-11.539	-11.670	-11.508	-11.707	-11.672	-11.848	-11.878	-11.569	-11.542	-11.510	-11.568	-11.968	-116.972	-117.393	-117.002	-117.204	-117.751	-117.598	-116.938	-116.875	-117.092	-117.978	-117.071	-118.057	-117.287	-117.342	-117.191	-117.038	-117.385	-117.140	-117.958	-117.011	-117.413	-117.721	-117.013	-117.487	-117.975	-117.316	-117.285	-117.329	-117.568	-116.960	-117.116	-116.971	263.882	263.872	263.916	264.105	264.084	263.998	263.986	263.876	263.919	264.028	263.901	264.016	263.912	264.000	264.070	263.949	263.930	263.873	263.996	263.886	264.050	264.002	264.046	263.972	264.013	263.896	263.880	264.031	264.056	264.043	264.022	263.821	2016_7_19_17_02_19
FLQS317CGRWY____	-11.782	-11.901	-11.516	-11.451	-11.366	-11.940	-11.357	-11.776	-11.516	-11.713	-11.736	-11.688	-11.812	-11.417	-11.732	-11.512	-11.572	-11.603	-11.706	-11.560	-11.669	-11.665	-11.695	-11.579	-11.668	-11.645	-11.687	-11.495	-11.665	-11.444	-11.551	-11.692	-117.184	-117.673	-117.216	-118.085	-117.767	-117.149	-117.488	-117.678	-117.426	-117.392	-118.154	-117.144	-117.499	-118.436	-118.063	-117.384	-117.927	-118.019	-117.971	-117.812	-117.764	-118.064	-118.024	-117.374	-118.047	-117.523	-117.296	-117.673	-118.120	-117.640	-118.104	-117.975	263.922	263.888	264.052	264.124	264.150	263.843	264.141	263.948	264.062	263.965	263.990	263.965	263.922	264.157	263.988	264.062	264.059	264.048	263.996	264.059	264.004	264.020	264.004	264.029	264.018	264.004	263.973	264.083	264.023	264.107	264.077	264.003	2016_7_19_17_02_19
FLQS3160GRWY____	-11.720	-11.620	-11.570	-11.406	-11.499	-11.481	-11.567	-11.577	-11.660	-11.516	-11.815	-11.686	-11.687	-11.422	-11.673	-11.771	-11.450	-11.548	-11.780	-11.445	-11.686	-11.605	-11.638	-11.507	-11.693	-11.646	-11.611	-11.367	-11.445	-11.382	-11.620	-11.646	-116.943	-116.655	-117.809	-117.552	-117.827	-116.966	-116.963	-117.613	-116.973	-117.790	-117.106	-117.281	-117.120	-118.435	-118.064	-117.777	-117.468	-117.751	-117.698	-117.287	-116.912	-118.000	-117.692	-117.775	-117.009	-117.729	-117.701	-118.073	-117.250	-117.512	-117.769	-117.012	263.940	263.975	264.054	264.121	264.089	264.057	264.015	264.041	263.971	264.079	263.902	263.973	263.964	264.154	264.016	263.956	264.096	264.062	263.947	264.089	263.955	264.046	264.015	264.083	263.956	264.013	264.029	264.164	264.088	264.131	264.028	263.979	2016_7_19_17_02_20
FLQS3126GRWV____	-11.983	-11.977	-11.774	-11.673	-11.701	-11.616	-11.634	-11.786	-11.706	-11.909	-12.006	-11.736	-12.000	-11.712	-11.750	-11.844	-11.856	-11.889	-11.574	-11.779	-11.674	-11.880	-11.771	-11.715	-11.548	-11.915	-11.861	-11.577	-11.550	-11.770	-11.572	-11.906	-117.449	-117.226	-117.675	-117.552	-117.762	-116.833	-117.422	-117.098	-117.891	-117.916	-117.487	-118.268	-117.896	-117.438	-117.408	-117.525	-117.471	-117.428	-118.446	-117.492	-117.631	-117.670	-117.627	-117.520	-117.863	-117.596	-117.814	-117.733	-117.530	-117.634	-117.525	-117.456	264.512	264.503	264.624	264.666	264.663	264.659	264.679	264.590	264.666	264.570	264.502	264.670	264.525	264.642	264.622	264.582	264.574	264.556	264.756	264.612	264.669	264.572	264.623	264.644	264.741	264.552	264.588	264.721	264.724	264.623	264.713	264.549	2016_7_19_17_02_20
