,Distance_X_LOGO_MainBoard_LU1,Distance_X_LOGO_MainBoard_LU2,Distance_X_LOGO_MainBoard_LU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_LU1,Distance_Y_LOGO_MainBoard_LU2,Distance_Y_LOGO_MainBoard_LU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_LU1,Angle_MainBoard_LU2,Angle_MainBoard_LU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-30.653741413,-30.5937634419,-30.5937634419,-30.3928372386,-30.6217531617,-30.6237524274,-30.6967256257,-30.5607755578,-30.6957259928,-30.6277509589,-30.592763809,-30.5957627076,-30.4868027267,-30.660738843,-30.7676995582,-30.7666999253,-30.6247520603,-30.626751326,-30.6987248914,-30.7327124083,-30.3728445815,-30.6297502246,-30.7027234228,-30.6297502246,-30.5737707848,-30.592763809,-30.6177546303,-30.3388570646,-30.6167549975,-30.626751326,-30.6987248914,-30.7327124083,131.302213123,131.517238036,131.34421799,131.32721602,131.34421799,131.275209994,131.520238384,131.556242556,131.31021405,131.377221814,131.446229809,131.587246148,131.448230041,131.380222161,131.5212385,131.345218106,131.414226101,131.484234213,131.55524244,131.484234213,131.508236994,131.516237921,131.450230273,131.381222277,131.431228071,131.517238036,131.575244757,131.508236994,131.608248581,131.485234328,131.380222161,131.519238268,103.282,103.237,103.254,103.172,103.265,103.273,103.279,103.219,103.299,103.264,103.243,103.231,103.199,103.278,103.308,103.325,103.259,103.254,103.276,103.297,103.146,103.252,103.288,103.265,103.237,103.236,103.241,103.132,103.238,103.253,103.293,103.294
FLQS312SGRWV,-30.4007422418,-30.3417213865,-30.340721033,-30.1386496302,-30.3697312839,-30.3717319909,-30.4427570879,-30.3357192656,-30.4447577949,-30.4047436557,-30.367730577,-30.3727323444,-30.2686955825,-30.440756381,-30.5437927893,-30.513782185,-30.3377199726,-30.4037433022,-30.4777694597,-30.4757687527,-30.1146411466,-30.4047436557,-30.4497595623,-30.4057440092,-30.3167125495,-30.3417213865,-30.3597277491,-30.0866312492,-30.3627288096,-30.4067443627,-30.4747683993,-30.4807705201,131.294194456,131.50919805,131.368195693,131.320194891,131.368195693,131.269194038,131.516198167,131.578199203,131.303194607,131.370195727,131.43919688,131.551198752,131.473197448,131.37219576,131.545198652,131.36919571,131.437196846,131.474197465,131.57919922,131.508198033,131.500197899,131.508198033,131.44519698,131.404196295,131.423196612,131.50919805,131.572199103,131.500197899,131.601199588,131.478197532,131.403196278,131.542198601,103.141,103.096,103.109,103.03,103.121,103.131,103.137,103.087,103.158,103.135,103.113,103.105,103.069,103.15,103.176,103.18,103.101,103.125,103.145,103.152,103.003,103.122,103.146,103.133,103.094,103.096,103.097,102.991,103.096,103.126,103.161,103.15
FLQS31J6GRWY,-30.7119916387,-30.6489177218,-30.6499188951,-30.4466807186,-30.677951747,-30.6809552669,-30.7510373967,-30.6489177218,-30.7540409166,-30.7159963318,-30.6789529203,-30.6799540936,-30.5758320721,-30.7470327036,-30.8531570716,-30.8201183533,-30.6769505737,-30.7139939852,-30.7840761151,-30.7870796349,-30.4266572529,-30.7159963318,-30.7890819815,-30.6829576134,-30.6288942561,-30.6509200684,-30.6739470539,-30.3946197079,-30.6689411875,-30.7129928119,-30.7850772883,-30.8181160067,131.272017409,131.458021685,131.317018444,131.268017317,131.315018398,131.246016812,131.491022443,131.526023248,131.281017616,131.317018444,131.388020076,131.527023271,131.420020811,131.352019248,131.49002242,131.314018375,131.387020053,131.421020834,131.524023202,131.455021616,131.48002219,131.456021639,131.421020834,131.352019248,131.372019708,131.458021685,131.545023685,131.481022213,131.57702442,131.455021616,131.349019179,131.489022397,103.237,103.193,103.206,103.127,103.219,103.226,103.231,103.186,103.253,103.234,103.212,103.199,103.166,103.243,103.274,103.277,103.211,103.223,103.242,103.25,103.099,103.22,103.254,103.217,103.192,103.193,103.194,103.085,103.189,103.219,103.259,103.259
FLQS31FWGRWY,-30.732822247,-30.6718206149,-30.6698205614,-30.4708152371,-30.6708205882,-30.6988213373,-30.7438225413,-30.6418198123,-30.7418224878,-30.7038214711,-30.6688205347,-30.6718206149,-30.5678178324,-30.7388224075,-30.8428251901,-30.8428251901,-30.6678205079,-30.7058215246,-30.7788234778,-30.777823451,-30.4518147287,-30.7068215514,-30.777823451,-30.7038214711,-30.6508200531,-30.6708205882,-30.6938212035,-30.4178138191,-30.69182115,-30.7078215781,-30.7758233975,-30.8118243607,131.301718746,131.484737868,131.343723134,131.324721149,131.343723134,131.274715924,131.519741525,131.554745182,131.308719477,131.344723239,131.415730658,131.555745287,131.448734106,131.378726792,131.519741525,131.343723134,131.414730553,131.481737554,131.552744973,131.483737763,131.508740376,131.485737972,131.449734211,131.379726896,131.428732016,131.486738077,131.574747272,131.508740376,131.606750616,131.483737763,131.377726687,131.517741316,103.154,103.111,103.123,103.043,103.124,103.142,103.137,103.092,103.157,103.138,103.117,103.104,103.071,103.149,103.178,103.195,103.116,103.125,103.148,103.155,103.018,103.126,103.158,103.134,103.108,103.11,103.111,103.004,103.107,103.126,103.164,103.166
FLQS31CRGRWY,-31.0762809139,-31.0152528688,-31.0152528688,-30.7861475849,-31.0162533285,-31.0162533285,-31.0872859712,-30.9822376969,-31.0862855114,-31.0502689602,-31.0152528688,-31.0192547078,-30.912205514,-31.0852850516,-31.1893328662,-31.1593190735,-31.0162533285,-31.05126942,-31.1223020626,-31.1223020626,-30.7621365507,-31.0522698797,-31.1253034419,-31.05126942,-30.9622285018,-31.0162533285,-31.0112510298,-30.7301218386,-31.0082496505,-31.0492685005,-31.1203011431,-31.157318154,131.172340926,131.387357876,131.215344316,131.199343054,131.215344316,131.145338797,131.424360793,131.426360951,131.180341556,131.217344473,131.317352357,131.457363395,131.351355038,131.282349598,131.392358271,131.216344395,131.316352279,131.354355275,131.458363474,131.387357876,131.376357009,131.387357876,131.353355196,131.251347154,131.302351175,131.387357876,131.450362843,131.377357088,131.47936513,131.388357955,131.282349598,131.388357955,103.332,103.286,103.302,103.209,103.303,103.309,103.312,103.268,103.335,103.317,103.292,103.28,103.246,103.325,103.357,103.362,103.293,103.304,103.323,103.33,103.182,103.301,103.334,103.313,103.272,103.286,103.278,103.168,103.274,103.3,103.339,103.344
FLQS319LGRWY,-30.7596349329,-30.6965823852,-30.694580717,-30.4593847058,-30.694580717,-30.6955815511,-30.7646391033,-30.6595515238,-30.7656399374,-30.7296099102,-30.6935798829,-30.6915782147,-30.5904939716,-30.7636382692,-30.8677250146,-30.8346974897,-30.6935798829,-30.727608242,-30.7986674624,-30.8016699647,-30.5034214057,-30.7316115783,-30.8016699647,-30.7286090761,-30.6425373443,-30.6925790488,-30.7155982329,-30.4363655217,-30.6795682056,-30.7296099102,-30.7996682965,-30.8346974897,131.387182398,131.604207476,131.462191065,131.411185171,131.460190834,131.393183091,131.636211174,131.670215103,131.42718702,131.463191181,131.535199502,131.672215334,131.564202853,131.498195226,131.635211058,131.462191065,131.532199155,131.5672032,131.670215103,131.601207129,131.596206551,131.602207245,131.568203315,131.498195226,131.51519719,131.604207476,131.694217877,131.597206667,131.726221575,131.600207014,131.495194879,131.634210943,103.238,103.191,103.204,103.111,103.204,103.211,103.216,103.169,103.237,103.218,103.196,103.182,103.151,103.229,103.258,103.262,103.197,103.207,103.226,103.235,103.112,103.206,103.238,103.214,103.177,103.189,103.19,103.084,103.172,103.205,103.244,103.245
FLQS319HGRWY,-30.5218385116,-30.4588367807,-30.4588367807,-30.2588312861,-30.4888376049,-30.4578367533,-30.5338388412,-30.4308360115,-30.5328388138,-30.4948377698,-30.4588367807,-30.4598368082,-30.39183494,-30.560839583,-30.6338415886,-30.6008406819,-30.4578367533,-30.4948377698,-30.5998406545,-30.5678397753,-30.2388307366,-30.4968378247,-30.6008406819,-30.4938377423,-30.4388362313,-30.4588367807,-30.4828374401,-30.2068298575,-30.4838374676,-30.4968378247,-30.5638396654,-30.6338415886,131.442025113,131.626018149,131.514022388,131.467024167,131.485023486,131.447024924,131.690015727,131.725014403,131.450024811,131.516022313,131.586019663,131.726014365,131.590019512,131.551020988,131.689015765,131.514022388,131.585019701,131.621018339,131.725014403,131.653017128,131.651017203,131.655017052,131.621018339,131.522022086,131.571020231,131.627018112,131.715014781,131.651017203,131.748013532,131.65401709,131.550021026,131.689015765,102.981,102.937,102.948,102.87,102.963,102.954,102.962,102.916,102.985,102.963,102.941,102.928,102.913,102.987,103.004,103.007,102.941,102.953,102.986,102.98,102.844,102.95,102.997,102.962,102.934,102.937,102.939,102.831,102.936,102.95,102.988,103.003
FLQS317CGRWY,-30.5869720036,-30.5260039517,-30.5240049991,-30.3271081758,-30.5230055229,-30.5240049991,-30.6239526252,-30.5260039517,-30.6289500065,-30.5909699086,-30.5529898107,-30.5559882395,-30.4520427084,-30.6249521015,-30.6969143922,-30.6979138685,-30.5200070941,-30.5889709561,-30.6639316756,-30.6289500065,-30.3051196981,-30.557987192,-30.630948959,-30.5589866683,-30.5050149502,-30.5260039517,-30.5469929531,-30.3061191743,-30.5459934769,-30.5599861445,-30.6629321994,-30.6979138685,131.153663778,131.368622253,131.226649679,131.206653542,131.226649679,131.157663006,131.4046153,131.437608926,131.192656246,131.227649486,131.298635773,131.437608926,131.329629785,131.262642726,131.402615686,131.228649293,131.297635966,131.332629206,131.436609119,131.368622253,131.392617617,131.367622446,131.333629013,131.262642726,131.311633262,131.368622253,131.45860487,131.360623798,131.488599076,131.367622446,131.262642726,131.401615879,103.13,103.084,103.097,103.018,103.097,103.104,103.121,103.078,103.144,103.125,103.103,103.09,103.058,103.136,103.152,103.169,103.089,103.114,103.135,103.127,102.991,103.098,103.131,103.109,103.081,103.085,103.085,102.994,103.081,103.099,103.152,103.152
FLQS3160GRWY,-30.9567229262,-30.8926552032,-30.891654145,-30.6664160562,-30.891654145,-30.8906530868,-30.9627292752,-30.8606213417,-30.9657324498,-30.926691181,-30.8936562613,-30.8946573195,-30.7905472696,-30.9607271589,-31.0668393252,-31.0338044055,-30.8906530868,-30.9256901229,-31.0007694858,-30.9977663113,-30.6383864274,-30.9276922392,-31.0007694858,-30.9276922392,-30.8426022945,-30.8926552032,-30.9136774248,-30.6413896019,-30.914678483,-30.9286932974,-30.9977663113,-31.0338044055,131.221273639,131.403265697,131.263271806,131.244272635,131.262271849,131.19327486,131.440264082,131.475262555,131.228273333,131.264271762,131.334268708,131.473262642,131.367267268,131.298270278,131.440264082,131.264271762,131.332268795,131.36926718,131.474262598,131.404265653,131.427264649,131.404265653,131.36926718,131.298270278,131.348268097,131.405265609,131.495261682,131.393266133,131.497261595,131.404265653,131.298270278,131.436264257,103.117,103.073,103.086,102.995,103.086,103.093,103.098,103.053,103.12,103.1,103.08,103.067,103.034,103.112,103.141,103.145,103.079,103.09,103.111,103.116,102.966,103.087,103.121,103.098,103.058,103.073,103.073,102.97,103.073,103.088,103.127,103.128
FLQS3126GRWV,-30.6937882737,-30.6328918616,-30.6628409167,-30.4322331924,-30.6638392186,-30.6628409167,-30.7327220453,-30.6338901635,-30.7367152526,-30.697781481,-30.6628409167,-30.660844313,-30.557020922,-30.7317237435,-30.8375437382,-30.8045997775,-30.6598460112,-30.6957848773,-30.7696592133,-30.7686609114,-30.4142637594,-30.697781481,-30.7716558169,-30.6967831792,-30.6139241267,-30.6648375204,-30.6578494075,-30.3823181006,-30.6538562002,-30.6987797828,-30.7696592133,-30.8036014757,131.271206695,131.457214073,131.31620848,131.293207568,131.314208401,131.248205783,131.491215422,131.52421673,131.281207092,131.31720852,131.388211336,131.52621681,131.419212566,131.351209868,131.491215422,131.31620848,131.386211257,131.422212685,131.52421673,131.455213994,131.479214946,131.456214033,131.422212685,131.351209868,131.397211693,131.457214073,131.548217682,131.478214906,131.576218793,131.455213994,131.350209829,131.489215342,103.378,103.335,103.36,103.267,103.361,103.367,103.373,103.329,103.394,103.375,103.353,103.339,103.307,103.386,103.416,103.419,103.353,103.364,103.384,103.391,103.242,103.361,103.395,103.371,103.332,103.348,103.336,103.229,103.332,103.362,103.401,103.402
