,Distance_X_LOGO_Camera_RU1,Distance_X_LOGO_Camera_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_RU1,Distance_Y_LOGO_Camera_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_RU1,Angle_Camera_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-62.5325948814,-62.6726477263,-62.7426741488,-62.5646069602,-62.5666077152,-62.6036216813,-62.4925797829,-62.5255922392,-62.3935424139,-62.3945427914,-62.3575288252,-62.4235537379,-62.2154752254,-62.2855016479,-62.3565284478,-62.2524891916,-62.2494880592,-62.3185141042,-62.2484876817,-62.3175137267,-62.2845012704,-62.3185141042,-62.3535273154,-62.2514888141,-62.2474873042,-62.3865397717,-62.2845012704,-62.2474873042,-62.3905412816,-62.2484876817,-62.3185141042,-62.2835008929,143.477770962,143.689943641,143.758999843,143.794028351,143.723971335,143.757999028,143.82905686,143.864085368,143.828056045,143.72297052,143.795029166,143.61888581,143.643906173,143.615883366,143.721969706,143.541823091,143.609878479,143.754996585,143.748991698,143.793027537,143.82905686,143.757999028,143.652913503,143.793027537,143.758999843,143.757999028,143.864085368,143.828056045,143.548828793,143.793027537,143.651912689,143.794028351,113.532,113.548,113.561,113.497,113.507,113.515,113.467,113.473,113.434,113.45,113.427,113.475,113.401,113.429,113.437,113.429,113.418,113.42,113.397,113.414,113.398,113.419,113.447,113.392,113.396,113.442,113.392,113.385,113.474,113.391,113.435,113.402
FLQS310RGRWV,-63.1402062195,-63.2735043262,-63.3516791558,-63.171275703,-63.1732801858,-63.2073563936,-63.0991143219,-63.1331905297,-62.9918744917,-62.9928767331,-62.9598027667,-63.0319641478,-62.8174844873,-62.8946570755,-62.9598027667,-62.8926525927,-62.8525629365,-62.8926525927,-62.8505584537,-62.9247243176,-62.8906481098,-62.9247243176,-62.9618072495,-62.8515606951,-62.8555696607,-62.9948812159,-62.8906481098,-62.8234979358,-62.9968856987,-62.8555696607,-62.925726559,-62.8896458684,143.060705701,143.239747885,143.382781584,143.378780641,143.308764145,143.342772157,143.413788889,143.449797373,143.412788654,143.307763909,143.377780406,143.202739165,143.225744585,143.198738222,143.312765088,143.126721255,143.190736337,143.332769801,143.33076933,143.379780877,143.413788889,143.345772864,143.237747413,143.378780641,143.345772864,143.345772864,143.448797137,143.410788182,143.133722905,143.377780406,143.239747885,143.381781348,113.699,113.717,113.722,113.662,113.673,113.68,113.633,113.639,113.597,113.613,113.592,113.642,113.567,113.596,113.601,113.606,113.583,113.576,113.562,113.58,113.563,113.585,113.613,113.555,113.562,113.608,113.558,113.541,113.64,113.557,113.601,113.568
FLQS3106GRWV,-62.79372383,-62.9367436995,-63.0117541206,-62.8287286932,-62.8307289711,-62.8727348069,-62.7667200784,-62.7997246637,-62.6467034047,-62.6477035437,-62.6116985415,-62.6907095184,-62.4676785331,-62.5516902047,-62.6186995142,-62.5476896489,-62.5376882594,-62.5816943731,-62.5366881205,-62.5916957626,-62.5476896489,-62.583694651,-62.621699931,-62.5046836741,-62.5166853415,-62.6537043773,-62.5476896489,-62.5156852026,-62.6557046552,-62.5146850636,-62.58469479,-62.5476896489,143.285380767,143.501535214,143.603608148,143.604608863,143.53255738,143.604608863,143.672657485,143.708683226,143.636631744,143.531556665,143.603608148,143.427482302,143.448497317,143.422478726,143.53656024,143.351427959,143.417475151,143.561578116,143.557575256,143.638633174,143.637632459,143.570584551,143.461506613,143.601606718,143.568583121,143.570584551,143.67165677,143.636631744,143.357432249,143.602607433,143.463508043,143.604608863,113.467,113.483,113.493,113.432,113.443,113.446,113.401,113.406,113.366,113.382,113.359,113.411,113.333,113.365,113.371,113.374,113.361,113.355,113.34,113.347,113.332,113.354,113.383,113.323,113.332,113.378,113.327,113.322,113.41,113.326,113.37,113.337
FLQS30ZQGRWV,-62.9850693042,-63.1280376832,-63.1980222044,-63.0210613437,-63.0220611226,-63.0590529409,-62.9510768225,-62.9860690831,-62.8441004829,-62.8441004829,-62.8091082223,-62.8800925224,-62.6861354208,-62.7431228166,-62.8121075589,-62.7381239222,-62.7171285659,-62.772116404,-62.6971329884,-62.7761155195,-62.7391237011,-62.7751157406,-62.8111077801,-62.7041314405,-62.708130556,-62.8451002618,-62.7391237011,-62.7061309983,-62.8470998195,-62.7061309983,-62.7751157406,-62.7411232589,143.12692172,143.339891844,143.407882306,143.442877397,143.370887496,143.406882446,143.476872628,143.512867578,143.476872628,143.371887355,143.440877677,143.267901943,143.261902784,143.264902364,143.371887355,143.194912182,143.224907974,143.403882867,143.399883428,143.443877256,143.479872207,143.407882306,143.302897034,143.443877256,143.406882446,143.407882306,143.513867438,143.477872487,143.197911761,143.442877397,143.301897174,143.443877256,113.687,113.704,113.717,113.653,113.664,113.671,113.625,113.631,113.589,113.604,113.582,113.631,113.567,113.586,113.593,113.594,113.583,113.575,113.55,113.57,113.553,113.576,113.603,113.546,113.553,113.599,113.548,113.542,113.63,113.547,113.591,113.559
FLQS30YUGRWV,-62.7686987179,-62.9096665996,-62.9786508822,-62.8026909731,-62.8026909731,-62.8406823171,-62.7317071461,-62.7726978067,-62.6307301528,-62.631729925,-62.5957381254,-62.6617230913,-62.48476341,-62.5237545262,-62.5947383532,-62.5217549818,-62.5187556652,-62.5547474648,-62.48476341,-62.555747237,-62.522754754,-62.5577467814,-62.5947383532,-62.489762271,-62.4867629544,-62.6267310639,-62.522754754,-62.4857631822,-62.6277308361,-62.4867629544,-62.5577467814,-62.522754754,143.134117181,143.348964253,143.417915173,143.451890989,143.38194078,143.416915885,143.485866805,143.557815592,143.486866094,143.38194078,143.452890278,143.276016177,143.304995549,143.272019022,143.380941491,143.201069524,143.270020445,143.410920152,143.40492442,143.451890989,143.486866094,143.415916596,143.309991993,143.451890989,143.416915885,143.415916596,143.521841199,143.486866094,143.206065968,143.450891701,143.309991993,143.451890989,113.563,113.578,113.592,113.528,113.538,113.545,113.499,113.502,113.465,113.481,113.458,113.506,113.443,113.46,113.468,113.47,113.459,113.451,113.428,113.445,113.429,113.451,113.479,113.423,113.427,113.474,113.423,113.416,113.505,113.422,113.466,113.434
FLQS30X6GRWY,-62.7331019088,-62.8809677964,-62.9509043649,-62.7670710992,-62.7700683807,-62.8130294156,-62.7041281876,-62.738097378,-62.5982242411,-62.5992233349,-62.5542641123,-62.6271979623,-62.447361072,-62.4903221069,-62.5652541445,-62.4873248254,-62.4813302624,-62.5212940158,-62.4453628843,-62.5302858603,-62.4933193884,-62.5302858603,-62.5592595815,-62.447361072,-62.4603492918,-62.5992233349,-62.4883239192,-62.4523565412,-62.5932287719,-62.4603492918,-62.5302858603,-62.4943184822,143.24711233,143.500135491,143.565141442,143.567141625,143.495135033,143.566141533,143.634147758,143.670151054,143.632147575,143.529138146,143.565141442,143.390125421,143.41512771,143.386125055,143.531138329,143.314118464,143.380124506,143.524137688,143.517137047,143.601144737,143.634147758,143.565141442,143.424128534,143.56414135,143.565141442,143.56414135,143.634147758,143.599144554,143.320119013,143.599144554,143.459131738,143.602144829,113.77,113.783,113.796,113.734,113.746,113.75,113.703,113.71,113.668,113.684,113.663,113.714,113.649,113.668,113.672,113.678,113.666,113.658,113.634,113.65,113.633,113.655,113.686,113.627,113.632,113.679,113.631,113.624,113.712,113.627,113.671,113.638
FLQS30X6GRWV,-63.0097283214,-63.1497654996,-63.1877755908,-63.044737616,-63.044737616,-63.1157564706,-62.9737187613,-63.0127291181,-62.8786935333,-62.8776932677,-62.847685301,-62.9026999067,-62.7286536995,-62.7636629941,-62.8346818487,-62.7636629941,-62.7626627285,-62.797672023,-62.7326547617,-62.7966717575,-62.7666637907,-62.797672023,-62.8346818487,-62.736655824,-62.727653434,-62.8666903466,-62.7666637907,-62.727653434,-62.8686908777,-62.727653434,-62.797672023,-62.7636629941,143.281365409,143.496568723,143.565633973,143.60066707,143.52959993,143.566634919,143.634699222,143.706767309,143.636701114,143.531601821,143.603669907,143.424500637,143.454529006,143.4214978,143.530600875,143.351431605,143.419495909,143.56163019,143.556625462,143.601668016,143.636701114,143.564633027,143.458532789,143.601668016,143.566634919,143.564633027,143.671734211,143.636701114,143.355435387,143.599666125,143.458532789,143.601668016,113.899,113.914,113.916,113.863,113.874,113.892,113.835,113.837,113.802,113.817,113.797,113.842,113.779,113.796,113.803,113.806,113.795,113.786,113.765,113.78,113.765,113.786,113.814,113.76,113.762,113.809,113.76,113.752,113.84,113.757,113.802,113.769
FLQS30WFGRWV,-62.5923288517,-62.7773978289,-62.8184131158,-62.6373456299,-62.6413471213,-62.6743594254,-62.5613172933,-62.5943295974,-62.4582788898,-62.4572785169,-62.4192643486,-62.4992941766,-62.3002199795,-62.3522393677,-62.43026845,-62.3452367577,-62.3342326564,-62.3822505532,-62.2982192338,-62.3952554002,-62.3562408591,-62.3922542817,-62.4212650943,-62.3052218437,-62.3282304193,-62.463280754,-62.3562408591,-62.3252293007,-62.4652814997,-62.3242289279,-62.3852516717,-62.3582416048,143.299355047,143.553327319,143.615320551,143.653316403,143.580324372,143.616320442,143.652316512,143.688312582,143.684313019,143.579324481,143.651316621,143.476335725,143.469336489,143.436340091,143.580324372,143.366347733,143.43434031,143.575324917,143.571325354,143.65031673,143.685312909,143.617320333,143.476335725,143.616320442,143.61432066,143.616320442,143.720309089,143.684313019,143.406343366,143.65031673,143.476335725,143.649316839,113.449,113.474,113.478,113.412,113.424,113.43,113.387,113.393,113.347,113.362,113.339,113.392,113.326,113.348,113.353,113.356,113.342,113.338,113.31,113.331,113.313,113.335,113.365,113.306,113.314,113.359,113.308,113.303,113.39,113.307,113.353,113.319
FLQS30VBGRWV,-63.1248744313,-63.2610100267,-63.3000489107,-63.155905339,-63.1258754283,-63.192942229,-63.0848345502,-63.1178674521,-62.9777278685,-62.9787288655,-62.9416919756,-63.0167667525,-62.7905414247,-62.8445952641,-62.9456959637,-62.8776281659,-62.8225733295,-62.8746251748,-62.8225733295,-62.9096600707,-62.8726231808,-62.9086590737,-62.9466969607,-62.804555383,-62.841592273,-62.9797298625,-62.8726231808,-62.8385892819,-62.9827328536,-62.840591276,-62.9096600707,-62.8746251748,143.229987875,143.44501488,143.509022918,143.547027691,143.473018397,143.512023295,143.580031836,143.616036358,143.579031711,143.476018773,143.543027189,143.371005585,143.357003827,143.36300458,143.477018899,143.295996165,143.320999305,143.502022039,143.461016889,143.546027566,143.580031836,143.512023295,143.405009856,143.543027189,143.510023044,143.512023295,143.615036232,143.580031836,143.301996918,143.544027314,143.406009981,143.547027691,113.847,113.861,113.864,113.81,113.811,113.828,113.782,113.788,113.746,113.762,113.74,113.79,113.716,113.734,113.751,113.754,113.732,113.723,113.712,113.728,113.711,113.733,113.761,113.694,113.711,113.757,113.706,113.7,113.789,113.706,113.749,113.717
FLQS30UFGRWV,-62.8270633535,-62.9429030609,-63.0118077144,-62.836050917,-62.8390467715,-62.907951425,-62.7981034267,-62.7981034267,-62.6523051743,-62.6872568102,-62.6123604476,-62.6992402282,-62.4985179766,-62.5504461213,-62.6592955015,-62.5434557941,-62.5334696125,-62.5774088118,-62.4985179766,-62.6233452475,-62.57840743,-62.6243438656,-62.6223466293,-62.5015138311,-62.5564378303,-62.6942471373,-62.57840743,-62.5204875763,-62.686258192,-62.5234834308,-62.5863963753,-62.554440594,143.24178488,143.49088015,143.556905402,143.592919176,143.519891246,143.560906933,143.629933333,143.660945194,143.622930655,143.522892394,143.556905402,143.415851454,143.404847246,143.374835767,143.525893541,143.302808219,143.368833472,143.512888567,143.506886272,143.594919942,143.593919559,143.560906933,143.413850689,143.553904254,143.558906168,143.55990655,143.62893295,143.625931802,143.312812045,143.589918028,143.416851837,143.592919176,113.563,113.565,113.578,113.514,113.526,113.543,113.496,113.492,113.448,113.475,113.444,113.494,113.429,113.45,113.465,113.458,113.445,113.439,113.414,113.443,113.427,113.448,113.469,113.408,113.425,113.471,113.422,113.404,113.505,113.41,113.456,113.42
FLQS30TYGRWV,-62.8872675554,-63.07231248,-63.1123221934,-62.9672869823,-62.9712879536,-63.0042959672,-62.8862673126,-62.9192753262,-62.7462333156,-62.7452330728,-62.7462333156,-62.829253471,-62.5961968903,-62.6462090321,-62.7592364725,-62.6762163171,-62.6302051467,-62.6752160743,-62.6292049039,-62.7122250592,-62.67721656,-62.7202270019,-62.7492340441,-62.6021983473,-62.622203204,-62.792244486,-62.67721656,-62.6432083035,-62.7832423005,-62.6192024755,-62.6822177741,-62.6872189883,143.163802136,143.420805372,143.482806152,143.522806656,143.449805737,143.48580619,143.52080663,143.555807071,143.517806593,143.410805246,143.518806605,143.34680444,143.333804276,143.302803886,143.449805737,143.23480303,143.299803848,143.440805623,143.439805611,143.484806177,143.521806643,143.487806215,143.345804428,143.48180614,143.48180614,143.48580619,143.556807084,143.518806605,143.237803068,143.517806593,143.344804415,143.521806643,113.716,113.74,113.745,113.69,113.702,113.708,113.663,113.669,113.617,113.632,113.616,113.67,113.593,113.615,113.631,113.635,113.61,113.604,113.589,113.61,113.593,113.612,113.643,113.574,113.58,113.637,113.588,113.582,113.67,113.574,113.621,113.596
FLQS30T7GRWV,-63.0046400657,-63.1764291354,-63.2073911189,-63.0356020492,-63.0366008229,-63.1105100738,-62.9976486501,-62.9956511028,-62.8967725104,-62.8648117532,-62.8688068479,-62.8967725104,-62.7189907988,-62.7599405189,-62.8258595805,-62.7958963706,-62.7529491032,-62.7929000497,-62.7139969305,-62.785908634,-62.7549466505,-62.7879061814,-62.8258595805,-62.7249834407,-62.7539478769,-62.8937761894,-62.7549466505,-62.7139969305,-62.8987700577,-62.7179920251,-62.7899037287,-62.7519503296,143.184499805,143.405545346,143.470558741,143.503565541,143.43255091,143.468558329,143.53957296,143.57257976,143.537572547,143.43255091,143.501565129,143.325528861,143.314526594,143.323528449,143.434551322,143.255514436,143.278519176,143.461556886,143.418548025,143.506566159,143.53957296,143.469558535,143.359535867,143.502565335,143.469558535,143.469558535,143.573579966,143.540573166,143.260515466,143.501565129,143.360536073,143.505565953,113.67,113.695,113.696,113.633,113.644,113.664,113.615,113.61,113.582,113.586,113.578,113.613,113.555,113.567,113.573,113.589,113.571,113.558,113.538,113.549,113.534,113.555,113.584,113.529,113.544,113.59,113.529,113.52,113.623,113.527,113.572,113.538
FLQS30S7GRWV,-63.0244278684,-63.2035058021,-63.2495258297,-63.0714483314,-63.0734492022,-63.1074640052,-62.9994169838,-63.0334317868,-62.9003738808,-62.8993734454,-62.8533534178,-62.9303869423,-62.739303784,-62.7823225055,-62.8603564654,-62.7803216347,-62.7733185871,-62.8153368732,-62.7823225055,-62.825341227,-62.7933272947,-62.8233403562,-62.8593560301,-62.7463068317,-62.7573116209,-62.8933708331,-62.7923268593,-62.7553107501,-62.8963721393,-62.7543103148,-62.8233403562,-62.7903259886,143.117438429,143.33347079,143.433485771,143.470491315,143.398480528,143.433485771,143.504496409,143.541501952,143.503496259,143.398480528,143.438486521,143.294464947,143.288464048,143.254458954,143.398480528,143.185448616,143.253458804,143.396480228,143.382478131,143.469491165,143.505496558,143.434485921,143.32947019,143.435486071,143.433485771,143.435486071,143.540501802,143.504496409,143.225454609,143.469491165,143.328470041,143.468491015,113.743,113.771,113.771,113.706,113.718,113.724,113.677,113.683,113.644,113.659,113.638,113.685,113.622,113.641,113.646,113.65,113.638,113.631,113.622,113.624,113.608,113.628,113.656,113.603,113.606,113.652,113.603,113.595,113.683,113.6,113.644,113.612
FLQS30RRGRWV,-62.8833525493,-63.0272480945,-63.0971973179,-62.9223242594,-62.9243228087,-62.9582981458,-62.8523750361,-62.8843518239,-62.7424548279,-62.7404562786,-62.7044823923,-62.7814265381,-62.5945621842,-62.6065534796,-62.7134758639,-62.6375309928,-62.6285375212,-62.6735048791,-62.5715788679,-62.676502703,-62.6425273659,-62.6755034284,-62.7114773147,-62.5985592826,-62.6095513034,-62.7454526517,-62.6415280913,-62.6075527542,-62.747451201,-62.605554205,-62.6755034284,-62.6415280913,143.204862256,143.416928691,143.486950627,143.521961595,143.450939345,143.485950313,143.556972563,143.592983844,143.555972249,143.449939032,143.522961908,143.345906441,143.375915843,143.338904248,143.450939345,143.272883565,143.339904561,143.48194906,143.480948747,143.520961281,143.555972249,143.486950627,143.380917409,143.520961281,143.48495,143.48795094,143.590983217,143.554971936,143.276884819,143.519960968,143.381917723,143.520961281,113.649,113.666,113.679,113.615,113.627,113.632,113.587,113.592,113.55,113.565,113.542,113.594,113.527,113.536,113.556,113.557,113.543,113.538,113.504,113.533,113.516,113.538,113.565,113.507,113.516,113.561,113.511,113.505,113.593,113.509,113.553,113.521
FLQS30R2GRWV,-62.4318400768,-62.608947422,-62.6509728937,-62.4698631227,-62.4708637291,-62.5399055755,-62.3998206698,-62.4338412897,-62.291755171,-62.2907545646,-62.2517309122,-62.3307788234,-62.142664807,-62.1886927046,-62.2927557775,-62.1836896723,-62.1746842141,-62.2167096858,-62.1756848205,-62.2557333381,-62.2187108987,-62.225715144,-62.2907545646,-62.1466672329,-62.1866914917,-62.2947569904,-62.2187108987,-62.1546720847,-62.3277770039,-62.1856908852,-62.2247145376,-62.2207121117,143.412726845,143.63172032,143.695718413,143.73071737,143.658719515,143.697718353,143.764716357,143.800715284,143.763716387,143.658719515,143.73071737,143.555722584,143.58372175,143.551722703,143.662719396,143.481724789,143.548722793,143.690718562,143.688718621,143.73271731,143.767716268,143.694718443,143.593721452,143.72871743,143.697718353,143.695718413,143.801715254,143.763716387,143.48872458,143.73271731,143.589721571,143.73271731,113.62,113.647,113.652,113.586,113.597,113.614,113.557,113.564,113.522,113.536,113.513,113.565,113.498,113.518,113.536,113.526,113.514,113.507,113.493,113.514,113.496,113.509,113.546,113.478,113.496,113.532,113.492,113.476,113.573,113.491,113.524,113.502
FLQS30QXGRWV,-63.0159924671,-63.1629411471,-63.2339163599,-63.0269886268,-63.059977106,-63.094964887,-62.9880022423,-62.991001195,-62.8820392485,-62.8810395977,-62.8440525149,-62.9190263313,-62.6931052313,-62.739089172,-62.8500504202,-62.7700783495,-62.7270933614,-62.7700783495,-62.7260937105,-62.8130633375,-62.7770759057,-62.8130633375,-62.8490507694,-62.7090996455,-62.7140978999,-62.8830388994,-62.7780755565,-62.7430877756,-62.8860378521,-62.7440874265,-62.8130633375,-62.7790752074,143.228368087,143.478564376,143.544616196,143.576641321,143.509588716,143.544616196,143.613670372,143.646696282,143.612669587,143.507587145,143.576641321,143.404506274,143.393497638,143.363474083,143.508587931,143.294419908,143.358470157,143.501582434,143.499580864,143.579643676,143.613670372,143.544616196,143.439533755,143.577642106,143.541613841,143.543615411,143.648697852,143.614671157,143.335452099,143.578642891,143.439533755,143.579643676,113.618,113.631,113.645,113.571,113.592,113.599,113.552,113.549,113.517,113.532,113.51,113.56,113.486,113.506,113.522,113.526,113.502,113.496,113.481,113.499,113.482,113.504,113.532,113.464,113.471,113.528,113.477,113.47,113.559,113.476,113.52,113.488
FLQS30QPGRWV,-62.8887486311,-62.9948072329,-63.0618442736,-62.9187652165,-62.8887486311,-62.9557856719,-62.8467254116,-62.8807442083,-62.7466701269,-62.7476706797,-62.7166535415,-62.778687818,-62.5625684031,-62.6105949397,-62.7086491187,-62.641612078,-62.5975877527,-62.641612078,-62.6055921755,-62.6716286634,-62.6386104194,-62.6736297691,-62.7096496715,-62.5765761429,-62.6035910698,-62.7426679155,-62.6386104194,-62.6005894112,-62.7446690212,-62.6035910698,-62.6746303219,-62.6065927283,143.22225347,143.434258286,143.503259854,143.540260694,143.466259013,143.503259854,143.573261444,143.609262262,143.574261467,143.470259104,143.537260626,143.364256696,143.353256446,143.357256537,143.469259082,143.290255015,143.317255629,143.495259672,143.494259649,143.539260672,143.575261489,143.502259831,143.397257446,143.537260626,143.503259854,143.503259854,143.610262285,143.575261489,143.295255129,143.537260626,143.397257446,143.538260649,113.683,113.687,113.699,113.646,113.647,113.664,113.617,113.623,113.583,113.599,113.579,113.625,113.554,113.57,113.586,113.59,113.571,113.56,113.548,113.564,113.547,113.57,113.597,113.532,113.546,113.593,113.542,113.535,113.624,113.541,113.585,113.542
FLQS30QMGRWV,-62.8258680578,-62.966937369,-63.0399732535,-62.8598847711,-62.8638867374,-62.8999044339,-62.7908508529,-62.8238670746,-62.6888007129,-62.6867997297,-62.6517825248,-62.7208164431,-62.530723045,-62.581748115,-62.6507820332,-62.5797471319,-62.5647397583,-62.6137638452,-62.5757451656,-62.6167653199,-62.581748115,-62.6137638452,-62.6507820332,-62.5467309101,-62.5477314017,-62.6857992382,-62.581748115,-62.5467309101,-62.6857992382,-62.544729927,-62.6137638452,-62.5797471319,143.262271757,143.475339087,143.542360266,143.579371962,143.507349202,143.54135995,143.612382394,143.648393773,143.612382394,143.507349202,143.579371962,143.402316011,143.397314431,143.401315695,143.507349202,143.330293252,143.361303051,143.540359634,143.537358686,143.578371646,143.61338271,143.543360582,143.438327391,143.579371962,143.543360582,143.543360582,143.648393773,143.612382394,143.334294516,143.578371646,143.437327075,143.578371646,113.54,113.556,113.571,113.505,113.517,113.524,113.477,113.483,113.443,113.458,113.436,113.485,113.422,113.438,113.446,113.448,113.438,113.428,113.416,113.424,113.407,113.428,113.456,113.4,113.406,113.452,113.402,113.395,113.483,113.4,113.444,113.412
FLQS30Q9GRWY,-62.8655882936,-63.0455499007,-63.1155349701,-62.9405722966,-62.9415720833,-62.9775644047,-62.8695874404,-62.9035801884,-62.7766072768,-62.7746077033,-62.7426145287,-62.7906042906,-62.5856480159,-62.6216403373,-62.731616875,-62.6216403373,-62.6206405506,-62.6556330853,-62.6206405506,-62.6946247669,-62.6616318056,-62.6626315923,-62.7306170883,-62.6336377778,-62.6246396974,-62.7646098363,-62.6626315923,-62.6256394841,-62.765609623,-62.6236399107,-62.656632872,-62.6606320188,143.126288536,143.379200693,143.447177083,143.483164584,143.411189582,143.445177777,143.515153473,143.552140627,143.516153126,143.411189582,143.482164931,143.272237844,143.298228817,143.265240274,143.411189582,143.195264579,143.264240622,143.406191318,143.404192013,143.481165278,143.517152779,143.443178472,143.340214234,143.483164584,143.44617743,143.44617743,143.551140974,143.516153126,143.239249302,143.481165278,143.302227428,143.481165278,113.575,113.598,113.611,113.547,113.558,113.565,113.519,113.525,113.488,113.502,113.481,113.528,113.455,113.472,113.488,113.483,113.472,113.463,113.452,113.465,113.449,113.46,113.498,113.445,113.447,113.494,113.444,113.437,113.524,113.441,113.479,113.454
FLQS30Q9GRWV,-62.949838005,-63.097015315,-63.1660985421,-62.9898862526,-62.991888665,-63.0319369126,-62.9177994069,-62.9578476546,-62.8046631074,-62.8046631074,-62.7676184784,-62.8507185922,-62.6574857975,-62.7095485194,-62.8086679322,-62.7385834989,-62.6925280141,-62.7375822927,-62.6564845913,-62.7716233032,-62.707546107,-62.744590736,-62.7796329527,-62.6614906222,-62.6775099213,-62.8136739632,-62.707546107,-62.6735050965,-62.8166775817,-62.6745063027,-62.7435895298,-62.7065449008,143.10063029,143.314644692,143.383649336,143.418651692,143.347646913,143.417651624,143.454654115,143.524658826,143.45265398,143.347646913,143.419651759,143.243639914,143.271641798,143.238639577,143.35264725,143.172635136,143.236639443,143.377648932,143.372648596,143.419651759,143.453654047,143.384649404,143.277642202,143.417651624,143.382649269,143.384649404,143.488656403,143.451653913,143.172635136,143.417651624,143.27864227,143.419651759,113.692,113.709,113.722,113.658,113.669,113.672,113.629,113.632,113.591,113.607,113.584,113.637,113.569,113.591,113.608,113.61,113.585,113.58,113.553,113.585,113.559,113.581,113.609,113.548,113.559,113.604,113.553,113.548,113.636,113.553,113.596,113.563
FLQS30Q3GRWV,-63.2227253625,-63.3638140141,-63.3978353911,-63.2537448532,-63.254745482,-63.2907681164,-63.1506800935,-63.2137197038,-63.0796354534,-63.0806360821,-63.0175964718,-63.1136568303,-62.9055260535,-62.9765706937,-63.0416115614,-62.9755700649,-62.9405480592,-62.9765706937,-62.9395474305,-62.9745694362,-62.9735688074,-63.0075901844,-63.0466147051,-62.9085279397,-62.9355449155,-63.0456140764,-62.9735688074,-62.9045254247,-63.0776341959,-62.9045254247,-63.0075901844,-62.97156755,143.131862181,143.388793721,143.414786795,143.451776939,143.379796118,143.413787061,143.483768414,143.520758558,143.484768148,143.380795852,143.448777738,143.274824088,143.298817695,143.270825154,143.382795319,143.199844067,143.263827018,143.406788926,143.403789725,143.449777471,143.486767615,143.415786528,143.307815298,143.447778004,143.416786262,143.414786795,143.521758292,143.483768414,143.205842468,143.447778004,143.306815564,143.452776672,113.773,113.782,113.789,113.736,113.747,113.754,113.696,113.712,113.672,113.688,113.657,113.715,113.642,113.67,113.675,113.68,113.659,113.65,113.638,113.643,113.637,113.659,113.688,113.621,113.635,113.671,113.632,113.614,113.713,113.62,113.675,113.641
FLQS30Q2GRWV,-62.9483142744,-63.0593854082,-63.1264283448,-62.9503155561,-62.951316197,-63.0173584927,-62.8792700561,-62.9132918449,-62.7671982815,-62.7671982815,-62.7341771336,-62.8102258378,-62.622105359,-62.6691354787,-62.7712008449,-62.6991547041,-62.6561271477,-62.6981540632,-62.6551265069,-62.7051585491,-62.6971534224,-62.7361784153,-62.7411816195,-62.6251072815,-62.6371149717,-62.7732021266,-62.6971534224,-62.6331124083,-62.8082245562,-62.667134197,-62.7051585491,-62.6701361195,143.228203458,143.478305091,143.508317287,143.542331109,143.471302246,143.511318507,143.577345338,143.612359567,143.576344932,143.471302246,143.541330703,143.36625956,143.393270536,143.361257527,143.476304278,143.294230289,143.357255901,143.500314035,143.498313222,143.540330296,143.579346151,143.5103181,143.401273788,143.541330703,143.506316474,143.508317287,143.61436038,143.576344932,143.299232322,143.543331516,143.402274195,143.542331109,113.618,113.618,113.636,113.572,113.583,113.599,113.543,113.55,113.506,113.521,113.5,113.551,113.484,113.505,113.522,113.525,113.501,113.494,113.48,113.49,113.482,113.505,113.523,113.464,113.473,113.518,113.477,113.461,113.56,113.477,113.511,113.478
