SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3BDVGRXL____	-11.776	-11.485	-11.363	-11.464	-11.353	-11.325	-11.216	-11.502	-11.565	-11.435	-11.747	-11.477	-11.403	-11.140	-11.327	-11.437	-11.505	-11.411	-11.376	-11.280	-11.459	-11.400	-11.358	-11.165	-11.478	-11.592	-11.552	-11.286	-11.401	-11.358	-11.282	-11.703	-117.801	-118.303	-117.975	-117.835	-118.517	-117.988	-117.908	-117.970	-118.314	-118.540	-117.726	-117.908	-117.943	-118.723	-118.161	-118.005	-118.094	-117.920	-117.875	-118.850	-118.379	-118.164	-118.181	-118.207	-117.826	-117.576	-117.267	-118.563	-118.024	-118.326	-118.338	-117.688	263.954	264.118	264.161	264.106	264.191	264.180	264.229	264.094	264.080	264.153	263.965	264.104	264.141	264.303	264.187	264.127	264.099	264.136	264.151	264.241	264.134	264.152	264.174	264.267	264.099	264.032	264.037	264.225	264.145	264.180	264.217	263.984	2016_7_15_15_07_25
F2LS3HQHHFM5____	-11.859	-12.244	-11.638	-11.259	-11.564	-11.667	-11.614	-11.906	-11.710	-11.505	-11.690	-11.822	-11.683	-11.657	-11.666	-11.804	-11.803	-11.905	-11.708	-11.501	-11.805	-11.997	-11.727	-11.446	-11.671	-11.933	-11.894	-11.309	-11.743	-11.701	-11.363	-11.703	-117.761	-117.401	-118.177	-118.380	-118.591	-118.117	-118.566	-118.707	-118.330	-118.287	-117.990	-118.105	-118.201	-117.323	-118.560	-117.292	-117.496	-117.051	-118.526	-118.252	-118.514	-118.425	-117.532	-118.213	-118.487	-117.015	-117.672	-118.248	-118.550	-118.863	-118.406	-118.210	263.913	263.709	264.039	264.230	264.094	264.022	264.069	263.936	264.011	264.107	264.005	263.947	264.018	263.989	264.043	263.916	263.926	263.855	264.021	264.108	263.974	263.878	263.965	264.133	264.038	263.840	263.891	264.200	264.006	264.041	264.181	264.009	2016_7_15_15_07_27
F2LS3MG9HFM5____	-11.835	-11.492	-11.693	-11.267	-11.289	-11.327	-11.291	-11.635	-11.760	-11.764	-11.796	-11.726	-11.798	-11.301	-11.332	-11.497	-11.565	-11.540	-11.371	-11.352	-11.460	-11.266	-11.294	-11.169	-11.338	-11.500	-11.473	-11.224	-11.393	-11.299	-11.285	-11.355	-116.978	-117.283	-117.209	-116.892	-117.754	-117.147	-117.084	-117.281	-117.424	-117.454	-117.348	-118.049	-117.167	-117.095	-117.003	-117.714	-117.589	-117.283	-117.633	-117.930	-117.557	-117.533	-117.488	-116.718	-117.262	-117.652	-117.099	-117.667	-118.255	-117.567	-117.896	-117.315	263.886	264.067	263.966	264.157	264.187	264.140	264.155	263.997	263.944	263.944	263.923	263.990	263.913	264.150	264.131	264.085	264.046	264.043	264.142	264.164	264.095	264.187	264.172	264.197	264.140	264.080	264.067	264.214	264.160	264.173	264.195	264.134	2016_7_15_15_07_33
F2LS35BZHFM1____	-11.763	-11.701	-11.502	-11.326	-11.282	-11.324	-11.228	-11.506	-11.299	-11.695	-11.471	-11.466	-11.336	-11.293	-11.398	-11.366	-11.505	-11.411	-11.501	-11.424	-11.727	-11.267	-11.291	-11.495	-11.664	-11.814	-11.531	-11.227	-11.468	-11.427	-11.297	-11.288	-117.319	-116.966	-116.962	-117.164	-117.890	-117.676	-116.632	-116.629	-117.697	-117.528	-117.301	-117.542	-117.253	-117.564	-117.605	-117.588	-117.537	-116.966	-117.824	-117.556	-117.622	-117.671	-117.629	-117.518	-117.725	-117.719	-118.021	-117.618	-117.594	-117.899	-117.647	-117.399	264.612	264.625	264.721	264.816	264.871	264.841	264.838	264.703	264.854	264.654	264.752	264.766	264.815	264.850	264.801	264.816	264.746	264.765	264.762	264.787	264.643	264.868	264.854	264.750	264.679	264.606	264.757	264.884	264.767	264.801	264.852	264.845	2016_7_15_15_07_36
F2LS339XHFM1____	-11.270	-11.279	-11.445	-11.257	-11.288	-11.595	-11.159	-11.508	-11.229	-11.298	-11.333	-11.333	-11.458	-11.230	-11.258	-11.101	-11.366	-11.515	-11.226	-11.415	-11.327	-11.263	-11.610	-11.220	-11.200	-11.489	-11.189	-11.222	-11.190	-11.159	-11.213	-11.204	-117.040	-117.600	-115.845	-117.207	-117.688	-116.764	-116.349	-116.747	-117.152	-117.318	-117.085	-117.002	-117.813	-116.486	-117.196	-116.517	-117.191	-118.265	-117.895	-117.467	-117.016	-117.208	-117.613	-117.886	-117.850	-118.270	-118.021	-117.473	-117.976	-117.961	-117.377	-117.892	264.163	264.185	264.021	264.177	264.184	263.992	264.184	264.033	264.188	264.162	264.135	264.130	264.108	264.156	264.176	264.220	264.124	264.102	264.223	264.112	264.134	264.174	264.025	264.226	264.234	264.115	264.247	264.206	264.245	264.259	264.206	264.234	2016_7_15_15_07_38
F2LS3EKPHFM2____	-11.984	-11.912	-11.590	-11.403	-11.296	-11.329	-11.291	-11.574	-11.660	-11.318	-11.874	-11.809	-11.806	-11.430	-11.469	-11.776	-11.651	-11.628	-11.480	-11.410	-11.550	-11.749	-11.950	-11.438	-11.616	-11.729	-11.800	-11.644	-11.197	-11.630	-11.304	-11.353	-117.004	-116.770	-116.968	-117.821	-117.638	-117.699	-117.764	-117.761	-117.188	-115.615	-118.084	-117.618	-117.716	-118.026	-118.209	-117.596	-117.809	-117.246	-117.495	-118.615	-117.182	-117.496	-117.703	-117.594	-117.946	-116.311	-118.361	-117.494	-118.405	-118.112	-117.795	-117.792	263.815	263.838	264.004	264.135	264.178	264.165	264.186	264.050	263.981	264.072	263.921	263.930	263.936	264.131	264.121	263.944	264.015	263.999	264.083	264.168	264.034	263.953	263.866	264.108	264.038	263.905	263.970	264.003	264.261	264.039	264.181	264.158	2016_7_15_15_07_42
F2LS3HZVHFM5____	-11.435	-11.762	-11.499	-11.327	-11.295	-11.388	-11.358	-11.577	-11.569	-11.369	-11.477	-11.470	-11.798	-11.226	-11.398	-11.373	-11.566	-11.473	-11.440	-11.301	-11.532	-11.335	-11.300	-11.427	-11.608	-11.571	-11.534	-11.296	-11.341	-11.302	-11.289	-11.366	-117.459	-117.354	-117.679	-117.416	-117.427	-117.880	-117.154	-116.890	-117.496	-117.800	-117.025	-117.408	-117.370	-117.567	-117.603	-116.985	-117.864	-117.426	-117.638	-117.154	-117.501	-117.673	-117.295	-117.973	-117.527	-117.532	-117.629	-117.815	-117.194	-117.112	-117.719	-117.193	264.103	263.939	264.082	264.153	264.169	264.145	264.126	264.007	264.039	264.150	264.062	264.083	263.923	264.209	264.127	264.110	264.059	264.083	264.108	264.153	264.058	264.161	264.160	264.131	264.022	264.041	264.063	264.186	264.135	264.151	264.185	264.124	2016_7_15_15_07_46
F2LS3SMLHFM5____	-11.370	-11.270	-11.286	-11.250	-11.215	-11.262	-11.014	-11.359	-11.429	-11.767	-11.747	-11.340	-11.741	-11.228	-11.265	-11.506	-11.497	-11.740	-11.371	-11.223	-11.790	-11.674	-11.631	-11.158	-11.670	-11.240	-11.671	-11.210	-11.344	-11.635	-11.215	-11.278	-116.790	-116.795	-118.082	-117.471	-118.234	-117.076	-117.153	-117.673	-117.415	-117.630	-116.755	-116.804	-117.303	-116.709	-117.003	-117.382	-117.722	-117.611	-117.509	-117.683	-117.473	-117.534	-117.883	-117.705	-117.916	-116.795	-117.556	-118.072	-116.996	-117.629	-118.179	-117.640	264.103	264.151	264.203	264.193	264.245	264.168	264.292	264.149	264.103	263.951	263.918	264.118	263.947	264.167	264.164	264.065	264.085	263.963	264.136	264.215	263.932	263.991	264.028	264.247	264.011	264.166	263.993	264.239	264.125	264.014	264.242	264.187	2016_7_15_15_07_49
F2LS38TUGRXL____	-12.119	-12.186	-12.070	-11.892	-11.640	-12.078	-11.647	-11.996	-11.970	-11.786	-11.822	-12.229	-12.036	-11.918	-12.028	-12.071	-11.983	-12.117	-11.931	-11.635	-12.034	-11.960	-11.941	-11.783	-12.042	-12.005	-12.039	-11.651	-11.747	-12.001	-11.833	-12.117	-118.085	-118.119	-117.523	-117.461	-118.458	-117.995	-117.794	-118.057	-116.515	-118.290	-118.262	-117.728	-117.620	-118.124	-117.854	-117.704	-119.096	-117.271	-118.270	-119.194	-117.876	-118.300	-117.617	-118.731	-117.716	-117.847	-117.618	-118.378	-118.814	-117.759	-118.209	-117.963	263.803	263.773	263.799	263.882	264.051	263.819	264.016	263.861	263.797	263.973	263.954	263.732	263.820	263.902	263.836	263.807	263.917	263.764	263.903	264.088	263.834	263.890	263.866	263.996	263.822	263.846	263.819	264.042	264.017	263.844	263.947	263.798	2016_7_15_15_07_52
F2LS3957GRXL____	-11.159	-11.485	-11.165	-11.445	-11.488	-11.054	-11.283	-11.022	-11.423	-11.567	-11.520	-11.529	-11.326	-10.990	-11.529	-11.155	-11.494	-11.195	-11.163	-11.079	-11.538	-11.448	-11.488	-11.086	-11.122	-11.177	-11.190	-10.997	-11.520	-11.413	-11.219	-11.089	-117.607	-117.441	-117.107	-117.562	-117.834	-117.895	-117.496	-117.697	-117.777	-117.476	-117.764	-117.621	-117.660	-119.105	-117.217	-118.004	-117.739	-118.027	-117.787	-118.160	-116.838	-118.609	-117.770	-117.591	-118.474	-115.894	-117.778	-118.635	-118.059	-118.710	-117.201	-117.273	264.243	264.078	264.217	264.103	264.095	264.307	264.178	264.313	264.124	264.040	264.076	264.065	264.165	264.391	264.046	264.263	264.087	264.245	264.249	264.306	264.023	264.150	264.092	264.277	264.300	264.154	264.235	264.367	264.090	264.171	264.195	264.261	2016_7_15_15_07_58
