SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3BDVGRXL____	-67.385	-67.280	-67.206	-67.317	-67.353	-67.387	-67.284	-67.312	-67.247	-67.351	-67.385	-67.280	-67.172	-67.385	-67.311	-67.385	-67.280	-67.316	-67.274	-67.247	-67.280	-67.318	-67.317	-67.207	-67.284	-67.203	-67.176	-67.172	-67.141	-67.105	-67.209	-67.178	144.142	144.144	144.136	144.212	144.212	144.174	144.175	144.235	144.147	144.177	144.141	144.075	144.213	144.178	144.171	144.140	144.177	144.142	144.205	144.207	144.272	144.176	144.245	144.343	144.467	144.374	144.425	144.383	144.391	144.365	144.336	144.493	115.133	115.098	115.075	115.100	115.112	115.129	115.094	115.095	115.087	115.116	115.133	115.109	115.052	115.127	115.104	115.133	115.093	115.110	115.087	115.078	115.079	115.106	115.095	115.044	115.050	115.038	115.021	115.027	115.015	115.007	115.046	115.012	2016_7_15_15_04_30
F2LS3HQHHFM5____	-67.583	-67.479	-67.402	-67.515	-67.551	-67.588	-67.482	-67.509	-67.445	-67.550	-67.583	-67.479	-67.367	-67.583	-67.508	-67.585	-67.480	-67.514	-67.473	-67.446	-67.478	-67.518	-67.515	-67.405	-67.480	-67.400	-67.373	-67.370	-67.340	-67.306	-67.407	-67.376	144.165	144.163	144.158	144.238	144.239	144.193	144.197	144.252	144.163	144.198	144.162	144.094	144.235	144.202	144.184	144.161	144.198	144.166	144.219	144.219	144.288	144.196	144.270	144.335	144.468	144.385	144.432	144.377	144.394	144.371	144.338	144.518	114.991	114.958	114.933	114.958	114.970	114.988	114.954	114.954	114.946	114.975	114.992	114.968	114.910	114.986	114.964	114.992	114.953	114.969	114.947	114.938	114.938	114.965	114.953	114.908	114.912	114.898	114.882	114.889	114.877	114.870	114.908	114.870	2016_7_15_15_04_32
F2LS3MG9HFM5____	-67.390	-67.288	-67.208	-67.359	-67.396	-67.429	-67.290	-67.314	-67.251	-67.392	-67.391	-67.288	-67.169	-67.389	-67.312	-67.390	-67.323	-67.318	-67.277	-67.251	-67.283	-67.326	-67.357	-67.247	-67.283	-67.201	-67.176	-67.168	-67.142	-67.106	-67.247	-67.180	144.128	144.129	144.124	144.167	144.162	144.126	144.156	144.187	144.125	144.132	144.099	144.060	144.200	144.140	144.149	144.102	144.135	144.131	144.185	144.185	144.256	144.158	144.203	144.255	144.392	144.336	144.359	144.308	144.334	144.302	144.266	144.436	115.063	115.029	115.004	115.047	115.060	115.076	115.026	115.029	115.018	115.063	115.067	115.040	114.980	115.061	115.034	115.067	115.040	115.039	115.017	115.009	115.008	115.037	115.041	114.997	114.988	114.970	114.958	114.963	114.951	114.944	114.995	114.948	2016_7_15_15_04_35
F2LS35BZHFM1____	-67.652	-67.552	-67.475	-67.587	-67.623	-67.658	-67.553	-67.596	-67.518	-67.620	-67.653	-67.548	-67.443	-67.653	-67.582	-67.656	-67.550	-67.585	-67.546	-67.518	-67.551	-67.590	-67.587	-67.483	-67.559	-67.475	-67.450	-67.447	-67.419	-67.384	-67.482	-67.452	144.102	144.108	144.111	144.179	144.177	144.136	144.140	144.214	144.106	144.139	144.101	144.037	144.185	144.138	144.141	144.102	144.142	144.106	144.174	144.174	144.243	144.141	144.212	144.287	144.422	144.342	144.380	144.331	144.348	144.319	144.296	144.457	114.954	114.921	114.895	114.921	114.933	114.951	114.916	114.919	114.910	114.938	114.955	114.930	114.874	114.949	114.926	114.955	114.915	114.932	114.909	114.900	114.900	114.928	114.916	114.871	114.875	114.860	114.846	114.853	114.841	114.834	114.869	114.835	2016_7_15_15_04_42
F2LS339XHFM1____	-67.720	-67.616	-67.540	-67.655	-67.691	-67.723	-67.617	-67.650	-67.579	-67.687	-67.719	-67.617	-67.466	-67.717	-67.649	-67.720	-67.617	-67.651	-67.612	-67.582	-67.616	-67.653	-67.655	-67.541	-67.622	-67.532	-67.508	-67.504	-67.478	-67.442	-67.543	-67.511	143.940	143.947	143.939	144.009	144.008	143.971	143.974	144.038	143.943	143.977	143.943	143.877	144.018	143.983	143.970	143.939	143.979	143.947	144.007	144.004	144.075	143.973	144.044	144.158	144.281	144.182	144.247	144.198	144.210	144.184	144.140	144.308	115.346	115.311	115.287	115.314	115.326	115.342	115.307	115.308	115.299	115.329	115.345	115.322	115.251	115.338	115.318	115.346	115.306	115.322	115.300	115.291	115.291	115.319	115.309	115.254	115.262	115.248	115.230	115.236	115.225	115.218	115.257	115.221	2016_7_15_15_04_45
F2LS3EKPHFM2____	-67.382	-67.280	-67.208	-67.316	-67.351	-67.386	-67.282	-67.313	-67.244	-67.348	-67.383	-67.279	-67.173	-67.383	-67.312	-67.384	-67.279	-67.313	-67.276	-67.246	-67.280	-67.317	-67.315	-67.209	-67.281	-67.204	-67.173	-67.173	-67.141	-67.106	-67.209	-67.174	144.026	144.023	144.028	144.094	144.096	144.053	144.058	144.123	144.024	144.061	144.021	143.952	144.092	144.059	144.054	144.021	144.061	144.025	144.085	144.090	144.154	144.055	144.128	144.235	144.346	144.264	144.311	144.275	144.278	144.245	144.231	144.383	114.908	114.875	114.850	114.876	114.887	114.905	114.870	114.870	114.863	114.891	114.909	114.885	114.829	114.903	114.880	114.909	114.869	114.885	114.864	114.853	114.855	114.882	114.870	114.819	114.826	114.813	114.796	114.801	114.791	114.784	114.820	114.785	2016_7_15_15_04_48
F2LS3HZVHFM5____	-67.531	-67.406	-67.295	-67.444	-67.482	-67.474	-67.409	-67.439	-67.370	-67.478	-67.471	-67.369	-67.298	-67.471	-67.461	-67.531	-67.407	-67.439	-67.402	-67.374	-67.405	-67.444	-67.444	-67.334	-67.415	-67.328	-67.304	-67.298	-67.271	-67.236	-67.334	-67.307	144.091	144.096	144.131	144.160	144.158	144.122	144.120	144.192	144.091	144.126	144.095	144.033	144.171	144.137	144.126	144.091	144.130	144.127	144.160	144.156	144.229	144.120	144.196	144.291	144.416	144.339	144.428	144.332	144.352	144.331	144.286	144.454	115.170	115.128	115.087	115.131	115.143	115.146	115.126	115.124	115.117	115.147	115.150	115.126	115.081	115.143	115.142	115.170	115.123	115.134	115.117	115.108	115.108	115.137	115.125	115.075	115.082	115.066	115.044	115.057	115.045	115.037	115.076	115.042	2016_7_15_15_04_51
F2LS3SMLHFM5____	-67.437	-67.332	-67.262	-67.368	-67.405	-67.437	-67.331	-67.369	-67.293	-67.401	-67.435	-67.335	-67.229	-67.435	-67.367	-67.435	-67.333	-67.366	-67.334	-67.298	-67.331	-67.367	-67.368	-67.262	-67.336	-67.261	-67.228	-67.227	-67.195	-67.160	-67.263	-67.226	144.030	144.031	144.037	144.095	144.094	144.058	144.063	144.136	144.027	144.067	144.032	143.961	144.102	144.069	144.068	144.028	144.067	144.032	144.100	144.103	144.177	144.059	144.130	144.272	144.371	144.287	144.348	144.311	144.311	144.271	144.260	144.390	115.098	115.063	115.040	115.065	115.078	115.094	115.058	115.060	115.051	115.081	115.097	115.075	115.019	115.091	115.069	115.098	115.059	115.074	115.054	115.041	115.041	115.071	115.060	115.004	115.013	115.001	114.981	114.987	114.976	114.971	115.006	114.974	2016_7_15_15_04_54
F2LS38TUGRXL____	-66.670	-66.565	-66.496	-66.603	-66.639	-66.671	-66.567	-66.566	-66.530	-66.670	-66.668	-66.568	-66.458	-66.669	-66.563	-66.670	-66.567	-66.600	-66.563	-66.534	-66.566	-66.602	-66.602	-66.496	-66.570	-66.489	-66.462	-66.460	-66.429	-66.393	-66.496	-66.461	144.374	144.375	144.372	144.438	144.439	144.405	144.405	144.491	144.371	144.403	144.375	144.307	144.444	144.412	144.425	144.372	144.409	144.372	144.442	144.446	144.513	144.403	144.475	144.619	144.727	144.626	144.701	144.655	144.667	144.628	144.595	144.746	114.819	114.784	114.762	114.787	114.799	114.814	114.780	114.767	114.773	114.815	114.818	114.796	114.739	114.813	114.776	114.819	114.780	114.796	114.774	114.764	114.764	114.792	114.782	114.725	114.733	114.722	114.702	114.708	114.696	114.690	114.729	114.694	2016_7_15_15_04_58
F2LS3957GRXL____	-67.608	-67.503	-67.425	-67.539	-67.576	-67.611	-67.504	-67.535	-67.502	-67.573	-67.607	-67.502	-67.392	-67.607	-67.533	-67.609	-67.502	-67.537	-67.494	-67.467	-67.500	-67.541	-67.539	-67.428	-67.507	-67.426	-67.401	-67.432	-67.403	-67.331	-67.431	-67.404	144.088	144.100	144.085	144.164	144.159	144.119	144.130	144.185	144.058	144.129	144.090	144.026	144.162	144.129	144.122	144.085	144.130	144.096	144.153	144.161	144.222	144.125	144.198	144.277	144.407	144.319	144.362	144.258	144.281	144.306	144.270	144.436	115.132	115.095	115.072	115.098	115.110	115.128	115.091	115.093	115.102	115.114	115.131	115.106	115.050	115.125	115.102	115.132	115.091	115.107	115.084	115.074	115.076	115.104	115.092	115.044	115.050	115.037	115.022	115.048	115.035	115.008	115.046	115.012	2016_7_15_15_05_01
